槍彈者大師	Bullet Marker Master	불릿 마커 마스터
詢問取得的方法	How do I find them?	찾아낼 방법을 묻는다
表示感謝	Token of Gratitude	감사의 표시
越堅固越好	Durability Is Vital	튼튼할 수록 좋다
詢問該怎麼幫忙呢	How can I help you?	어떻게 도와주면 좋을지 묻는다
揭開黑暗的一道光芒	The Light through Darkness	어둠을 밝혀줄 빛
調查中整理周邊環境	Clean up while investigating	조사 중 주변 정리
符合期待的結果	Expected Result	기대한 만큼의 성과
暗影適應訓練	Shadow Adaptation Training	그림자 적응 훈련
表示要自己進行訓練。	I will train myself	스스로 훈련하겠다고 한다.
確保治安	Secure the safety	치안 확보
佳言 (2)	Great Words (2)	좋은 말씀 (2)
偏離的信仰(1)	Wrong Faith (1)	어긋난 신앙 (1)
說無法相信	I can't believe it	못 믿겠다고 한다
偏離的信仰(2)	Wrong Faith (2)	어긋난 신앙 (2)
詢問是否真的沒關係	Is it really okay?	정말 그래도 괜찮은건지 묻는다
偏離的信仰(3)	Wrong Faith (3)	어긋난 신앙 (3)
說會先去幫忙取得	I will save you first	일단 구해다주겠다고 한다
魔族鮮紅的血	The red blood of the demons	마족의 붉은 피
卑劣的伎倆 (1)	Dirty Tricks (1)	비열한 술수 (1)
卑劣的伎倆 (2)	Dirty Tricks (2)	비열한 술수 (2)
卑劣的伎倆 (3)	Dirty Tricks (3)	비열한 술수 (3)
假經典	False Scriptures	거짓된 경전
搜索生存者	Search for the survivors	생존자 수색
飢渴的信仰 (1)	Hungry Faith (1)	굶주린 신앙 (1)
說自己不屬於真理之樹教團	I'm not a member of the Order of the Tree of Truth	자신은 진리의 나무 교단이 아니라고 한다
先不管它	Leave it for now	일단 내버려 둔다
正在尋找糧食	Looking for the edible food	먹을 만한 식량을 찾는 중
正在遞糧食	Passing the food	식량을 건네 주는 중
飢渴的信仰 (2)	Hungry Faith (2)	굶주린 신앙 (2)
詢問發生了什麼事	Ask what happened	무슨 일이 있었던 거냐고 묻는다
說別再去了	I will go now	이제 그만 가보겠다고 한다
魔族的墮落靈魂(1)	The Corrupted Spirit of the Demons (1)	마족의 타락한 영혼 (1)
說會試著讓他吸收	I will try absorbing it	흡수시켜보겠다고 한다
魔族的墮落靈魂(2)	The Corrupted Spirit of the Demons (2)	마족의 타락한 영혼 (2)
魔族的墮落靈魂(3)	The Corrupted Spirit of the Demons (3)	마족의 타락한 영혼 (3)
說現在還沒準備好	I am not completely ready yet	아직 준비가 덜 됐다고 한다
為了全然的自由 (1)	For Total Freedom (1)	완전한 자유를 위해 (1)
要你再等一會	Please wait little more	조금만 기다려 달라고 한다
修道院的影子	The shadow of the monastery	수도원의 그림자
已除掉艾高斯修道院總院的魔族	You've defeated the demons at the Elgos Monastery	엘고스 수도원 본원의 마족들을 처치했습니다
預備未來的力量	The power that was prepared for the future	미래를 대비한 힘
邪惡的魔法陣? (1)	Evil Magic Circles? (1)	사악한 마법진? (1)
邪惡的魔法陣? (2)	Evil Magic Circles? (2)	사악한 마법진? (2)
邪惡的魔法陣? (3)	Evil Magic Circles? (3)	사악한 마법진? (3)
邪惡的魔法陣? (4)	Evil Magic Circles? (4)	사악한 마법진? (4)
大地魔法陣	Earth Magic Circle	대지의 마법진
大地氣息	Earth Energy	대지의 기운
據實以告中	Talking about what happened	사실대로 말하는 중
調和氣息	Balancing Energy	조화의 기운
海洋氣息	Sea Energy	바다의 기운
海洋魔法陣	Sea Magic Circle	바다의 마법진
調和魔法陣 (1)	Balancing Magic Circle (1)	조화의 마법진 (1)
調和魔法陣 (2)	Balancing Magic Circle (2)	조화의 마법진 (2)
再一點大地氣息	More Earth Energy	대지의 기운을 더
為了保護的束縛 (1)	Restrain to Protect (1)	보호를 위한 속박 (1)
為了保護的束縛 (2)	Restrain to Protect (2)	보호를 위한 속박 (2)
莎勒斯修女院的消息	Have You Heard of the Saalus Convent?	살러스 수녀원의 소식
虛弱無力的難民	Lethargic Refugees	무기력한 난민들
說會聽到的	I'm listening	듣겠다고 한다
打掃開採區 	Cleaning the Pit	채취장 청소
開採區發生什麼事了？	What happened at the Pit?	채취장에는 무슨 일이?
要你稍等一下	Please wait a bit	잠깐 기다려 달라고 한다
循著味道而去	Smelly Pursuit	냄새를 쫓아서
可疑的開採區	Suspicious Pit	수상한 채취장
說要去將其消滅	I will find it and eliminate it	찾아서 없애겠다고 한다
潛伏搜查	Undercover Operation	잠복 수사
收尾	Settlement	뒷수습
說會把剩下的袋子也一併除掉	Tell him that you will get rid of the rest of the pockets	나머지 주머니도 없애주겠다고 한다
說不會有那樣的問題的	That won't be a problem	그 정돈 문제 없을 거라고 한다
引誘至深處	Lure it deeper	깊은 곳으로 유인하기
正在挖掘袋子	Burying the pocket	주머니 묻는 중
新商品	New Product	신상품
說會為了居民盡全力幫忙	I will definitely help for the villagers	주민들을 위해서라면 기꺼이 돕겠다고 한다
救急良方	Emergency Treatment	응급처방
說自己很累	It's hard	힘들다고 한다
遇難船的殘骸	The Remains of the Wrecked Ship	난파선의 잔해
老雕刻師的委託	Favor for an Old Dievdirbys	늙은 딥디르비의 부탁
貓頭鷹雕像發生了什麼事?	What Happened to the Owl Sculptures?	부엉이 조각상에 무슨 일이?
尊敬老人	Respect Your Elders	노인공경
雕刻的狀態(1)	Checking the Statues (1)	조각의 상태(1)
雕刻的狀態(2)	Checking the Statues (2)	조각의 상태(2)
都是因為腰	Injured Back	허리 때문에
其他地方也稍微看看	Need to Look in Other Places	다른 곳도 살펴봐야
犯人是誰？	Who Did It?	범인은 누구?
能睡得香甜(1)	Sweet Dreams (1)	곤히 잘 수 있도록(1)
能睡得香甜(2)	Sweet Dreams (2)	곤히 잘 수 있도록(2)
誰背走都不知道	Fast Asleep	누가 업어가도 몰라
訓練場的貓頭鷹(1)	Training Camp Owl (1)	수련장의 부엉이(1)
訓練場的貓頭鷹(2)	Training Camp Owl (2)	수련장의 부엉이(2)
訓練場的貓頭鷹(3)	Training Camp Owl (3)	수련장의 부엉이(3)
是昏倒了還是睡著了(1)	Fainted or Asleep? (1)	쓰러진건지 잠든건지(1)
是昏倒了還是睡著了(2)	Fainted or Asleep? (2)	쓰러진건지 잠든건지(2)
為了怪物碎片	For the Monster Statue	몬스터 조각을 위해
開玩笑的利迪梅得(1)	Troublemaker Ridimeds (1)	장난치는 리디메드(1)
開玩笑的利迪梅得(2)	Troublemaker Ridimeds (2)	장난치는 리디메드(2)
貴重的雕刻刀	Precious Carving Knife	소중한 조각칼
為了安全(1)	For Safety (1)	안전을 위해서(1)
為了安全(2)	For Safety (2)	안전을 위해서(2)
察看貓頭鷹(2)	Observing the Owl (2)	부엉이 살펴보기(2)
充滿邪惡的氣息	Full of Evil Energy	사악한 기운으로 가득 찬
危險的短劍	Dangerous Dagger	위험한 단검
抑制的雕像	Suppressing Sculpture	억제의 조각
淨化的儀式(1)	Purification Ceremony (1)	정화의 의식(1)
淨化的儀式(2)	Purification Ceremony (2)	정화의 의식(2)
尋找最後一個證人(1)	Finding the Last Witness (1)	마지막 증인 찾기(1)
尋找最後一個證人(2)	Finding the Last Witness (2)	마지막 증인 찾기(2)
問問是什麼方法	What do you have in mind?	어떤 방법인지 물어본다
尋找最後一個證人(3)	Finding the Last Witness (3)	마지막 증인 찾기(3)
雪上加霜	It Only Gets Worse	설상가상
徬徨的靈魂們(1)	Wandering Spirits (1)	방황하는 영혼들(1)
徬徨的靈魂們(2)	Wandering Spirits (2)	방황하는 영혼들(2)
尤拉泰女神的繼承者(2)	Loremasters of the Goddess (2)	유라테 여신의 전승자(2)
沒有確鑿的證據	There Is No Concrete Evidence	확증은 없다
詢問神聖力與怪物的核的關係	What is the link between the divine energy and monster core?	신성력과 몬스터핵의 관계에 대해 묻는다
祭壇的力量	The Power of Altar	제단의 힘
詢問遺物跟神聖力有甚麼關係	What's the relationship between the keepsake and the divine energy?	유품과 신성력이 무슨 상관인지 물어 본다
神聖或褻瀆(1)	Sacred or Secular (1)	성스럽거나, 불경하거나(1)
神聖或褻瀆(2)	Sacred or Secular (2)	성스럽거나, 불경하거나(2)
再確認(1)	Re-Confirm (1)	재차 확인(1)
再確認(2)	Re-Confirm (2)	재차 확인(2)
用不明的證據	From Suspicion to Affirmation	의심이 확증으로
異端審判(1)	Nobody Expects the Inquisition (1)	이단 심판(1)
拿出教理本，說了有關緹玫勒斯寺院的事情。	Telling what happened on Timeris Temple and showing the Doctrine you've obtained	교리본을 보여주며 티메리스 사원에 대해 이야기 중
異端審判(2)	Nobody Expects the Inquisition (2)	이단 심판(2)
拿出教理本，說了有關緹玫勒斯寺院工作的事情。	Telling what happened on Timeris Temple and showing the Doctrine you've obtained	교리본을 보여 주며 티메리스 사원의 일을 이야기 하는 중
異端審判(3)	Nobody Expects the Inquisition (3)	이단 심판(3)
製作植物營養劑(1)	Crafting Plant Supplement (1)	식물 영양제 만들기(1)
能幫你甚麼	What can I do for you?	도울 일이 있느냐고 묻는다
有關旁邊這個裝置	About the device nearby	옆에 있는 장치에 대해
製作植物營養劑(2)	Crafting Plant Supplement (2)	식물 영양제 만들기(2)
注入營養劑	Inject the supplement	영양제 주입
有關利那所進行的作業	About the work Lina has been doing	리나가 해 왔던 작업에 대해
依照自然調理法(1)	Naturally (1)	자연의 섭리에 따라(1)
依照自然調理法(2)	Naturally (2)	자연의 섭리에 따라(2)
開始仲裁(1)	Arbitration Initiation (1)	중재 시작(1)
秋天楓葉染紅時(1)	Autumn Leaves (1)	가을이 되면 단풍이 든다(1)
秋天楓葉染紅時(2)	Autumn Leaves (2)	가을이 되면 단풍이 든다(2)
藥草調查(1)	Inspect Herb (1)	약초 조사(1)
藥草調查(2)	Inspect Herb (2)	약초 조사(2)
換季準備(1)	Prepare for the Season (1)	계절을 준비 할 뿐(1)
換季準備(2)	Prepare for the Season (2)	계절을 준비 할 뿐(2)
時間停止的話季節也不會更迭(1)	Time Stops Along With the Season (1)	시간이 멈추면 계절도 고정된다(1)
時間停止的話季節也不會更迭(2)	Time Stops Along With the Season (2)	시간이 멈추면 계절도 고정된다(2)
詢問要確認甚麼跟怎麼確認呢	What should I check and how?	어떻게 무엇을 확인하는지 묻는다
時間停止的話季節也不會更迭(3)	Time Stops Along With the Season (3)	시간이 멈추면 계절도 고정된다(3)
時間停止的話季節也不會更迭(4)	Time Stops Along With the Season (4)	시간이 멈추면 계절도 고정된다(4)
遞出艾伊達的報告書，訴說有關調查內容的事。	Explaining Ida's report of the investigation	아이다의 보고서를 건네며 조사 내용을 말 하는 중
詢問調查可疑楓葉現象的原因	Why did you start investigating the autmumn leaves anomaly?	이상 단풍 현상을 조사한 이유를 묻는다
該做的都做了我要走了掰	My work is done so I'll be going now	할 일 다 했으니 가보겠다고 한다
說已經轉告給時空法師大師了	Assuring the Chronomancer Master that the words have reached clearly	크로노맨서 마스터에게 잘 전했다고 말하는 중
以卵擊石	Losing Battle	달걀로 바위 치기
消失的士兵們	The Disappearance of Soldiers	사라진 병사들
有關來到這裡的理由	About why here	이 곳에 있는 이유에 대해
綠色的楓葉	Green Autumn Leaves	녹색의 단풍잎
不會掉落的葉子	Leaves Refuse to Fall	떨어지지 않는 낙엽
被撕裂的碎布玩偶	Ripped Ragdolls	뜯겨진 헝겊 인형들
就要到了	On the Brink of Madness	미치기 일보 직전에
不明的攻擊	Mysterious Attack	의문의 공격
項鍊的主人	The Owner of Necklace	목걸이의 주인
不想做的事情	Things You Don't Want to Do	하기 싫은 일
正在轉達士兵的行蹤	Explaining the whereabouts of the soldiers	병사들의 행방을 전하는 중
等候父親(1)	Waiting for Daddy (1)	아빠를 기다리며(1)
等候父親(2)	Waiting for Daddy (2)	아빠를 기다리며(2)
魔族搜索行動(1)	Demon Search (1)	마족의 수색(1)
魔族搜索行動(2)	Demon Search (2)	마족의 수색(2)
搜索準備(1)	Inspection Preparation (1)	수색 준비(1)
詢問還需要甚麼	How can I help you?	무엇이 필요한지 묻는다
搜索準備(2)	Inspection Preparation (2)	수색 준비(2)
尋找痕跡(5)	Find the Trace (5)	흔적 찾기(5)
正在回收痕跡中	Retrieving the trace	흔적을 회수하는 중
尋找痕跡(1)	Find the Trace (1)	흔적 찾기(1)
尋找痕跡(2)	Find the Trace (2)	흔적 찾기(2)
正在尋找奧施莉奈女神的下落	Searching for traces of Ausrine	아우슈리네의 흔적을 찾는 중
遞出回收的物品，說出有關魔族攻擊的事。	Handing over what was retrieved and explaining that there was a demon attack	회수한 것을 건네며 마족들의 공격에 대해 이야기하는 중
尋找痕跡(3)	Find the Trace (3)	흔적 찾기(3)
尋找痕跡(4)	Find the Trace (4)	흔적 찾기(4)
整理魔族	Clean Up the Demons	마족 정리
尋找其他痕跡	To find another trace	다른 흔적을 찾아서
問甚麼時候要出發	When should we start?	언제 이동하는지 물어본다
偵查周圍(1)	Inspect the Perimeter (1)	주변 정찰(1)
偵查周圍(2)	Inspect the Perimeter (2)	주변 정찰(2)
痕跡爭奪戰(2)	Trace Race (2)	흔적 쟁탈전(2)
痕跡爭奪戰(3)	Trace Race (3)	흔적 쟁탈전(3)
痕跡爭奪戰(4)	Trace Race (4)	흔적 쟁탈전(4)
痕跡爭奪戰(6)	Trace Race (6)	흔적 쟁탈전(6)
正在跟迪耶那說有關雷克西波的事情	Explaining the story about Diena and Rexipher	디에나와 렉시퍼의 이야기를 하는 중
痕跡爭奪戰(7)	Trace Race (7)	흔적 쟁탈전(7)
痕跡的真面目(1)	The True Nature of the Trace (1)	흔적의 정체(1)
痕跡的真面目(2)	The True Nature of the Trace (1)	흔적의 정체(2)
詢問祭壇與痕跡相關的事情	What is the correlationship between the altar and the trace?	제단과 흔적의 연관성에 대해 묻는다
安裝警報器(1)	Alarm Installation (1)	경보기 설치(1)
安裝警報器(2)	Alarm Installation (2)	경보기 설치(2)
痕跡爭奪戰(1)	Trace Race (1)	흔적 쟁탈전(1)
正在訴說有關剛剛目睹的情況	Explaining what you have just seen	조금 전 본 장면에 대해 이야기하는 중
痕跡爭奪戰(5)	Trace Race (5)	흔적 쟁탈전(5)
詢問該準備些甚麼呢	What needs to be prepared?	무엇을 준비해야할지 묻는다
老傭兵的戰鬥[雙酬傭兵轉職]	Veteran Merceneary Combat [Doppelsoeldner Advancement]	숙련된 용병의 전투[도펠죌트너 전직]
證明實力[擊劍手轉職]	Prove Your Might [Fencer Advancement]	실력 증명[펜서 전직]
消失的傳令[龍騎士轉職]	Missing Order [Dragoon Advancement]	사라진 전령[드라군 전직]
領導者的證明[聖殿騎士轉職]	Leadership Training [Templar Advancement]	리더쉽 증명[템플러 전직]
去確認熄滅的火吧[槍騎兵轉職]	 Make It Doubly Sure [Lancer Advancement]	꺼진 불을 확인하라[랜서 전직]
劍鬥士的資格[角鬥士轉職]	The Glory of a Gladiator [Murmillo Advancement]	검투사의 자격[무르밀로 전직]
狩獵開始[馴鷹者轉職]	Let the Hunting Begin [Falconer Advancement]	사냥 개시[응사 전직]
執行委託[黑暗騎兵轉職]	Mission Initiated [Schwarzer Reiter Advancement]	의뢰 수행[슈바르츠라이터 전직]
破壞建築物[重砲手轉職]	De-Contruction  [Cannoneer Advancement]	구조물 파괴[캐노니어 전직]
快狠準！[火槍手轉職]	Fast ande Precise [Musketeer Advancement]	신속하고 정확하게[머스킷티어 전직]
森林深處[刀騎兵轉職]	In the Deep Forest [Hackapell Advancement]	깊고 깊은 숲속에는[하카펠 전직]
試探弓箭術實力[神射手轉職]	Archery Test [Mergen Advancement]	궁술 실력 알아보기[메르겐 전직]
取材報導- 德魯伊大師	Interview - Druid Master	취재 - 드루이드 마스터
我是來轉達賢者大師的委託的	I came here to deliver the request from the Sage Master	세이지 마스터의 부탁을 전하러 왔다고 한다
取材報導 - 擊劍手大師(1)	Interview - Fencer Master (1)	취재 - 펜서 마스터(1)
拿出賢者大師的信件	Hand the Letter from the Sage Master	세이지 마스터의 편지를 건넨다
調查書本中	Investigating the Book	책을 조사하는 중
取材報導 - 擊劍手大師(2)	Interview - Fencer Master (2)	취재 - 펜서 마스터(2)
取材報導 - 死靈法師大師	Interview - Necromancer Master	취재 - 네크로맨서 마스터
說明有關玩偶	Explaining about the Doll	인형에 대해 설명하는 중
行蹤可疑(1)	Suspicious Movement (1)	수상한 동향(1)
行蹤可疑(2)	Suspicious Movement (2)	수상한 동향(2)
正在安裝魔力水晶	Installing Spell Crystal	마력 수정 설치하는 중
行蹤可疑(4)	Suspicious Movement (3)	수상한 동향(4)
詢問如何取得	How can I acquire them?	어떻게 구해야하는지 묻는다
眼前的陷阱	It's A Trap	바로 앞의 함정
如何找到蹤跡	How do I follow the trail?	어떻게 흔적을 찾을지 묻는다
魔王之眼(1)	The Eye of Demon Lord (1)	마왕의 눈(1)
魔王之眼(2)	The Eye of Demon Lord (2)	마왕의 눈(2)
正在說親身經歷之事	Telling the Story So Far	겪은 일을 이야기하는 중
葛林家門的援助	Founder of the Green Family	그린가문의 원조
行蹤不明的採藥者(1)	Missing Herbalist (1)	사라진 약초꾼(1)
行蹤不明的採藥者(2)	Missing Herbalist (2)	사라진 약초꾼(2)
行蹤不明的採藥者(3)	Missing Herbalist (3)	사라진 약초꾼(3)
行蹤不明的採藥者(4)	Missing Herbalist (4)	사라진 약초꾼(4)
行蹤不明的採藥者(5)	Missing Herbalist (5)	사라진 약초꾼(5)
偉大的終結者(1)	The Great Problem-Solver (1)	위대한 해결사(1)
你到底在說甚麼	What do you mean?	무슨 소리인지 묻는다
假裝沒看到	La-la-la-la-la~	무시하고 지나간다
偉大的終結者(2)	The Great Problem-Solver (2)	위대한 해결사(2)
問問這是甚麼水晶	What crystal?	무슨 수정인지 묻는다
偉大的終結者(3)	The Great Problem-Solver (3)	위대한 해결사(3)
詢問是甚麼問題	What's the problem?	무슨 문제인지 묻는다
偉大的終結者(4)	The Great Problem-Solver (4)	위대한 해결사(4)
詢問有關閔希豪森男爵的事情	Who is Baron Munchausen?	뮌히하우젠 남작에 대해 물어본다
偉大的終結者(5)	The Great Problem-Solver (5)	위대한 해결사(5)
詢問該怎麼辦	What should I do?	무엇을 해야하는지 묻는다
狂熱者的考驗	Zealot's Trial	질럿의 시험
挑戰考驗。	I will challenge the trail	시험에 도전한다
表示會去進行準備	Let me prepare	준비하겠다고 한다
行蹤可疑(3)	Suspicious Movement (4)	수상한 동향(3)
作業失誤(2)	Setbacks (2)	업무 차질(2)
問問哪裡有竹島里草	Where can I find wild ginger plants?	죽두리 풀이 어디있는지 묻는다
女神之花(1)	The Goddess' Flower (1)	여신의 꽃(1)
浸泡於河水中	Immersing it under water	물가에 담그는 중
女神之花(2)	The Goddess' Flower (2)	여신의 꽃(2)
心力交瘁的理由	About why looking so tired	그렇게 지쳐 있었던 이유에 대해
女神之花(3)	The Goddess' Flower (3)	여신의 꽃(3)
詢問怎麼浸泡	How do I do that?	어떻게 담냐고 묻는다
女神之花(4)	The Goddess' Flower (4)	여신의 꽃(4)
女神之花(5)	The Goddess' Flower (5)	여신의 꽃(5)
女神之花(6)	The Goddess' Flower (6)	여신의 꽃(6)
女神之花(7)	The Goddess' Flower (7)	여신의 꽃(7)
燃燒花朵	Burn the flower	꽃 태우기
女神之花(8)	The Goddess' Flower (8)	여신의 꽃(8)
女神之花(9)	The Goddess' Flower (9)	여신의 꽃(9)
藏在森林中的危險(1)	Danger the Lurks in the Forest (1)	숲 속에 숨어있는 위험(1)
藏在森林中的危險(2)	Danger the Lurks in the Forest (2)	숲 속에 숨어있는 위험(2)
詢問該幫忙取得甚麼	What should I get?	어떤 것들을 구하면 되냐고 묻는다
藏在森林中的危險(3)	Danger the Lurks in the Forest (3)	숲 속에 숨어있는 위험(3)
藏在森林中的危險(4)	Danger the Lurks in the Forest (4)	숲 속에 숨어있는 위험(4)
快去瘟疫醫生大師那裡看看	Go to the Plague Doctor Master	플레이그 닥터 마스터에게 가보라고 한다
藏在森林中的危險(5)	Danger the Lurks in the Forest (5)	숲 속에 숨어있는 위험(5)
藏在森林中的危險(6)	Danger the Lurks in the Forest (6)	숲 속에 숨어있는 위험(6)
詢問要去哪才能找到閃爍花	Where can I obtain vink flowers?	빙크 꽃을 어디서 구해야하는지 묻는다
藏在森林中的危險(7)	Danger the Lurks in the Forest (7)	숲 속에 숨어있는 위험(7)
藏在森林中的危險(8)	Danger the Lurks in the Forest (8)	숲 속에 숨어있는 위험(8)
問藥劑製作方法	How do you make the cure?	약 제조법에 대해 묻는다
藏在森林中的危險(9)	Danger the Lurks in the Forest (1)	숲 속에 숨어있는 위험(9)
新研究需要的材料[死靈法師轉職]	Ah Fresh Sample [Necromancer Advancement]	새로운 연구에 필요한 재료[네크로맨서 전직]
考慮看看其他方法	Think of another solution	다른 방법을 생각해본다
香精材料[鍊金術士轉職]	The Materials for Incense [Alchemist Advancement]	향의 재료[알케미스트 전직]
瀰漫詛咒的遺物[妖術師轉職]	Cursed Keepsakes [Featherfoot Advancement]	저주가 서린 유품들[페더풋 전직]
被魔氣汙染的植物[德魯伊轉職]	Corrupted Plant [Druid Advancement]	마기에 오염된 식물[드루이드 전직]
不清晰的影像[神諭師轉職]	Faint Vision [Oracle Advancement]	희미한 영상[오라클 전직]
尋找病原菌[瘟疫醫生轉職]	Locate the Pahtogen [Plague Doctor Advancement]	병원균 찾기[플레이그닥터 전직]
數字的意義[卡巴拉轉職]	What the Numbers Signify [Kabbalist Advancement]	숫자가 의미하는 것[카발리스트 전직]
魔法學重建需要的東西[賢者轉職]	Rebuilding the  Study of Magic [Sage Advancement]	마법학 재건에 필요한 것들[세이지 전직]
魔力吸收[附魔師轉職]	Spell Absorption [Enchanter Advancement]	마력 흡수[인챈터 전직]
異端審判者[新審判者轉職]	Heretics Beware [Inquistor Advancement]	이단 심문자[인퀴지터 전직]
身為審判者，有能力承擔責任與權限。	I can fully take up the duties and authorities as an Inquisitor	심판자로서 책임과 권한을 감당할 수 있다고 한다
身為審判者，沒有能力承擔責任與權限。	I refuse to take the authorities nor the duties it entails	심판자로서 책임과 권한을 감당 할 수 없다고 한다
符咒使用法[道士轉職]	How to Charm [Taoist Advancement]	부적 사용법[도사 전직]
要求多一點考慮時間	Give me a moment to think about that	조금만 생각의 시간을 달라고 한다
忍者大師的請託	A Request from the Shinobi Master	시노비 마스터의 도움요청
拿出紙條中	Handing Over the Note	쪽지를 건내주는 중
沒關係沒關係	It's Alright	괜찮아요 괜찮아
村莊主人的財產(1)	Villagers' Valuables (1)	마을 주민의 재산(1)
村莊主人的財產(2)	Villagers' Valuables (2)	마을 주민의 재산(2)
一定想吃的東西	Just What I Was Craving	꼭 먹고 싶었던 것
鬥牛士的素養	Matador's Knowledge	마타도르의 소양
與槍彈者大師對話	Talk with the Bullet Marker Master	불릿 마커 마스터와 대화
前往槍彈者大師說的訓練場	Go to the training grounds the Bullet Marker Master mentioned	불릿 마커 마스터가 알려준 훈련장으로 이동
消滅怪物並收集勒肯家門的圖章碎片	Defeat monsters and obtain a piece of Legwyn's seal	몬스터를 처치해서 르귄가의 인장 조각 수집
消滅怪物並收集散發強烈眷戀的遺物	Defeat the monster to obtain the relic that possesses a strong grudge	몬스터를 처치하여 강한 미련이 느껴지는 유품 수집
收集中和劑材料	Collect the materials for the neutralizer	중화제 재료 수집
在怪物的背後用袋子來收集散發果香的碎片	Use the pocket behind the monsters and collect the pieces that possess a fruity fragrance	몬스터의 뒤에서 주머니를 사용하여 과일향이 나는 조각 수집
在限制時間內，依照預定目標的量消滅怪物	Defeat the number of monsters within the time limit	제한 시간 내에 몬스터 목표량만큼 처치
收集植物怪物的樣本	Collect the samples of Plant-type monsters	식물 몬스터의 샘플 수집
在卡勒埃原野設置淨化的那姆特	Set the Namott of Purification at Galeed Plateau	갈르엣 평야에 정화의 나모트 설치
與龍騎士大師對話	Talk with the Dragoon Master	드라군 마스터와 대화
向龍騎士大師報告	Report to the Dragoon Master	드라군 마스터에게 보고
請與柯拉佩達的騎士團長烏斯卡對話。	Talk to Knight Commander Uska in Klaipeda	클라페다에 있는 기사단장 우스카와 대화하세요.
以5人隊伍隊長的身分維持隊伍5分鐘	Maintain 5 people in a party for 5 minutes as a leader	5인 파티의 리더로 파티를 5분간 유지
與咒術師大師對話	Talk with the Warlock Master	워록 마스터와 대화
喚醒惡靈後消滅怪物	Defeat the monsters whose evil sprits have awakened	악령이 깨어난 몬스터 처치
向咒術師大師報告	Report to the Warlock Master	워록 마스터에게 보고
和妖術師大師對話	Talk with the Featherfoot Master	페더풋 마스터와 대화
請使用咒術道具賦予怪物詛咒	Cast a curse on the monsters using the Incantation Tools	주술도구를 사용해서 몬스터에게 저주 걸기
向妖術師大師報告	Report to the Featherfoot Master	페더풋 마스터에게 보고
與重砲手大師對話	Talk with the Canonneer Master	캐노니어 마스터와 대화
消滅飛行型與步行型怪物	Defeat Flying-type and Walking-type monsters	비행형과 보행형 몬스터 처치
向重砲手大師報告	Report to the Canonneer Master	캐노니어 마스터에게 보고
與火槍手大師對話	Talk with the Musketeer Master	머스킷티어 마스터와 대화
請與內城地區的火槍手大師對話。	Talk with the Musketeer Master at the Inner Fortress District	내성곽지구에 있는 머스킷티어 마스터와 대화하세요.
從對大射程距離攻擊怪物	Attack the monsters from the maximum distance	최대 사정거리에서 몬스터 공격
向火槍手大師報告	Report to the Musketeer Master	머스킷티어 마스터에게 보고
與瘟疫醫師大師對話	Talk with the Plague Doctor Master	플레이그 닥터 마스터와 대화
拿取結果報告	Retrieve the Reports	결과 보고서 가져오기
向瘟疫醫師大師報告	Report to the Plague Doctor Master	플레이그 닥터 마스터에게 보고
與卡巴拉大師對話	Talk with the Kabbalist Master	카발리스트 마스터와 대화
消滅出現在水星球上的數字所代表的怪物	Defeat the monster indicated by the number displayed on the crystal sphere	수성구에 나타난 숫자가 의미하는 몬스터 처치
向卡巴拉大師報告	Report to the Kabbalist Master	카발리스트 마스터에게 보고
抓準時機攻擊擊劍手的劍練習台	Hit the practice pole of Fencers at right times	펜서의 검 연습대에 타이밍 맞춰 공격
向忍者大師報告	Report to the Shinobi Master	시노비 마스터에게 보고
與卡特萊對話	Talk with Gatre	가트레와 대화
回收怪物手中的研究物品	Retrieve the research materials from the monsters	몬스터에게서 연구 물품 회수
將研究物品交給卡特萊	Hand over the research materials to Gatre	가트레에게 연구 물품 전달
偷偷請求協助	Request for the secretive rescue	은밀한 구조 요청
向卡特萊報告	Report to Gatre	가트레에게 보고
確認被丟棄在梅恩卡小丘的文件	Check the abandoned document at Menka Knoll	멘카 둔덕의 버려진 문서 확인
將研究資料交給卡特萊	Hand over the research materials to Gatre	가트레에게 연구 자료 전달
研究的真相	True Nature of the Research	연구의 실체
與薩勒瑪對話	Talk with Sarma	사르마와 대화
使用麻醉粉，並採集草綠艾迪戈的血液	Use the paralysis powder to extract Green Weldigo Blood	마취 가루를 사용해서 초록 엘디고의 혈액 채취
交給薩勒瑪	Hand them over to Sarma	사르마에게 전달
搜查遺失的研究日誌	Search the lost research paper	유실된 연구 일지 수색
擊退怪物，收集果汁結晶	Defeat the monsters to collect the fruit juice crystals	몬스터를 처치하여 과즙 결정 수집
收集過度生長的植物葉子	Collect the leaves of the plants that grew up strangely	과성장한 식물의 잎사귀 수집
將收集的材料交給薩勒瑪	Hand over the materials to Sarma	사르마에게 모은 재료 전달
妨礙研究	Sabotage the research	연구 방해공작
回去找卡特萊	Return to Gatre	가트레에게 돌아가기
確認遺失的研究日誌	Check the lost research paper	유실된 연구 일지 확인
在研究資料倉庫裏頭尋找與果樹發酵液類似的藥品	Look for the medicine that is similar to the ripen liquid from the research materials' storage	연구 자재 창고에서 과일 나무의 숙성액과 비슷한 약품 찾기
交給卡特萊	Hand them over to Gatre	가트레에게 전달
將假的果樹發酵液交給薩勒瑪	Hand over the ripen liquid of the fake fruit tree to Sarma	사르마에게 가짜 과일 나무의 숙성액 전달
