無_helmet	Empty_helmet	없음_helmet
神秘的箱子	Mystical Cube	신비한 상자
不安定的魔方	Unstable Cube	불안정한 큐브
紙製魔方	Cardboard Cube	종이로 된 큐브
第一個寇雷克詩亞魔方	First Collexia Cube	첫 번째 콜렉시아 큐브
第二個寇雷克詩亞魔方	Second Collexia Cube	두 번째 콜렉시아 큐브
第三個寇雷克詩亞魔方	Third Collexia Cube	세 번째 콜렉시아 큐브
第四個寇雷克詩亞魔方	Fourth Collexia Cube	네 번째 콜렉시아 큐브
第五個寇雷克詩亞魔方	Fifth Collexia Cube	다섯 번째 콜렉시아 큐브
第六個寇雷克詩亞魔方	Sixth Collexia Cube	여섯 번째 콜렉시아 큐브
第七個寇雷克詩亞魔方	Seventh Collexia Cube	일곱 번째 콜렉시아 큐브
第八個寇雷克詩亞魔方	Eighth Collexia Cube	여덟 번째 콜렉시아 큐브
第九個寇雷克詩亞魔方	Ninth Collexia Cube	아홉 번째 콜렉시아 큐브
小小的報恩福袋	Small Pouch of Appreciation	작은 보답의 주머니
溫情寶箱	Box of Honest Gratitude	따뜻함을 담은 상자
人情味寶箱	Big Chest of Kindness	상냥함이 가득한 상자
鬼影凱伊洛的魔方	Shadowgaler Cube	섀도게일러의 큐브
大魔法師火焰權杖的魔方	Archmage Fire Lord Cube	대마법사 파이어로드의 큐브
守衛犬地獄三頭犬的魔方	Guard Dog Cerberus Cube	파수견 켈베로스의 큐브
瑪因洛德的魔方	Mineloader Cube	마인로더의 큐브
橘色夏勒琵雅的魔方	Orange Harpeia Cube	주황 하르피아의 큐브
孟堤肯的魔方	Manticen Cube	맨티켄의 큐브
邪惡地獄亡靈的魔方	Evil Necroventer Cube	사악한 네크로벤터의 큐브
莫雷克的魔方	Molich Cube	몰렉의 큐브
利泰力斯的魔方	Riteris Cube	리테리스의 큐브
普拉姆米杜斯的魔方	Flammidus Cube	플람미두스의 큐브
雷班札特的魔方	Lavenzard Cube	래밴자드의 큐브
貫穿的孟堤肯的魔方	Pierced Manticen Cube	꿰뚫어버리는 맨티켄의 큐브
拉沛內的魔方	Rafene Cube	라페네의 큐브
阿勒瑪歐斯的魔方	Armaos' Cube	아르마오스의 큐브
赤紅雷班札特的魔方	Red Lavenzard's Cube	붉은 래밴자드의 큐브
(舊) 1號避難處遠征隊地下城魔方	(Old) The First Refuge Raid Dungeon Cube	(구) 첫 번째 피난처 레이드 던전 큐브
完成1號避難處遠征隊地下城後獲得的獎勵。	A reward obtained from The First Refuge Raid Dungeon	첫 번째 피난처 레이드 던전을 클리어하여 받은 보상입니다.
聖堂地下城魔方	Underground Chapel Dungeon Cube	성당 지하 던전 큐브
完成聖堂地下城後獲得的獎勵。	A reward obtained from Underground Chapel Dungeon	성당 지하 던전을 클리어하여 받은 보상입니다.
廢墟遺跡地地下城魔方	Historic Site Ruins Dungeon Cube	폐허 유적지 던전 큐브
完成廢墟遺跡地地下城後獲得的獎勵。	A reward obtained from Historic Site Ruins Dungeon	폐허 유적지 던전을 클리어하여 받은 보상입니다.
心願的碑石路地下城魔方	Monument of Desire Dungeon Cube	염원의 비석로 던전 큐브
完成心願的碑石路地下城後獲得的獎勵。	A reward obtained from Monument of Desire Dungeon	염원의 비석로 던전을 클리어하여 받은 보상입니다.
衰弱的勒肯家族地下城魔方	Fallen Legwyn Family Dungeon Cube	쇠락한 르귄가문의 던전 큐브
完成衰弱的勒肯家族地下城後獲得的獎勵。	A reward obtained from Fallen Legwyn Family dungeon	쇠락한 르귄가문의 던전을 클리어하여 받은 보상입니다.
地下墓穴地下城魔方	Catacombs Underground Dungeon Cube	카타콤 지하 던전 큐브
完成地下墓穴地下城後獲得的獎勵。	A reward obtained from Catacombs Underground Dungeon	카타콤 지하 던전을 클리어하여 받은 보상입니다.
完成城堡地下城後獲得的獎勵。	A reward obtained from Castle Dungeon	캐슬 던전을 클리어하여 받은 보상입니다.
城堡地下城魔方	Underground Castle Dungeon Cube	캐슬 지하 던전 큐브
1號避難處遠征隊地下城魔方	The First Refuge Raid Dungeon Cube	첫 번째 피난처 레이드 던전 큐브
Lv300 挑戰獎勵魔方	Lv 300 Challenge Cube	Lv300 챌린지 보상 큐브
Lv200 挑戰獎勵魔方	Lv 200 Challenge Cube	Lv200 챌린지 보상 큐브
練習用鐵砧	Practice Anvil	연습용 모루
銀光鐵砧(14天)	Silver Anvil (14 Days)	은빛 모루(14일)
輕便鐵砧	Lightweight Anvil	가벼운 모루
銀光鐵砧	Silver Anvil	은빛 모루
輕便鐵砧(14天)	Light Anvil (14 Days)	가벼운 모루(14일)
黃金鐵砧(14天)	Golden Anvil (14 Days)	황금 모루(14일)
發光的黃金鐵砧	Shining Golden Anvil	빛나는 황금 모루
鑽石鐵砧	Diamond Anvil	다이아몬드 모루
[活動]鑽石鐵砧(限時)	Diamond Anvil (14 Days)	다이아몬드 모루(14일)
老舊的黃金鑲嵌槽	Ancient Golden Socket	오래된 황금 소켓
發光的黃金鑲嵌槽	Shining Golden Socket	빛나는 황금 소켓
魔龍凱拉斯卡片	Gaigalas Card	가이갈라스 카드
卡片	Card	카드
凱吉青苔泥人卡片	Gazing Golem Card	게이징 골렘 카드
庫勒坤魔牛卡片	Gorgon Card	고르곤 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚庫勒坤魔牛型態惡魔	[Grimoire Equip Effect] Summons Gorgon when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 고르곤 형태의 악마 소환
青苔泥人卡片	Golem Card	골렘 카드
克萊獰怪卡片	Grinender Card	그라이넨더 카드
葛雷斯墨爾卡片	Glass Mole Card	글래스몰 카드
奇葛拉斯卡片	Ginklas Card	긴클라스 카드
尼多普巴伊卡片	Netherbovine Card	네더보바인 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚尼多普巴伊型態惡魔	[Grimoire Equip Effect] Summons Netherbovine when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 네더보바인 형태의 악마 소환
地獄亡靈卡片	Necroventer Card	네크로벤터 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚地獄亡靈型態惡魔	[Grimoire Equip Effect] Summons Necroventer when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 네크로벤터 형태의 악마 소환
鐵甲僵屍卡片	Deadborn Card	데드본 카드
惡魔葛洛夫卡片	Cursed Devilglove Card	데블글로브 카드
巨眼丹提卡片	Denoptic Card	덴옵틱 카드
尖角皮德蟲卡片	Ravinepede Card	라바인피드 카드
拉查托特卡片	Rajatoad Card	라자토드 카드
遠古石龜獸卡片	Rocktortuga Card	락토르투가 카드
雷克西波卡片	Rexipher Card	렉시퍼 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚雷克西波型態的惡魔。	[Grimoire Equip Effect] Summons Rexipher when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 렉시퍼 형태의 악마 소환
地心蟲王卡片	Reaverpede Card	리버피드 카드
[解毒裝備效果] 使用毒罐時，會發動怪物地心蟲王的技能	[Poison Pot Equip Effect] Activates a Reaverpede skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 리버피드의 스킬 발동
利卡烏斯卡片	Rikaus Card	리카우스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚利卡烏斯型態的惡魔。	[Grimoire Equip Effect] Summons Rikaus when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 리카우스 형태의 악마 소환
瑪因洛德卡片	Mineloader Card	마인로더 카드
瑪爾雷飛龍卡片	Mallet Wyvern Card	말렛와이번 카드
火山龜獸卡片	Magburk Card	매그버크 카드
孟堤肯卡片	Manticen Card	맨티켄 카드
[解毒裝備效果] 使用毒罐時，會發動怪物孟堤肯的技能	[Poison Pot Equip Effect] Activates a Manticen skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 맨티켄의 스킬 발동
木乃伊賈西特卡片	Mummyghast Card	머미가스트 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚木乃伊賈西特型態的惡魔。	[Grimoire Equip Effect] Summons Mummyghast when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 머미가스트 형태의 악마 소환
蘑菇卡利亞卡片	Mushcaria Card	머슈카리아 카드
摩吉卡片	Merge Card	머지 카드
[解毒裝備效果] 使用毒罐時，會發動怪物摩吉的技能	[Poison Pot Equip Effect] Activates a Merge skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 머지의 스킬 발동
魔斯怪卡片	Mothstem Card	모스템 카드
[解毒裝備效果] 使用毒罐時，會發動怪物魔斯怪的技能	[Poison Pot Equip Effect] Activates a Mothstem skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 모스템의 스킬 발동
莫厄卡片	Moa Card	모아 카드
莫亞班羅喀卡片	Moyabruka Card	모야브루카 카드
魔地獸卡片	Moldyhorn Card	몰디혼 카드
莫雷克卡片	Molich Card	몰렉 카드
米諾牛頭怪卡片	Minotaur Card	미노타우로스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚米諾牛頭怪型態的惡魔。	[Grimoire Equip Effect] Summons Minotaur when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 미노타우로스 형태의 악마 소환
米爾堤斯卡片	Mirtis Card	미르티스 카드
[魔法書裝備效果] 使用召喚惡魔時，會加喚米爾堤斯型態的惡魔。	[Grimoire Equip Effect] Summons Mirtis when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 미르티스 형태의 악마 소환
火暴地鼠獸卡片	Bebraspion Card	베브라스피온 카드
貝亞卡拉斯卡片	Bearkaras Card	베아카라스 카드
貝洛查德卡片	Velorchard Card	벨로차드 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚貝洛查德型態的惡魔。	[Grimoire Equip Effect] Summons Velorchard when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 벨로차드 형태의 악마 소환
布貝鬥士卡片	Vubbe Fighter Card	부베 투사 카드
赤紅布貝鬥士卡片	Red Vubbe Fighter Card	붉은 부베 투사 카드
佛蘭普卡片	Bramble Card	브람블 카드
比特雷巨蜂卡片	Biteregina Card	비테레지나 카드
[解毒裝備效果] 使用毒罐時，會發動怪物比特雷巨蜂的技能	[Poison Pot Equip Effect] Activates a Biteregina skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 비테레지나의 스킬 발동
獨眼巨人卡片	Cyclops Card	사이클롭스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚獨眼巨人型態的惡魔。	[Grimoire Equip Effect] Summons Cyclops when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 사이클롭스 형태의 악마 소환
薩爾提斯托卡片	Saltistter Card	살티스터 카드
火焰蜥蜴王卡片	Salamander Card	샐러맨더 카드
鬼影凱伊洛卡片	Shadowgaler Card	섀도게일러 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚鬼影凱伊洛型態的惡魔。	[Grimoire Equip Effect] Summons Shadowgaler when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 섀도게일러 형태의 악마 소환
石鯨怪卡片	Stone Whale Card	석화고래 카드
虛那印卡片	Shnayim Card	쉬나임 카드
巨魔蠍卡片	Scorpio Card	스콜피오 카드
惡靈君主卡片	Specter Monarch Card	스펙터 군주 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚惡靈君主型態的惡魔。	[Grimoire Equip Effect] Summons Specter Monarch when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 스펙터 군주 형태의 악마 소환
王座大蜘蛛卡片	Throneweaver Card	쓰론위버 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚王座大蜘蛛型態的惡魔。	[Grimoire Equip Effect] Summons Throneweaver when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 쓰론위버 형태의 악마 소환
生鐵巴溫卡片	Ironbaum Card	아이언바움 카드
亞崑卡片	Archon Card	아콘 카드
鐵甲殘魔卡片	Abomination Card	어보미네이션 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚鐵甲殘魔型態的惡魔。	[Grimoire Equip Effect] Summons Abomination when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 어보미네이션 형태의 악마 소환
邪惡寶箱怪卡片	Unknocker Card	언낙커 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚邪惡寶箱怪型態的惡魔。	[Grimoire Equip Effect] Summons Unknocker when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 언낙커 형태의 악마 소환
艾哈特卡片	Achat Card	에하트 카드
機角卡洛斯卡片	Ellaganos Card	엘라가노스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚機角卡洛斯型態的惡魔。	[Grimoire Equip Effect] Summons Ellaganos when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 엘라가노스 형태의 악마 소환
耶庫卡片	Yekub Card	예쿱 카드
約納喬雷卡片	Yonazolem Card	요나졸렘 카드
狼人卡片	Werewolf Card	웨어울프 카드
獨角獸卡片	Unicorn Card	유니콘 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚獨角獸型態的惡魔。	[Grimoire Equip Effect] Summons Unicorn when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 유니콘 형태의 악마 소환
伊提斯大嘴獸卡片	Iltiswort Card	일티스워트 카드
紅樹林巨獸卡片	Giant Red Wood Goblin Card	자이언트 레드 우드 카드
樹林巨獸哥布林卡片	Giant Wood Goblin Card	자이언트 우드 고블린 카드
死靈查普利卡片	Chapparition Card	채퍼리션 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚死靈查普利型態的惡魔。	[Grimoire Equip Effect] Summons Chapparition using Summoning	[그리모어 장착 효과] 서모닝 사용 시 채퍼리션 형태의 악마 소환
切波勒卡片	Chafer Card	체이퍼 카드
[解毒裝備效果] 使用毒罐時，會發動怪物切波勒的技能	[Poison Pot Equip Effect] Activates a Chafer skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 체이퍼의 스킬 발동
蓋洛貝斯寄居蟹卡片	Carapace Card	캐러페이스 카드
[解毒裝備效果] 使用毒罐時，會發動怪物蓋洛貝斯寄居蟹的技能	[Poison Pot Equip Effect] Activates a Carapace skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 캐러페이스의 스킬 발동
凱帕奇樹妖卡片	Kepa Chieftain Card	케파치프틴 카드
曼陀花獸卡片	Colimencia Card	콜리멘시아 카드
女妖克萊默卡片	Clymen Card	클라이멘 카드
奇魯毛蟲獸卡片	Kirmeleech Card	키르멜리치 카드
[解毒裝備效果] 使用毒罐時，會發動怪物奇魯毛蟲獸的技能	[Poison Pot Equip Effect] Activates a Kirmeleech skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 키르멜리치의 스킬 발동
毒魔蛙圖圖卡片	Tutu Card	투투 카드
墓主洛德卡片	Tomb Lord Card	툼로드 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚墓主洛德型態的惡魔。	[Grimoire Equip Effect] Summons Tomblord when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 툼로드 형태의 악마 소환
波亞塔卡片	Poata Card	포아타 카드
賽夸伊亞卡片	Sequoia Card	세콰이아 카드
夏勒琵雅卡片	Harpeia Card	하르피아 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚夏勒琵雅型態的惡魔。	[Grimoire Equip Effect] Summons Harpeia when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 하르피아 형태의 악마 소환
鬼眼蜘蛛卡片	Honeypin Card	허니핀 카드
[解毒裝備效果] 使用毒罐時，會發動怪物鬼眼蜘蛛的技能	[Poison Pot Equip Effect] Activates a Honeypin skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 허니핀의 스킬 발동
赫嘉塞露卡片	Helgasercle Card	헬가 세르클 카드
[魔法書裝備效果] 使用召喚惡魔時，召喚赫嘉塞露型態的惡魔。	[Grimoire Equip Effect] Summons Helgasercle when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 헬가 세르클 형태의 악마 소환
蠱惑惡靈卡片	Specter of Deceit Card	현혹의 스펙터 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚蠱惑惡靈型態的惡魔。	[Grimoire Equip Effect] Summons Specter of Deceit when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 현혹의 스펙터 형태의 악마 소환
水螅卡片	Hydra Card	히드라 카드
魔鬼鰩卡片	Rajapearl Card	라자펄 카드
克洛提德卡片	Corrupted Card	코럽티드 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚克洛提德型態的惡魔。(不能移動)	[Grimoire Equip Effect] Summons Corrupted when using Summoning (Unable to move)	[그리모어 장착 효과] 서모닝 사용 시 코럽티드 형태의 악마 소환. (이동 불가능)
雷普斯卡片	Lepus Card	레푸스 카드
斯帕勒那絲卡片	Sparnas Card	스파르나스 카드
史潘飛行獸人卡片	Sparnasman Card	스파나스맨 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚史潘飛行獸人型態的惡魔。	[Grimoire Equip Effect] Summons Sparnasman when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 스파나스맨 형태의 악마 소환
地獄三頭犬卡片	Cerberus Card	켈베로스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚地獄三頭犬型態的惡魔。	[Grimoire Equip Effect] Summons Cerberus when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 켈베로스 형태의 악마 소환
卡普里亞卡片	Capria Card	카프리아 카드
豬籠草卡片	Nepenthes Card	네펜더스 카드
希默普卡片	Simorph Card	시모프 카드
灰色青苔泥人卡片	Gray Golem Card	회색 골렘 카드
那柯堤斯卡片	Naktis Card	나크티스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚那柯堤斯型態的惡魔。	[Grimoire Equip Effect] Summons Naktis when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 나크티스 형태의 악마 소환
克羅洛鐘卡片	Linkroller Card	링크롤러 카드
圖拉漢卡片	Dullahan Card	듀라한 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚圖拉漢型態的惡魔。	[Grimoire Equip Effect] Summons Dullahan when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 듀라한 형태의 악마 소환
利泰力斯卡片	Riteris Card	리테리스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚利泰力斯型態的惡魔。	[Grimoire Equip Effect] Summons Riteris when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 리테리스 형태의 악마 소환
努亞耶雷卡片	Nuaele Card	누아엘레 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚努亞耶雷型態的惡魔。	[Grimoire Equip Effect] Summons Nuaele when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 누아엘레 형태의 악마 소환
諾溫卡片	Neop Card	네옵 카드
[解毒裝備效果] 使用毒罐時，會發動怪物諾溫的技能	[Poison Pot Equip Effect] Activates a Neop skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 네옵의 스킬 발동
布爾魯卡片	Blut Card	블룻 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚布爾魯型態的惡魔。	[Grimoire Equip Effect] Summons Blut when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 블룻 형태의 악마 소환
喀拉庫曼卡片	Glackuman Card	글락쿠만 카드
泰特拉歐克斯卡片	Tetraox Card	테트라옥스 카드
石化蜥蜴卡片	Basilisk Card	바실리스크 카드
[解毒裝備效果] 使用毒罐時，會發動怪物石化蜥蜴的技能	[Poison Pot Equip Effect] Activates a Basilisk skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 바실리스크의 스킬 발동
小魔怪卡片	Gremlin Card	그렘린 카드
佛羅斯凱卡片	Plokste Card	플록스케 카드
[解毒裝備效果] 使用毒罐時，會發動怪物佛羅斯凱的技能	[Poison Pot Equip Effect] Activates a Plokste skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 플록스케의 스킬 발동
烏特魂間卡片	Wood Houngan Card	우드혼간 카드
貝紐特卡片	Velnewt Card	벨뉴트 카드
[解毒裝備效果] 使用毒罐時，會發動怪物貝紐特的技能	[Poison Pot Equip Effect] Activates a Velnewt skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 벨뉴트의 스킬 발동
貝皮特卡片	Velpede Card	벨피드 카드
[解毒裝備效果] 使用毒罐時，會發動怪物貝皮特的技能	[Poison Pot Equip Effect] Activates a Velpede skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 벨피드의 스킬 발동
派伊羅艾庫卡片	Pyroego Card	파이로에고 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚派伊羅艾庫型態的惡魔。(不能移動)	[Grimoire Equip Effect] Summons Pyroego when using Summoning (Unable to move)	[그리모어 장착 효과] 서모닝 사용 시 파이로에고 형태의 악마 소환. (이동 불가능)
曼達拉卡片	Mandara Card	만다라 카드
利托雷克斯卡片	Lithorex Card	리토렉스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚利托雷克斯型態的惡魔。	[Grimoire Equip Effect] Summons Lithorex when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 리토렉스 형태의 악마 소환
努歐達伊卡片	Nuodai Card	누오다이 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚努歐達伊型態的惡魔。(不能移動)	[Grimoire Equip Effect] Summons Nuodai when using Summoning (Unable to move)	[그리모어 장착 효과] 서모닝 사용 시 누오다이 형태의 악마 소환. (이동 불가능)
肯陶洛斯卡片	Centaurus Card	켄타우로스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚肯陶洛斯型態的惡魔。	[Grimoire Equip Effect] Summons Centaurus when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 켄타우로스 형태의 악마 소환
雪人卡片	Yeti Card	예티 카드
普羅高拉卡片	Progola Card	프로골라 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚普羅高拉型態的惡魔。	[Grimoire Equip Effect] Summons Progola when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 프로골라 형태의 악마 소환
提線木偶卡片	Marionette Card	마리오네트 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚提線木偶型態的惡魔。(不能移動)	[Grimoire Equip Effect] Summons Marionette when using Summoning (Unable to move)	[그리모어 장착 효과] 서모닝 사용 시 마리오네트 형태의 악마 소환. (이동 불가능)
肯瑟琳卡片	Canceril Card	캔서릴 카드
[解毒裝備效果] 使用毒罐時，會發動怪物肯瑟琳的技能	[Poison Pot Equip Effect] Activates a Canceril skill when using Poison Pot	[포이즌팟 장착 효과] 독항아리 사용 시 몬스터 캔서릴의 스킬 발동
克雷比爾卡片	Crabil Card	크래빌 카드
神燈魔神卡片	Master Genie Card	마스터 지니 카드
蒙雷幾那卡片	Merregina Card	머레지나 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚蒙雷幾那型態的惡魔。	[Grimoire Equip Effect] Summons Merregina when using Summoning (Unable to move)	[그리모어 장착 효과] 서모닝 사용 시 머레지나 형태의 악마 소환
神殿射手卡片	Templeshooter Card	템플슈터 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚神殿射手型態的惡魔。	[Grimoire Equip Effect] Summons Templeshooter when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 템플슈터 형태의 악마 소환
火焰權杖卡片	Fire Lord Card	파이어로드 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚火焰權杖型態的惡魔。	[Grimoire Equip Effect] Summons Fire Lord when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 파이어로드 형태의 악마 소환
庫巴斯卡片	Kubas Card	큐바스 카드
死亡魔女卡片	Deathweaver Card	데스위버 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚死亡魔女型態的惡魔。	[Grimoire Equip Effect] Summons Deathweaver when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 데스위버 형태의 악마 소환
普拉姆米杜斯卡片	Flammidus Card	플람미두스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚普拉姆米杜斯型態的惡魔。	[Grimoire Equip Effect] Summons Flammidus when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 플람미두스 형태의 악마 소환
馬魯若斯卡片	Marnox Card	마르녹스 카드
[魔法書裝備效果] 使用召喚惡魔時會召喚馬魯若斯型態的惡魔	[Grimoire Equip Effect] Summons Marnox when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 마르녹스 형태의 악마 소환
扎烏拉卡片	Zaura Card	자우라 카드
[魔法書裝備效果] 召喚惡魔 使用時可召喚扎烏拉型態惡魔	[Grimoire Equip Effect] Summons Zaura when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 자우라 형태의 악마 소환
普利森考特卡片	Prison Cutter Card	프리즌커터 카드
[魔法書裝備效果]使用召喚惡魔時可召喚普利森考特型態惡魔	[Grimoire Equip Effect] Summons Prison Cutter when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 프리즌커터 형태의 악마 소환
雪貂掠奪者卡片	Ferret Marauder Card	페릿머로더 카드
維尼亞猴子卡片	Velnia Monkey Card	벨니아몽키 카드
樹精卡	Woodspirit Card	우드스피릿 카드
阿勒瑪歐斯卡	Armaos Card	아르마오스 카드
夢魔卡	Succubus Card	서큐버스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚夢魔型態的惡魔。	[Grimoire Equip Effect] Summons Succubus when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 서큐버스 형태의 악마 소환
森林石怪卡	Stone Froster Card	스톤프로스터 카드
拉沛內卡	Rafene Card	라페네 카드
雷班札特卡	Lavenzard Card	래밴자드 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚雷班札特型態的惡魔。	[Grimoire Equip Effect] Summons Lavenzard when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 래밴자드 형태의 악마 소환
庫勒卡斯卡	Gorkas Card	고르카스 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚庫勒卡斯型態的惡魔。 	[Grimoire Equip Effect] Summons Gorkas when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 고르카스 형태의 악마 소환
弗羅斯特領主卡	Froster Lord Card	프로스터 로드 카드
[魔法書裝備效果] 使用召喚惡魔時，會召喚弗羅斯特領主型態的惡魔。 	[Grimoire Equip Effect] Summons Froster Lord when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 프로스터 로드 형태의 악마 소환
魔君主馬魯若斯卡片	Demon Lord Marnox Card	마군주 마르녹스 카드
[魔法書裝備效果] 使用召喚惡魔時，召喚魔君主馬魯若斯型態的惡魔。	[Grimoire Equip Effect] Summons Demon Lord Marnox when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 마군주 마르녹스 형태의 악마 소환
魔君主布爾魯卡片	Demon Lord Blut Card	마군주 블룻 카드
[魔法書裝備效果] 使用召喚惡魔時，召喚魔君主布爾魯型態的惡魔。	[Grimoire Equip Effect] Summons Demon Lord Blut when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 마군주 블룻 형태의 악마 소환
魔君主扎烏拉卡片	Demon Lord Zaura Card	마군주 자우라 카드
[魔法書裝備效果] 使用召喚惡魔時，召喚魔君主扎烏拉型態的惡魔。	[Grimoire Equip Effect] Summons Demon Lord Zaura when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 마군주 자우라 형태의 악마 소환
魔君主努亞耶雷卡片	Demon Lord Nuaele Card	마군주 누아엘레 카드
[魔法書裝備效果] 使用召喚惡魔時，召喚魔君主努亞耶雷型態的惡魔。	[Grimoire Equip Effect] Summons Demon Lord Nuaele when using Summoning	[그리모어 장착 효과] 서모닝 사용 시 마군주 누아엘레 형태의 악마 소환
