守墓人的日記	Grave Keeper Journal	묘지기의 일기
骸骨們	Skulls	해골들
如今能安眠了嗎？	Is he resting now?	이제 편히 잠들었을까?
士兵的日記	Soldier's Diary	병사의 일기
軍人	member of the army	군인
掉出來的日誌	Abandoned Journal	떨어져 있는 일지
廢都的女神像	Dead End Goddess Statue	폐도의 여신상
盜墓團移動方法	Transportation for Grave Robbers	도굴단 이동법
水果籃	Fruit Basket	과일바구니
吃一次試試？	Have a bite?	한 번 먹어 볼까?
吃了會怎麼樣？	What happens if you eat them?	먹으면 어떻게 될까.
這是哪裡？	Where am I?	여긴 어디?
木頭踏板	Wooden Panel	나무 발판
這裡是哪裡？	Where is this place?	여긴 어디지?
灰塵堆	Pile of Dust	먼지더미
磨損的紙張	Fraying Paper	너덜거리는 종이
縱橫交錯的藤蔓	Tangled Vines	얽혀 있는 덩굴
亞勒奇達斯	Arghidas	아르기다스
那事你怎麼會知道？	How do you know that?	그걸 당신이 어떻게 알고 있는거요?
試一次看看？	Shall we give it a try?	한번 해볼까?
阿曼達的石碑	Amanda's Tombstone	아만다의 비석
囚犯的紙條	Inmate Note	죄수의 쪽지
啟示者米歇爾的感想	Revelator Mihail's Review	계시자 미하일의 감상평
刻在戒指上的字句	Writings Carved on the Ring	반지에 새겨져 있었던 문구
不過你怎麼會上到這來？	How exactly did you get up here?	근데 여기는 어떻게 올라오신 겁니까?
Portrait用	For Portraits	포트레이트용
石化抑制裝置	Petrification Restraint Device	석화 억제 장치
開啟或是關閉石化抑制裝置。	Turn on or off the Petrification Restraint Device	석화 억제 장치를 켜거나 끈다.
有什麼事嗎？	To what do I owe this pleasure?	무슨 일이신가요?
採藥者凱爾希斯？	Herbalist Kalcis?	약초꾼 칼시스요?
找我有什麼事嗎？	Is it me whom you wanted to see?	저에게 무슨 볼일이 있으신가요?
魔族掃蕩募集員	Demon Hunt Recruiter	마족 소탕 모집원
鑑定師 桑德拉	Identifier Sandra	감정사 산드라
封印的石碑	Seal Tombstone	봉인의 비석
希凱斯	Cicas	시카스
支援士兵	Support Soldier	지원 병사
魔族與女神的誓約	The Demon-Goddess Treaty	마족과 여신의 서약
預言之書	Prophecy Tome	예언의 서
木桶	Barrel	나무통
這些墳墓的主人都到女神身邊了嗎？	Are the owners of these graves with the goddess now?	이 무덤들의 주인들도 여신의 곁으로 갔을까?
這地方的靈魂也都安息了嗎？	Are all the spirits here resting in peace?	이 곳의 영혼들도 모두 편안하게 잠들었을까?
洋芋麵包怎麼樣了？	Did you like the potato bread?	감자빵은 어쩌셨어요?
喔？變熟了嗎？	Uh? Does it like me?	어? 친해진 건가?
貓咪怎麼這麼可愛？	Why are cats even cute?	고양이는 왜 귀여운 걸까?
那麼可以請你拿給在那邊的傑克嗎？	Should I send you to Jack over there instead?	그럼, 저 쪽 잭에게라도 보내드릴까요?
躲避石化霜而來的商人	Merchant Running from the Petrifying Frost	석화서리를 피해 온 상인
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
클라페다의 내기꾼	QUEST_20180219_007474	
라이마의 천년전 3권	QUEST_20180219_007474	
에미넌트 이야기1	QUEST_20180219_007474	
미르티스 이야기	QUEST_20180219_007474	
미르티스 이야기	QUEST_20180219_007474	
네뷸라스와 칼레이마스	QUEST_20180219_007474	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
클라페다의 내기꾼	라이마의 천년전 3권	
라이마의 천년전 3권	라이마의 천년전 3권	
에미넌트 이야기1	라이마의 천년전 3권	
미르티스 이야기	라이마의 천년전 3권	
미르티스 이야기	라이마의 천년전 3권	
네뷸라스와 칼레이마스	라이마의 천년전 3권	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
클라페다의 내기꾼	에미넌트 이야기1	
라이마의 천년전 3권	에미넌트 이야기1	
에미넌트 이야기1	에미넌트 이야기1	
미르티스 이야기	에미넌트 이야기1	
미르티스 이야기	에미넌트 이야기1	
네뷸라스와 칼레이마스	에미넌트 이야기1	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
클라페다의 내기꾼	미르티스 이야기	
라이마의 천년전 3권	미르티스 이야기	
에미넌트 이야기1	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
네뷸라스와 칼레이마스	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
클라페다의 내기꾼	미르티스 이야기	
라이마의 천년전 3권	미르티스 이야기	
에미넌트 이야기1	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
네뷸라스와 칼레이마스	미르티스 이야기	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
클라페다의 내기꾼	네뷸라스와 칼레이마스	
라이마의 천년전 3권	네뷸라스와 칼레이마스	
에미넌트 이야기1	네뷸라스와 칼레이마스	
미르티스 이야기	네뷸라스와 칼레이마스	
미르티스 이야기	네뷸라스와 칼레이마스	
네뷸라스와 칼레이마스	네뷸라스와 칼레이마스	
單戀少女	Girl in Love	짝사랑 소녀
收到巧克力的少年	Sweet Boy	초콜릿 받은 소년
棒棒糖套裝還沒好嗎？	Do you have the Candy Basket?	사탕 세트는 아직인가요?
瓦卡麗涅的奎波爾	Vakarine's Kupole	바카리네의 큐폴
澤米娜的奎波爾	Zemyna's Kupole	제미나의 큐폴
尤斯達斯	Justas	유스타스
再拉一次水井的繩索試試？	Should I pull on the rope again?	우물의 밧줄을 다시 당겨 볼까?
是不知名的水井。	A well?	알 수 없는 우물이다.
安德伊村莊居民的日記	Andale Village Resident Diary	안데일 마을 주민의 일기
積滿灰塵的東西	Dusty Objects	먼지쌓인 물건들
冒出煙霧的地方	Smokey Spot	연기가 나는 곳
灑下從廢棄的農家帶來的水試試？	Should I throw away the water from before here?	버려진 농가에서 가져온 물을 뿌려 볼까?
說明的貓頭鷹	Explaining Owl	설명하는 부엉이
刻著符文的碑石	Rune Tombstone	룬 문자가 새겨진 비석
在哪裡被叮成這樣的？不痛嗎？	How did you get stung? Doesn't it hurt?	어디서 그렇게 쏘이셨어요? 안 아프세요?
你說艾沙奇烏村莊有火冒三丈的神靈？	You say there's an angry spirit in Escanciu Village?	에산치우 마을에 막 화를 내는 신령이 있다고?
是在下面嗎？	Do I need to go down?	아래쯤인가?
被撕碎的紙張碎片	Ripped Piece of Paper	찢어진 종이 조각
被放在棺木附近的東西	Objects on the Ground	관 근처 놓인 물건
凱碧蕾公主隨從	Pricess Gaivile's Attendant	가이빌레 공주 수행원
敕命委任狀	Royal Order	칙명 위임장
柯拉佩達騎士團長烏斯卡	Klaipeda Knight Commander Uska	클라페다 기사단장 우스카
鑑定師大師	Appraiser Master	감정사 마스터
海斯藍信物	Hethran Badge	헤스란 증표
貴金屬收集家	Jewelry Collector	귀금속 수집가
是在說我？	Me?	나 말인가?
法杖碎片	Wand Fragment	지팡이 파편
可疑的陷阱	Suspicious Trap	수상한 함정
隱藏的字句	Hidden Writings	숨겨져 있던 글귀
和傳達員都打過招呼了？	Did you meet all the receptionists?	접수원들과 인사는 모두 나누신건가요?
魔石強化裝置	Magic Stone Enhancer	마석 강화장치
和餅乾一塊升級	Level Up Chest Challenge	쿠키와 함께 레벨업
升級獎勵箱	Level Up Chest	레벨업 보상 상자
330 Level 獎勵	Level 330 Reward	330 Level 보상
淘氣少女	Little Trickster	장난꾸러기 소녀
地區移動	Move Zone	지역이동
寶物箱子支援商人	Treasure Chest Merchant	보물 상자 지원상인
奎波爾伺服器支援兵	Kupole Server Helper	큐폴 서버 지원병
新手引導員	Leveling Guide	가이드 안내원
要馬上去找大師 NPC 嗎？	Do you want to move to the Master NPC?	마스터 NPC에게 바로 이동하시겠습니까?
要前往邪靈祭司大師的家嗎？	Do you want to move to the Bokor Master's Home?	보코르 마스터의 집으로 이동하시겠습니까?
要前往高地戰士大師的家嗎？	Do you want to move to the Highlander Master's Training Hall?	하이랜더 마스터의 도장으로 이동하시겠습니까?
要前往烈焰術士大師的家嗎？	Do you want to move to the Pyromancer Master's Lab?	파이로맨서 마스터의 연구실로 이동하시겠습니까?
重置支援奎波爾	Reset Helper Kupole	초기화 지원 큐폴
裝備補給兵	Equipment Supplier	장비 보급병
杜奈斯的信物帶來了嗎？	Did you collect a few of Donnes' Badges?	도네스의 증표를 가지고 오셨나요?
商品交換員	Reward Exchange Voucher	상품 교환원
海賊團員	Pirate	해적 단원
氣球活動小幫手	Popolion Mascot	풍선 이벤트 도우미
玩具活動小幫手	Tuxedo Cat	장난감 이벤트 도우미
今天送什麼禮物好呢？	What will it be today?	오늘은 어떤 선물을 드릴까요?
黃金之歌傭兵團員	Golden Note Mercenary	황금노래 용병단원
拿到確認書了嗎？	Do you have the certificates?	확인증을 받아오셨나요?
你是新的祭司嗎？	Are you a new priest?	자네는 새로운 사제인가?
武僧祭司	Monk	몽크 사제
職業解除券	Class Unlock Voucher	클래스 해금권
你說想要加入我們傭兵團？	Are you saying you want to join us?	우리 용병단에 들어 오고 싶다고?
刀刃誓約傭兵團員	Pledge of the Blade Mercenary	칼날서약 용병단원
與我們刀刃誓約傭兵團員合作如何？	So you wanna join the Pledge of the Blade?	우리 칼날서약 용병단과 함께하는 건 어때?
看似神祕的祭壇	Mysterious Altar	신비로워 보이는 제단
釣魚場管理員 悠夏	Fishing Manager Joha	낚시터 관리인 요하
男子用與女子用，你需要哪一個？	Do you need the male or female version of the costume?	남자용, 여자용 어떤 게 필요하신가요?
貓咪活動小幫手	Tuxedo Cat	고양이 이벤트 도우미
刀刃誓約傭兵團 調查員	Pledge of the Blade Investigator	칼날서약 용병단 조사원
發送獎勵	Give Reward	보상 지급
他們說是從東邊森林帶回來的暗號文呢。	Is this the cryptogram your brought from the East Woods?	동쪽 숲에서 가지고 오신 암호문이라고요.
你說這把弓是在凱利高原發現的？	Are you saying you found this arrowhead in Gele Plateau?	이 화살촉이 겔리 고원에서 발견되었던 것이라고?
痕跡	Traces	흔적
尤拉泰的奎波爾	Jurate's Kupole	유라테의 큐폴
確認獎勵	Check Rewards	보상 확인
開墾民	Settler	개척민
注意	Attention	주의
喵嗚	Meow	야옹
萬聖節稻草人	Scaredy Scarecrow	할로윈 허수아비
要增加何種怪物的等級?	Which monster's level would you like to increase? 	어떤 몬스터에 레벨을 증가시키겠습니까?
這種活動小幫手	Event Helper	이런 이벤트 도우미
今天得到了 	Today 	오늘은 
這種活動	this event	이런 이벤트
目前為了幫助新來的救援者， 	I'm giving new Saviors the  	새로 오신 구원자분들을 성장을 도우려고 
只有330級以下 	You can only receive the  	330레벨 이하에서만 
邀請活動小幫手	Invitation Event Helper	초대 이벤트 도우미
選擇套裝	Select Costume	코스튬 선택
拉伊瑪的奎波爾	Laima's Kupole	라이마의 큐폴
蝴蝶很多的蒲公英	Dandelion with Butterflies	나비들이 많이 있는 민들레 꽃
多疑的哈勃克	Suspicion Hauberk	의심의 하우벅
修道士艾斯堤司	Monk Aistis	수도사 아이스티스
野心的哈勃克	Ambition Hauberk	야망의 하우벅
然後契約信物怎麼樣了？	And what of that Contract Token?	그리고 계약의 증표는 어떻게 됐나?
欺瞞的哈勃克	Deception Hauberk	기만의 하우벅
該不會是要背叛我吧？	Is this a plot to betray me?	설마 날 배신하겠다는 건가?
該不會是找到了契約信物？	Have you found the Contract Token?	설마 계약의 증표를 찾았나?
已經對契約信物施了魔法嗎？	Is the Contract Token properly cursed?	계약의 증표에는 마법을 잘 걸었나?
紀錄寶珠生成裝置	Registry Orb Generator	기록의 보주 생성장치
為了攻擊我，還修復了我辛苦破壞的弗羅里的設施！	Aren't you the one who went and repaired Flurry's equipment so you could attack me?	날 공격하려고 기껏 파괴한 플러리의 시설을 고친 것도 말이야!
亞佳伊拉弗羅里的幻影	Agailla Flurry Apparition	아가일라 플러리의 환영체
梅德依那女神的祭司茵德蕾雅	Goddess Medeina's Priest Indrea	메데이나 여신의 사제 인드레아
白色柱子	White Pillar	하얀 색 기둥
黃色柱子	Green Pillar	노란 색 기둥
藍色柱子	Blue Pillar	파란 색 기둥
消滅他，並且將巨錘王的血放入此一裝置當中。	Control Terminal	사원 제어 장치
鬥牛士佈告欄	Matador Notice Board	마타도르 게시판
里納斯	Linas	리나스
利迪斯	Litis	리티스
鬥牛士大師	Matador Master	마타도르 마스터
利曼塔斯	Rimantas	리만타스
利曼塔斯給的筆記	Rimantas' Note	리만타스가 준 메모장
已經向槍彈者大師聽說了整件事嗎？	Did you talk to the Bullet Marker Master?	불릿 마커 마스터에게서 이야기 들으셨나요?
槍彈者大師給的筆記	Bullet Marker Master's Memo	불릿 마커 마스터가 준 메모장
委託進行的如何？	How did it go?	의뢰는 어떻게 됐나요?
奈凌卡	Neringa	네링가
她現在在哪裡？	Where is she now?	그녀는 지금 어디에 있지?
有必要由我親自對付你嗎？	Should I even bother with you?	널 내가 직접 상대할 필요가 있을까?
放置的書	Abandoned Book	방치된 책
糟糕，來了一位意外的客人，該怎麼辦呢？	What is this? A surprise visit?	이런, 의외의 손님이 오셨으니 이를 어떻게 한다?
魔君主蘇科姆	Demon Lord Solcomm	마군주 솔콤
暗影師大師	Shadowmancer Master	섀도우맨서 마스터
老舊的機械裝置	Old Machine	오래된 기계 장치
混濁晶球	Hazy Sphere	탁한 구슬
淨化裝置	Purification Device	정화 장치
星之塔小遊戲寶箱	Astral Tower Gimmick Treasure Chest	별의 탑 기믹 보물 상자
星星碎片	Star Fragment	별 조각
奇妙的甕	Mysterious Pot	묘한 항아리
星星碎片是不是可以裝入這個甕裡？	Can it hold the star fragments?	항아리에 별 조각을 담을 수 있을까?
星星碎片	Star Fragment	별조각
古老的祭壇	Old Altar	오래된 제단
狂熱者大師	Zealot Master	질럿 마스터
你對我們教團的教理有興趣嗎？	Are you perhaps interested in the doctrines of our order?	우리 교단의 교리에 흥미가 있으십니까?
已經準備好應試了嗎？	Are you ready to prove yourself?	시험에 응하실 준비가 되셨습니까?
想要了解狂熱者宗團嗎？	You want to know about the Zealots?	질럿 종단에 대해 알고 싶다고?
狂熱者宗團嗎？	The Zealots?	질럿 종단이요?
你想要挑戰哪一種測試？	Which trial are you interested in?	당신은 어떤 시험에 도전하길 원하십니까?
狂熱者教團與女神的神聖力	Zealots and Divine Power	질럿 교단과 여신의 신성력
為了什麼事來找我？	What can I do for you?	무슨 일로 찾아오셨는가?
找我有什麼事嗎？	Is there anything you need?	나에게 무슨 용무가 있는가?
我們教團目前採取的路線是？	What characterizes the stance of our order?	우리 교단이 지금 취하고 있는 노선은 무엇입니까?
我們狂熱者宗團的力量是借助哪一位女神的神聖力呢？	From which goddess do Zealots borrow their divine power?	우리 질럿 종단의 힘은 어떤 여신의 신성력을 빌려서 행하나요?
我們身為聖職者，要使用能力的手段是什麼？	Through what means do we use our powers as clerics?	우리가 성직자로서 능력을 사용하는 수단은 무엇인가요?
成為我們力量根源的神聖力是什麼？	What kind of divine force serves as a source for our power?	우리의 힘의 근원이 되는 신성력은 무엇인가요?
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
클라페다의 내기꾼	QUEST_20180219_007474	
라이마의 천년전 3권	QUEST_20180219_007474	
에미넌트 이야기1	QUEST_20180219_007474	
미르티스 이야기	QUEST_20180219_007474	
미르티스 이야기	QUEST_20180219_007474	
네뷸라스와 칼레이마스	QUEST_20180219_007474	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
클라페다의 내기꾼	라이마의 천년전 3권	
라이마의 천년전 3권	라이마의 천년전 3권	
에미넌트 이야기1	라이마의 천년전 3권	
미르티스 이야기	라이마의 천년전 3권	
미르티스 이야기	라이마의 천년전 3권	
네뷸라스와 칼레이마스	라이마의 천년전 3권	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
클라페다의 내기꾼	에미넌트 이야기1	
라이마의 천년전 3권	에미넌트 이야기1	
에미넌트 이야기1	에미넌트 이야기1	
미르티스 이야기	에미넌트 이야기1	
미르티스 이야기	에미넌트 이야기1	
네뷸라스와 칼레이마스	에미넌트 이야기1	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
클라페다의 내기꾼	미르티스 이야기	
라이마의 천년전 3권	미르티스 이야기	
에미넌트 이야기1	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
네뷸라스와 칼레이마스	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
클라페다의 내기꾼	미르티스 이야기	
라이마의 천년전 3권	미르티스 이야기	
에미넌트 이야기1	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
네뷸라스와 칼레이마스	미르티스 이야기	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
클라페다의 내기꾼	네뷸라스와 칼레이마스	
라이마의 천년전 3권	네뷸라스와 칼레이마스	
에미넌트 이야기1	네뷸라스와 칼레이마스	
미르티스 이야기	네뷸라스와 칼레이마스	
미르티스 이야기	네뷸라스와 칼레이마스	
네뷸라스와 칼레이마스	네뷸라스와 칼레이마스	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
클라페다의 내기꾼	QUEST_20180219_007474	
라이마의 천년전 3권	QUEST_20180219_007474	
에미넌트 이야기1	QUEST_20180219_007474	
미르티스 이야기	QUEST_20180219_007474	
미르티스 이야기	QUEST_20180219_007474	
네뷸라스와 칼레이마스	QUEST_20180219_007474	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
클라페다의 내기꾼	라이마의 천년전 3권	
라이마의 천년전 3권	라이마의 천년전 3권	
에미넌트 이야기1	라이마의 천년전 3권	
미르티스 이야기	라이마의 천년전 3권	
미르티스 이야기	라이마의 천년전 3권	
네뷸라스와 칼레이마스	라이마의 천년전 3권	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
클라페다의 내기꾼	에미넌트 이야기1	
라이마의 천년전 3권	에미넌트 이야기1	
에미넌트 이야기1	에미넌트 이야기1	
미르티스 이야기	에미넌트 이야기1	
미르티스 이야기	에미넌트 이야기1	
네뷸라스와 칼레이마스	에미넌트 이야기1	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
클라페다의 내기꾼	미르티스 이야기	
라이마의 천년전 3권	미르티스 이야기	
에미넌트 이야기1	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
네뷸라스와 칼레이마스	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
클라페다의 내기꾼	미르티스 이야기	
라이마의 천년전 3권	미르티스 이야기	
에미넌트 이야기1	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
네뷸라스와 칼레이마스	미르티스 이야기	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
클라페다의 내기꾼	네뷸라스와 칼레이마스	
라이마의 천년전 3권	네뷸라스와 칼레이마스	
에미넌트 이야기1	네뷸라스와 칼레이마스	
미르티스 이야기	네뷸라스와 칼레이마스	
미르티스 이야기	네뷸라스와 칼레이마스	
네뷸라스와 칼레이마스	네뷸라스와 칼레이마스	
幻像圖書館管理方針	Fantasy Library Administration Guidelines	환상도서관 관리지침
米爾堤斯的故事 	The Story of Mirtis	미르티스 이야기
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
클라페다의 내기꾼	QUEST_20180219_007474	
라이마의 천년전 3권	QUEST_20180219_007474	
에미넌트 이야기1	QUEST_20180219_007474	
미르티스 이야기	QUEST_20180219_007474	
미르티스 이야기	QUEST_20180219_007474	
네뷸라스와 칼레이마스	QUEST_20180219_007474	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
	라이마의 천년전 3권	
클라페다의 내기꾼	라이마의 천년전 3권	
라이마의 천년전 3권	라이마의 천년전 3권	
에미넌트 이야기1	라이마의 천년전 3권	
미르티스 이야기	라이마의 천년전 3권	
미르티스 이야기	라이마의 천년전 3권	
네뷸라스와 칼레이마스	라이마의 천년전 3권	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
	에미넌트 이야기1	
클라페다의 내기꾼	에미넌트 이야기1	
라이마의 천년전 3권	에미넌트 이야기1	
에미넌트 이야기1	에미넌트 이야기1	
미르티스 이야기	에미넌트 이야기1	
미르티스 이야기	에미넌트 이야기1	
네뷸라스와 칼레이마스	에미넌트 이야기1	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
클라페다의 내기꾼	미르티스 이야기	
라이마의 천년전 3권	미르티스 이야기	
에미넌트 이야기1	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
네뷸라스와 칼레이마스	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
	미르티스 이야기	
클라페다의 내기꾼	미르티스 이야기	
라이마의 천년전 3권	미르티스 이야기	
에미넌트 이야기1	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
미르티스 이야기	미르티스 이야기	
네뷸라스와 칼레이마스	미르티스 이야기	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
	네뷸라스와 칼레이마스	
클라페다의 내기꾼	네뷸라스와 칼레이마스	
라이마의 천년전 3권	네뷸라스와 칼레이마스	
에미넌트 이야기1	네뷸라스와 칼레이마스	
미르티스 이야기	네뷸라스와 칼레이마스	
미르티스 이야기	네뷸라스와 칼레이마스	
네뷸라스와 칼레이마스	네뷸라스와 칼레이마스	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
	클라페다의 내기꾼	
클라페다의 내기꾼	클라페다의 내기꾼	
라이마의 천년전 3권	클라페다의 내기꾼	
에미넌트 이야기1	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
미르티스 이야기	클라페다의 내기꾼	
네뷸라스와 칼레이마스	클라페다의 내기꾼	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
	QUEST_20180219_007474	
