皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
不想做	Do not do it	하지 않는다
安撫神靈	Appease the Divine Spirit	신령 달래기
叫他自己做不行嗎？	Why don't you do it yourself?	직접 하라고 말한다
干擾安息者的人	Eternal Rest Interrupted	영면을 방해하려는 자
品質證明[鑑定師轉職](1)	Quality Certificate [Appraiser Advancement](1) 	품질 인증서[감정사 전직](1)
品質證明[鑑定師轉職](2)	Quality Certificate [Appraiser Advancement](2) 	품질 인증서[감정사 전직](2)
去轉交品質證明	Deliver the Quality Certificate	품질 인증서를 전달하러 간다
作賊心虛[工兵轉職]	Guilty Conscience [Sapper Advancement] (1)	도둑이 제 발 저린다[새퍼 전직]
與士兵杜米尼克對話	Talk to Soldier Dominic	병사 도미니크와 대화
偵查貝爾圖伊交叉路	Patrol Veltui Crossroads	벨투이 교차로로 정찰
消滅出現在交叉路上的怪物	Defeat the monsters that appeared near the Crossroads	교차로에 나타난 몬스터 처치
與士兵山姆森對話	Talk to Soldier Samson	병사 샘슨과 대화
在毛蟲獸肚子裡尋找訂婚戒指	Look for the engagement ring in Meleech's stomach	멜리치의 뱃속에서 약혼반지 찾기
交給士兵山姆森	Give it to Soldier Samson	병사 샘슨에게 전달
收集伊薛希奈堤懸崖裡乾掉的樹枝	Collected Dry Thorn Forest Wood from Ishisineti Cliff	이쉬시네티 벼랑에서 마른 나뭇가지 수집
調查腐爛的樹木殘根	Inspect the Rotten Stump	썩은 나무 등걸 조사
消滅樹林巨獸哥布林	Defeat Giant Red Wood Goblin	거대한 우드 고블린을 처치
與士兵里納斯對話	Talk with Soldier Rinas	병사 리나스와 대화
消滅樹林巨獸哥布林	Defeat Giant Red Wood Goblin	자이언트 레드 우드 고블린 처치
與指揮官朱利安對話	Talk to Commander Julian	지휘관 줄리안과 대화
交給士兵福爾特	Hand it over to Soldier Poulter	병사 폴터에게 전달
與士兵福爾特對話	Talk to Soldier Poulter	병사 폴터와 대화
幫助福爾特消滅附近的怪物	Defeat the monsters nearby to help Poulter	폴터를 도와 근처 몬스터 처치
消滅周圍的怪物	Defeat the nearby monsters	주변 몬스터 처치
與指揮官歐路克對話	Talk to Commander O'Rourke	지휘관 오루크와 대화
消滅攻過來的樹林哥布林	Defeat the attacking Wood Goblins	습격해오는 우드고블린 처치
與離開的貓頭鷹雕像對話	Talk to the Substitute Owl Sculpture	떠나가는 부엉이 조각상과 대화
消滅畢雷堤空地的樹精庫爾	Defeat Treegools at Byreti Vacant Lot	비레티 공터의 트리굴 처치
向離開的貓頭鷹雕像報告	Report to the Substitute Owl Sculpture	떠나가는 부엉이 조각상에게 보고
消滅樹精庫爾	Defeat Treegools	트리굴 처치
與歐路克對話	Talk with O'Rourke	오루크와 대화
在尼爾羅斯街道尋找士兵	Look for the soldiers at Niurus Highway	니우러스 가도에서 병사 찾기
與士兵卡爾路斯對話	Talk to Soldier Kallus	병사 칼루스와 대화
消滅威脅士兵的怪物	Defeat the monsters threatening the soldier	병사를 위협하는 몬스터 처치
與定居的貓頭鷹雕像對話	Talk to the Settled Owl Sculpture	정착한 부엉이 조각상과 대화
消滅周圍的樹林哥布林	Defeat nearby Ravinelarvae	주변의 우드 고블린 처치
消滅毒妖花	Defeat Ravinelarva	러바인러바 처치
與士兵戴伊紐斯對話	Talk to Soldier Dainus	병사 다이뉴스와 대화
尋找位於德利耶查濕地的其他士兵們	Look for the other soldiers at Drieza Waterland	드리에자 습지에서 다른 병사들 찾기
消滅鋼鐵巴溫	Defeat Ironbaum	아이언바움 처치
發現在破旗森林裡的墳墓	Find the grave at the Sunset Flag Forest	해진깃발숲에 있는 무덤을 발견하기
請發掘在破旗森林裡的墳墓。	Find the grave at the Sunset Flag Forest	해진깃발숲에 있는 무덤을 발견하세요.
消滅喀葛拉斯山崖的巨大怪物	Defeat the gigantic monster at Kaklas Cliff	카클라스 낭떠러지의 거대한 몬스터 처치
請消滅喀葛拉斯山崖的蘑菇型巨獸。	Defeat the gigantic mushroom-like monster at Kaklas Cliff	카클라스 낭떠러지의 버섯 모양의 거대 몬스터를 처치해 주세요.
消滅蘑菇沃特	Defeat Mushwort	머쉬워트 처치
與恐懼的貓頭鷹雕像對話	Talk to the Scared Owl Sculpture	두려운 부엉이 조각상과 대화
交給老實的貓頭鷹隊長	Give it to the Earnest Owl Chief Sculpture	성실한 대장 부엉이 조각상에게 전달
與老實的貓頭鷹隊長雕像對話	Talk with the Earnest Owl Chief Sculpture	성실한 대장 부엉이 조각상과 대화
交給意志的貓頭鷹雕像	Send the wing to the Devoted Owl Sculpture	의지의 부엉이 조각상에게 날개 전달
與軍官達扭斯對話	Talk to Officer Danus	장교 다뉴스와 대화
消滅對後防部隊虎視眈眈的怪物	Defeat the monsters that are attacking the Readguard Unit	후방부대를 노리는 몬스터 처치
尋找達扭斯的偵查兵	Look for Danus' scouts 	다뉴스의 정찰병 찾기
與達扭斯的偵查兵對話	Talk to Danus' Scout	다뉴스의 정찰병과 대화
消滅大黃蜂	Defeat Bites	바이트 처치
尋找補給官	Look for the Supply Officer	보급관 찾기
與補給官對話	Talk to the Supply Officer	보급관과 대화
回收補給品	Retrieve the Supplies	보급품 회수
交給補給官	Hand it over to the Supply Officer	보급관에게 전달
將補給品交給軍官達扭斯	Hand over the supplies to Officer Danus	장교 다뉴스에게 보급품 전달
與士兵羅伊對話	Talk to Soldier Roy	병사 로이와 대화
收集普朗基的鉤子	Obtain a Puragi's Hook	푸라기의 갈고리 수집
交給士兵羅伊	Hand it over to Soldier Roy	병사 로이에게 전달
與上級軍官皮爾力巴斯對話	Talk to Senior Officer Philipas	선임장교 필리파스와 대화
消滅丘陵上的藍色大蘑菇精	Defeat a Big Blue Griba at the hills	언덕 위의 푸른 빅 그리바 처치
向皮爾力巴斯報告	Report to Philipas	필리파스에게 보고
消滅藍色大蘑菇精	Defeat Big Blue Griba	푸른 빅 그리바 처치
尋找分隊長約翰	Look for Squad Commander Johan	분대장 요한 찾기
從周圍的怪物身上尋找報告書	Look for the report from the monsters nearby	주변 몬스터에게서 보고서 찾기
交給分隊長約翰	Give them to Squad Commander Johan	분대장 요한에게 전달
與分隊長約翰對話	Talk to Squad Commander Johan	분대장 요한과 대화
收拾分隊員的遺物	Collect the remains of a soldier	분대원의 유품 수습
交給分隊長約翰	Hand them over to Squad Commander Johan	분대장 요한에게 전해주기
追隨上級軍官皮爾力巴斯	Follow the Senior Officer Philipas	선임장교 필리파스 따라가기
上級軍官皮爾力巴斯的任務	Senior Officer Philipas' Mission	선임장교 필리파스의 임무
向上級軍官皮爾力巴斯報告	Report to Senior Officer Philipas	선임장교 필리파스에게 보고
發現一群小蘑菇精	Found a herd of small Gribas	작은 그리바 무리 발견
消滅猛攻而來的赤紅漁人怪	Defeat Red Fisherman	몰려드는 붉은 피셔맨 처치
消滅狼人	Defeat Werewolf	웨어 울프 처치
為亡者祈福	Pray for his soul	명복 빌어 주기
與士兵魯特爾巴斯對話	Talk with Soldier Rudolfas	병사 루돌파스와 대화
請與士兵魯特爾巴斯進行對話	Talk with Soldier Rudolfas	병사 루돌파스와 대화하세요
消滅突然出現的毛蟲獸	Defeat the Meleeches that suddenly appeared	갑자기 나타난 멜리치 처치
與士兵阿斯巴斯對話	Talk to Soldier Aspas	병사 아스파스와 대화
消滅展開攻擊的樹林哥布林	Defeat Wood Goblin	공격해오는 우드고블린 처치
在魔法師之塔1層與克莉妲對話	Talk to Grita at Mage Tower 1F	마법사의 탑 1층에서 그리타와 대화
在魔法師之塔2樓與克莉妲對話	Talk to Grita at Mage Tower 2F	마법사의 탑 2층의 그리타와 대화
在魔法師之塔3樓與克莉妲對話	Talk to Grita at Mage Tower 3F	마법사의 탑 3층의 그리타와 대화
在魔法師之塔4樓與克莉妲對話	Talk to Grita at Mage Tower 4F	마법사의 탑 4층에서 그리타와 대화
啟動穩定魔力裝置	Activate the Magic Stabilizer	마력 안정화 장치 작동
尋找魔力控制室	Find the Magic Control Room	마력 제어실 찾기
移動至魔法師之塔5樓	Go to Mage Tower 5F	마법사의 탑 5층으로 이동
消滅前往5樓時阻擋去路的克萊獰怪	Defeat Grinender that is blocking the way to the 5th Floor	5층으로 가는 길을 막는 그라이넨더 처치
收集紅色礦石龜的核	Collect the nucleuses of Red Infrorocters	붉은 인프로 락터의 핵 수집
尋找圓盾劍士次級大師	Look for the Rodelero Submaster 	로델레로 서브 마스터 찾기
與圓盾劍士次級大師對練	Spar with the Rodelero Submaster 	로델레로 서브 마스터와 대련
消滅圓盾劍士次級大師	Suppress the Rodelero Submaster	로델레로 서브 마스터 제압
去找巫蠱師次級大師	Look for the Wugushi Submaster 	무고사 서브 마스터 찾아가기
交給巫蠱師次級大師	Deliver it to Wugushi Submaster	무고사 서브 마스터에게 전달
去找重裝步兵次級大師	Look for the Hoplite Submaster 	하플라이트 서브 마스터 찾아가기
向重裝步兵次級大師報告	Report to the Hoplite Submaster 	하플라이트 서브 마스터에게 보고
巫蠱師次級大師的呼喚	Call for the Wugushi Submaster 	무고사 서브 마스터의 부름
向巫蠱師次級大師報告	Report to Wugushi Submaster 	무고사 서브 마스터에게 보고
進入貝魯克堤廣場	Enter Verkti Square	베르크티 광장 진입
與王國軍蕾堤亞對話	Talk to Royal Army Guard Retia	왕국군 레티아와 대화
貝魯克堤廣場上的王國軍蕾堤亞好像在等誰的援助。	Royal Army Guard Retia is waiting for someone's help at Verkti Square	베르크티 광장의 왕국군 레티아가 누군가의 도움을 기다리고 있습니다
消滅工房廢墟的怪物	Defeat the monsters in the Workshop Ruins	공방 폐허의 몬스터 처치
向王國軍蕾堤亞報告	Report to Royal Army Guard	왕국군 레티아에게 보고
確認石化探測器	Examine the Petrification Detector	석화 탐지기 확인
消除微弱的霜	Remove the weak Petrifying Frost	미약한 서리 제거
確認石化探測器後消滅斯帕娜史霍	Examine the Petrification Detector and defeat Sparnashorn	석화 탐지기 확인 뒤 스파나스혼 처치
與盜墓者胡貝爾塔斯對話	Talk to Grave Robber Hubertas	도굴꾼 후베르타스와 대화
貝魯克堤廣場的盜墓者胡貝爾塔斯好像在等誰的援助。	Grave Robber Hubertas at Verkti Square is waiting for someone's help	베르크티 광장의 도굴꾼 후베르타스가 누군가의 도움을 기다리고 있습니다
消滅集會場的怪物	Defeat the monsters in Assembly Hall Site	집회장 터의 몬스터 처치
收集蘭姆貝兒的腳趾甲	Collect Rambear Claws	램베어의 발톱 수집
向盜墓賊胡貝爾塔斯傳達此事	Give it to Grave Robber Hubertas	도굴꾼 후베르타스에게 전달
竊取石化贓物	Steal the petrified stolen goods	석화된 장물 훔치기
與盜墓者班賈米那斯對話	Talk to Grave Robber Benjaminas	도굴꾼 벤자미나스와 대화
交給盜墓賊班賈米那斯	Give it to Grave Robber Benjaminas	도굴꾼 벤자미나스에게 전달
收集會發出香味的石粉	Collect Fragrant Stone Powder	향나는 돌가루 수집
讓蘭姆貝兒身上沾滿芳香石粉	Rub the Fragrant Stone Powser on Rambear	램베어에게 향기나는 돌가루 묻히기
消滅薩爾提斯托	Defeat Saltistter	살티스터 처치
與警備兵葛普坦對話	Talk to Guard Gofden	경비병 고프덴과 대화
向警備兵葛普坦報告	Report to Guard Gofden	경비병 고프덴에게 보고
破壞叛亂軍記錄物	Destroy the Rebel Army Records	반란군 기록물 파괴
收集王國軍選拔隊的遺物	Collect the keepsakes of the advance Royal Army	왕국군 선발대의 유품 수집
交給警備兵葛普坦	Give it to Guard Gofden	경비병 고프덴에게 전달
恢復的機會	Chance to Recover	회복의 기회
與寒冰法師科斯塔斯對話	Talk to Cryomancer Kostas	크리오맨서 코스타스와 대화
收集反應石	Collect Reaction Stones	반응석 수집
交給寒冰法師科斯塔斯	Give it to Cryomancer Kostas	크리오맨서 코스타스에게 전달
獲得反應石	Obtained Reaction Stone	반응석 획득
在匠人之街實驗希爾特的信物	Test the Mark of Silt in Master Craftman's Street	장인의 거리에서 실트의 증표 실험
寒冰法師科斯塔斯請求使用希爾特的信物，對匠人之街的怪物進行實驗。	Cryomancer Kostas asked you to test teh Mark of Silt on the monsters in Master Craftman's Street	크리오맨서 코스타스는 장인의 거리에서 실트의 증표를 몬스터에게 실험해달라고 했습니다.
回收石化探測器的驅動核	Retrieve the Petrification Detector Activation Core	석화 탐지기의 구동핵 회수
敵人的敵人是怪物	Enemy's foe is an enemy	적의 적은 몬스터
與盜墓者魯特爾巴斯對話	Talk with Grave Robber Rudolfas	도굴꾼 루돌파스와 대화
在商業區收集維拉斯草的葉子	Collect Velas Grass in Commercial District	상업지구에서 벨라스 풀잎 수집
交給盜墓賊魯特爾巴斯	Give it to Grave Robber Rudolfas	도굴꾼 루돌파스에게 전달
在凱洛貝工房進行櫃子作業	Work on the boxes in Gerove Workshop Site	게로베 공방 터에서 궤짝 작업
向盜墓賊魯特爾巴斯報告	Report to Grave Robber Rudolfas	도굴꾼 루돌파스에게 보고
與警備兵萊爾對話	Talk to Guard Lyle	경비병 라일과 대화
守護被石化的士兵	Protect the Petrified Soldiers	석화된 병사 지키기
保護石化的士兵	Protect the Petrified Soldiers	석화된 병사 보호
與警備兵諾瑪比斯對話	Talk to Guard Nomabis	경비병 노마비스와 대화
回收被偷的物品	Retrieve the items that were stolen	도둑맞은 물품 회수
回收毀損的遺物	Retrieve the Damaged Relics	훼손된 유물 회수
交給警備兵諾瑪比斯	Give it to Guard Nomabis	경비병 노마비스에게 전달
收集毀損的遺物	Collect the Damaged Relics	훼손된 유품 수집
與時空法師莎比納對話	Talk to Chronomancer Sabina	크로노맨서 사비나와 대화
製作石化書拓本	Craft a copy of the petrified book	석화된 책 탁본 제작
尋找能使用的傳點	Look for the portal that is usable	사용 가능한 포탈 찾기
整理軍事地區	Maintain the Trade District	군사 지구 정리
消滅軍事區傳點周圍的怪物	Defeat the monsters around Barracks District	군사지구 포탈 주변 몬스터 처치
啟動軍事區的傳點	Activate the portal of Barracks District	군사 지구의 포탈 작동
消滅雷普斯	Defeat Lepus	레푸스 처치
與副官漢斯對話	Talk to Adjutant General Hans	부관 한스와 대화
消滅河口堤三岔路口周圍的怪物	Defeat the monsters nearby Estuary Bank Junction	하구 둑 삼거리 주변의 몬스터 처치
在河口堤三岔路口使用光粉劑	Use Monster Stimulant in Estuary Bank Junction	하구 둑 삼거리에서 광분제 사용
哄騙水磨坊廢墟的警備兵	Lure the guards in Decrepit Watermill	물레방앗길 폐허의 경비병 꾀어내기
回收王國軍傳單	Retrieve the propaganda of the Royal Army guard	왕국군 선전물 회수
與盜墓者斯提波納斯對話	Talk with Grave Robber Stephonas	도굴꾼 스테포나스와 대화
收集硬火藥	Gather Hardened Gunpowder	굳은 화약 수집
實驗加工炸彈	Processed Bomb Experiment	가공된 폭탄 실험
收集黏稠體液	Obtain Sticky Liquid	끈적이는 체액 수집
交給盜墓賊斯提波納斯	Talk with Grave Robber Stephonas	도굴꾼 스테포나스에게 전달
獲得生麵糰黏液	Obtain the Kneaded Slime	반죽된 점액 획득
獲得霜核	Obtain the Frosty Core	서리핵 획득
從森林石怪那獲得了霜核	Obtain the Frosty Core from a Stone Froster	스톤프로스터에게 서리핵 획득
與王國軍羅普戴爾對話	Talk with Royal Army Guard Rofdel	왕국군 로프델과 대화
破壞已石化的紀錄物	Destroy the petrified records	석화된 기록물 파괴
黏貼傳單	Put flyers	전단지 부착
與葳荷米娜凱利奧特對話	Talk to Wilhelmina Carriot	빌헬미나 캐리어트와 대화
消滅寇保索殿堂的怪物	Defeat the monsters at Kovos Hall Site	코보소 전당 터의 몬스터 처치
向葳荷米娜凱利奧特報告	Talk to Wilhelmina Carriot	빌헬미나 캐리어트에게 보고
回收止咳藥	Retrieve the Cough Medicine	기침약 회수
安慰犧牲者	Soothe the victims	희생자 위로
與邪靈祭司艾提達對話	Talk to Bokor Edita	보코르 에디타와 대화
收集黑暗結晶	Collect Dark Crystals	어두운 결정 수집
交給邪靈祭司艾提達	Hand them over to the Bokor Master	보코르 에디타에게 전달
解放石化的士兵	Release the petrified soldier	석화된 병사 해방
在畢安提城堡的營火上點火	Light a bonfire in Vienti Fortress	비엔티 성채의 모닥불에 불 피우기
與鍊金術士莎莉亞莫納斯對話	Talk with Alchemist Saliamonas	알케미스트 살리아모나스와 대화
對奈勃基亞城堡的怪物的怪物使用石化融解劑	Use the melting solution to the monsters at Neiveikiama Castle	네베키아 성채의 몬스터에게 석화 융해제 사용
鍊金術士莎莉亞莫納斯請你對在奈勃基亞城堡裡遭到石化霜攻擊的怪物使用石化融解劑。說不定能夠解開石化。	Alchemist Saliamonas told you to use the Petrification Thawing Liquid on the monsters	알케미스트 살리아모나스는 네베키아 성채에서 석화서리에 당한 몬스터들에게 석화융화제를 사용해 달라고 부탁했습니다. 어쩌면 석화를 풀어낼 수도 있으니까요.
向鍊金術士莎莉亞莫納斯報告	Report to the Alchemist Saliamonas	알케미스트 살리아모나스에게 보고
從奈勃基亞城堡的怪物身上收集石化標本	Collect the Petrified Samples from the monsters in Neiveikiama Castle	네베키아 성채의 몬스터에게서 석화 표본 수집
收集石化標本	Collect Petrification Samples	석화 표본 수집
消滅魯巴勃斯	Defeat Rubabos	루바보스 처치
秘密交易	Secret Trade	비밀거래
與盜墓者阿曼達對話	Talk to Grave Robber Amanda	도굴꾼 아만다와 대화
收集露克立斯時代的記錄物	Collect the Record from the Ruklys Era	루클리스 시대의 기록물 수집
消滅滴水嘴怪	Defeat Gargoyle	가고일 처치
消滅在德巴西安嶺的怪物	Defeat the monsters at Dvasia Peak	드바시아 고개에 있는 몬스터 처치
向指揮官朱利安報告	Report to Commander Julian	지휘관 줄리안에게 보고
消滅在德巴西安嶺的怪物	Defeat the monsters at Dvasia Peak	드바시아 고개에 있는 몬스터를 처치
與村莊青年多萊恩對話	Talk to Villager Darren	마을 청년 다렌과 대화
確認洛托儂養蜂場的蜂窩	Check the beehives at Rododun Apiary	로도논 양봉장의 벌집 확인
將空的蜂窩交給村莊青年多萊恩	Hand over the empty beehive to Villager Darren	마을 청년 다렌에게 빈 벌집 전달
將油桶的油抽乾	Draw out the oil from the oil barrels	기름통에서 기름 빼내기
與釀造業者都勒傑對話	Talk to Brewer Dorjen	양조업자 도르젠과 대화
從蜂蜜酒倉庫那帶回蜂蜜酒	Bring back Dorjen's Signature Mead from the Honey Wine Warehouse	벌꿀술 창고에서 벌꿀술 가져오기
消滅摧毀釀造業的怪物	Defeat the monsters who ruined Dorjen's brewery	양조업을 망친 몬스터 처치
確認洛托儂養蜂場的蜂窩	Check the beehives at Rododun Apiary	로도논 양봉장의 벌집을 확인
請去洛托儂養蜂場查看蜂窩。	Check the beehives at Rododun Apiary	로도논 양봉으로 가서 벌집을 살펴보세요.
消滅斯帕露娜絲	Defeat Sparnas	스파르나스 처치
請消滅占領洛托儂養蜂場的斯帕露娜絲。	Defeat the Sparnas that occupied the Rododun Apiary	로도논 양봉을 장악하고 있는 스파르나스를 처치하세요.
確認蜂蜜酒保管箱	Check the mead storage boxes	벌꿀술 보관 상자 확인
與奇利納對話	Talk to Kirina	키리나와 대화
與瑪拉斯對話	Talk to Maras	마라스와 대화
請與正在調查比爾那森林的瑪拉斯進行對話。	Talk with Maras who is investigating in Vilna Forest	빌나 숲에서 조사를 진행하고 있는 마라스와 대화해보세요.
確認發出香甜氣味的蜂箱	Check the Sweet-smelling Beehives	달콤한 향이 나는 벌통 확인
請聽瑪拉斯講解該如何使用香甜的蜂箱碎片。	Ask how Maras will use the fragments of sweet honeycomb	마라스에게 달콤한 벌통조각을 어떻게 사용할 것인지 들어보세요.
對怪獸飄散蜂蜜香氣	Spread the fragrance of honey to the monsters	몬스터에게 꿀 향기를 풍겨보기
確認下方的比奇吳祭壇	Check Bichiu Altar	아랫쪽의 비치우 제단 확인
將魔石碎片交給瑪拉斯	Hand over the magic piece to Maras	마라스에게 마석 조각 전달
確認右方的卡物德奇祭壇	Check the Gaudeji Altar towards the right	오른쪽의 가우데지 제단 확인
與在樹木監視塔附近的拉馬勒對話	Talk to Lamar near Wood Watch Tower	나무 감시탑 근처의 라마르와 대화
與拉馬勒對話	Talk with Lamar	라마르와 대화
與利耶爾利耶對話	Talk with Raeli	라엘리에와 대화
確認北邊的比爾那森林祭壇	Check the altar of Vilna Forest at the north side	북쪽의 빌나 숲 제단 확인
請確認北邊的比爾那森林祭壇。	Check the altar of Vilna Forest at the north side	북쪽의 빌나 숲 제단을 확인해보세요.
消滅比爾那森林祭壇的獨眼巨人	Defeat Cyclops of the altar at Vilna Forest	빌나 숲 제단의 사이클롭스 처치
請消滅比爾那森林祭壇的獨眼巨人。	Defeat Cyclops of the altar at Vilna Forest	빌나 숲 제단의 사이클롭스를 처치하세요.
與利斯對話	Talk to Riesz	리스와 대화
尋找在榭魯榭艾向陽地裝有農具的背包	Find the bag of farming tools at Shirsie Sunny Place	쉬르쉬에 양지에서 농기구가 든 배낭 수색
將農具交給利斯	Hand over the farming tools to Riesz	리스에게 농기구 전달
消滅鬼眼蜘蛛	Defeat Honeypin	허니핀 처치
與巴爾達對話	Talk with Valda	발다와 대화
收集蜂箱碎片	Collect the pieces of honeycomb	벌통조각 수집
在拉丹扎農園播種	Sow seeds at Radanza Farm	라단자 농원에 씨 뿌리기
與祭司利耶爾利耶對話	Talk with Priest Raeli	사제 라엘리에와 대화
採集蜂樹樹枝	Collect Bee Tree Branches	벌나무 가지 채집
啟動守護石	Activate the Guardian Stone	수호석 가동
消滅魔族收集被火燒透的魔族灰	Defeat the demons with the branches and collect the ashes of the demons	마족을 처치하여 불타버린 마족의 재 수집
幫剩餘的晶球補充神聖之氣	Recharge the orb made of ash with holy energy	잔재의 구슬에 신성한 기운 충전
復原變弱的封印塔	Restore the weakened seal tower	약해진 봉인탑 복구
與奧斯特雅女神對話	Talk to Goddess Austeja	아우스테야 여신과 대화
聽奧斯特雅女神說話	Listen to Goddess Austeja's story	아우스테야 여신의 이야기 듣기
確認變弱的封印塔	Check the weakened Seal Tower	약해진 봉인탑 확인
請確認因魔族的攻擊而變弱的封印塔。	Check the Seal Tower that was weakened by demon attacks	마족의 공격으로 약해진 봉인탑을 확인하세요.
消滅魔君主塔武瑪斯	Defeat Demon Lord Taumas	마군주 타우마스 처치
與農夫德魯巴對話	Talk to Farmer Druva	농사꾼 드루바와 대화
收集整理好的木材	Collect Well-Cut Wood	손질된 목재 수집
設置貼有符咒的稻草人	Place the scarecrow with the charm attached	부적을 붙인 허수아비 설치
與完蛋的養蜂專家羅森對話	Talk to Ruined Bee Farmer Logen	망한 양봉가 로센과 대화
與祭司多支奈對話	Talk to Priest Dazine	사제 다지네와 대화
收集變成碎片的奧斯特雅的象徵	Collect the Fragmented Symbol of Austeja	조각난 아우스테야의 상징 수집
在奧斯特雅祭壇上復原象徵	Restore the symbol at the Austeja Altar 	아우스테야 제단에서 상징 복원
淨化被蠱惑的啟示者們	Purify the addled Revelators	현혹된 계시자들을 정화
復原郎基斯封印和郎卡封印	Restore the Rankis Seal and the Ranka Seal	랑키스 봉인과 랑카 봉인 복구
賦予郎基斯封印塔和郎卡封印塔女神之力	Restore the goddess' powers to Rankis Seal Tower and Ranka Seal Tower	랑키스 봉인탑과 랑카 봉인탑에 여신의 힘 부여
確認春光樹林祭壇	Check the Spring Light Woods Altar	봄볕나무 숲 제단 확인
確認崩壞的封印塔	Check the destroyed seal tower	부서진 봉인탑 확인
消滅孟堤肯	Defeat Manticen	맨티켄 처치
和商人圖凱對話	Talk to Merchant Dulke	상인 둘케와 대화
尋找商人圖凱的行李	Find Merchant Dulke's Package	상인 둘케의 짐꾸러미 찾기
將行李交給商人圖凱	Give the packages to Merchant Dulke	상인 둘케에게 짐꾸러미 전달
與居民艾密對話	Talk to Villager Emil	주민 에밀과 대화
消滅村莊附近的怪物	Defeat the monsters around the village	마을 주변의 몬스터 처치
與藥師提阿納對話	Talk to Pharmacist Tiana	약사 티아나와 대화
收集春光草	Collect Spring Light Grass	봄볕초 구하기
將春光草交給藥師提阿納	Give the Spring Light Grass to Pharmacist Tiana	약사 티아나에게 봄볕초 전달
請消滅畢拉空，取得黑煤粉	Defeat Phyracon and collect Black Coal Powder	피라콘을 처치하여 흑탄 가루 구하기
從德雷克手中收集不滅的火種	Collect Eternal Embers from Drakes	드레이크에게서 꺼지지 않는 불씨 수집
消滅怪物，獲得聖櫃碎片	Defeat the monsters and get pieces of the Holy Ark	몬스터를 처치하여 성궤 조각 획득
消滅玷污封印石的亞魯瑪	Defeat Arma that mocked the Sealed Stone	봉인석을 모욕한 아르마 처치
消滅魔瓶怪博學者，獲得束縛的結晶	Defeat the Flask Mage and get the Crystal of Restriction	플라스크 메이지를 처치하여 속박의 결정 획득
黑暗咒術人偶	Black Shaman Doll	검은 주술인형
留下的記憶[邪靈祭司轉職]	Still Needs Memory [Bokor Advancement] (1)	남겨진 기억[보코르 전직]
管理女神像[雕刻師轉職]	Statue Maintenance [Dievdirbys Advancement] (1)	여신상 관리[딥디르비 전직]
財物也是恩惠[寬恕者轉職]	Grace of Wealth [Pardoner Advancement] (1)	재물에도 은혜를[파드너 전직]
跟念力法師次級大師報告	Report to the Psychokino Submaster	사이코키노 서브 마스터에게 보고
與佩迪米安的裝備商人對話	Talk to Equipment Merchant in Fedimian	페디미안의 장비 상인과 대화
收集朝聖者的標誌	Collect Marks of Pilgrim	순례자의 표식 수집
交給佩迪米安的裝備商人	Give them to Fedimian Equipment Merchant	페디미안의 장비 상인에게 전달
見騎士團長烏斯卡	Meet Commander Uska	기사단장 우스카 만나기
討伐祈願森林的怪物	Defeat the monsters at Forest of Prayer	기원의 숲 몬스터 토벌
消滅祈願森林的怪物	Defeat the monsters at Forest of Prayer	기원의 숲의 몬스터 처치
與貓頭鷹隊長雕像對話	Talk to the Owl Chief Sculpture	대장 부엉이 조각상과 대화
查看在伊修拉十字路口的變弱的貓頭鷹雕像	Check on the Weak Owl Sculpture at Ishrai Crossroads	이쉬라이 사거리의 약해진 부엉이 조각상 살펴보기
與變弱的貓頭鷹雕像對話	Talk to the Weak Owl Sculpture	약해진 부엉이 조각상과 대화
尋找被綁架的貓頭鷹們的痕跡	Find traces of the kidnapped Owls	납치된 부엉이들의 흔적 찾기
轉交被摧毀的貓頭鷹碎片	Give the broken owl sculpture parts to the Weak Owl	부서진 부엉이의 조각 전달
消滅破壞貓頭鷹的蘑菇沃特	Defeat the Mushwort that destroyed the Owl	부엉이를 파괴한 머쉬워트 처치
與朝聖者莉莉亞對話	Talk to Pilgrim Liliya	순례자 릴리야와 대화
收集怪物的肉	Collect monster meat	몬스터의 고기 수집
交給朝聖者莉莉亞	Hand them over to Pilgrim Liliya	순례자 릴리야에게 전달
帶回野草的嫩葉	Get some Young Leaves	여린 들풀잎 구해 오기
能填飽朝聖者莉莉亞的飢餓感嗎？請再問她看看。	Did Pilgrim Liliya's hunger go away? Talk to her again	순례자 릴리야의 허기는 채워 진 걸까요? 다시 그녀에게 말을 걸어 봅시다.
消滅魔花卡諾波	Defeat Carnivore	카너버 처치
與暈倒的朝聖者莉莉亞對話	Talk to the fallen Pilgrim Liliya	쓰러져 있는 순례자 릴리야와 대화
消滅由魔花卡諾波變成的莉莉亞	Defeat Liliya who turned into a Carnivore	카버너로 변한 릴리야 처치
幫朝聖者莉莉亞做墳墓	Make a grave for Pilgrim Liliya	순례자 릴리야의 무덤 만들기
與朝聖者由利烏斯對話	Talk to Pilgrim Julius	순례자 율리우스와 대화
取來凱帕力肉片	Get the meat of Kepari	케파리 살점 구해 오기
給朝聖者由利烏斯吃的東西	Give food to Pilgrim Julius	순례자 율리우스에게 먹을 것 전해 주기
說服德拉涪里溫	Persuade Drapeliun	드라페리운 설득
帶回阿賽魯的嫩葉	Obtain Asellu Leaf Buds	아셀루의 어린 잎 구해오기
