尤克利那斯 	Jugrinas	유그리나스
電氣竄流的石頭	Break the auxiliary detector system	보조 감지 시설 작동 중지 시키기
將零件帶去附近的防禦設施	Bring the parts from a destroyed defensive system nearby	근처에 파괴된 방어시설에게 부품 가져오기
收集流出的能量	Collect the leaked energy	빠져나오는 에너지를 모으기
回收的能量注入防禦設施	Inject the gathered energy into the defensive system	수거한 에너지를 방어시설에 넣기
確認防禦設施正常運作	Check how the defensive system is working	방어 시설이 제대로 작동하는 것을 확인하기
消滅企圖進入那魯巴斯寺院的魔族	Defeat demons who are entering Narvas temple	나르바스 사원으로 진입하려는 마족 처치하기
獅子的嘴裡	Into the Lion's Mouth	사자의 입 속으로
消滅猜忌哈勃克的追隨魔族	Defeat followers of Suspicion Hauberk	의심의 하우벅 추종 마족 처치하기
消滅企圖破壞弗羅里設施的哈勃克追隨者	Defeat followers of Suspicion Hauberk who are trying to destroy Flurry's equipment	플러리의 시설을 파괴하려는 하우벅 추종자들을 처치하기
收集魔族的強力精髓	Gather Strong Essence of Demon	마족의 강력한 정수 구하기
收集黑色霍亨博學者的血	Collect Black Hohen Mage's blood	검은 호헨 메이지의 피를 구하기
收集混雜魔族之血的聖水	Collect Holy water mixed with demonic blood	마족의 피가 섞인 성수 수집하기
偷聽野心的哈勃克和他的追隨魔族交談的內容	Eavesdrop on Ambition Hauberk and his followers	야망의 하우벅과 그의 추종 마족이 하는 이야기를 엿듣기
請和修道士艾斯堤司交談	Talk to Aistis	수도사 아이스티스와 대호하세요
消滅正在加工修道士靈魂的魔族	Defeat the demons who are transforming monks' spirits	수도사들의 영혼을 가공하고 있는 마족 처치
請停止靈魂加工設施的運作。	Break the spirit altering device	영혼 가공 시설 작동 중지시키세요
收集魔力結晶	Collect Magic Crystals	마력 결정 모으기
觀察來歷不明的設施	Look around the unidentified facility	정체불명의 시설을 살펴보기
在上鎖設施中獲得幻影再生器	Retrieve the Apparition Generator from the locked system	잠금시설에서 환영의 재생구 획득하기
將上鎖設施中取得的零件放入來歷不明的設施中	Place the parts in the unidentified facility	잠금시설에서 가져온 부품을 정체불명의 시설에 넣기
和亞佳伊拉弗羅里的幻影交談	Talk to Agailla Flurry Apparition	아가일라 플러리의 환영체와 대화
將魔力結晶交給修道士艾斯堤司	Give the magic crystal to Aistis	수도사 아이스티스에게 마력 결정을 전달하기
接近欺瞞的哈勃克	Approach Deception Hauberk	기만의 하우벅에게 접근하기
隱密與偉大	Suspiciously Secretive	은밀하고 위대하게
亞佳伊拉弗羅里的設施零件	Agailla Flurry's equipment	아가일라 플러리의 시설 부품
收集魔族的肉塊	Gather Demon's Flesh	마족의 살점 구하기
消滅猜忌哈勃克的核心追隨者	Defeat a core follower of Suspicion Hauberk	의심의 하우벅 핵심 추종자 처치하기
接近猜忌的哈勃克	Approach Suspicion Hauberk	의심의 하우벅에게 접근하기
讓契約信物變形	Alter the Contract Token	계약의 증표 변형시키기
將契約信物交給猜忌的哈勃克	Give the Contract Token to Suspicion Hauberk	의심의 하우벅에게 계약의 증표 전달하기
修改記錄寶珠的內容	Alter the Registry Orb	기록의 보주 내용 수정하기
收集精銳哈勃克追隨者的精髓	Find the essence of an elite follower of Hauberk	정예 하우벅 추종자의 정수 구하기
觀察野心哈勃克的情況	Observe Ambition Hauberk's situation	야망의 하우벅의 상황 살피기
將零件交給修道士艾斯堤司	Give the parts to Monk Aistis	수도사 아이스티스에게 부품 전달하기
修理中央控制裝置	Repair the Central Control Terminal	중앙 제어 장치 수리하기
那魯巴斯寺院的長夢	Long Dreams Are Dreamt at Narvas Temple	긴 꿈은 나프탈리 수도원에서 지고
使用傳點裝置	Use the Warp Device	워프 장치를 이용하기
消滅合為一體的哈勃克	Defeat the united Hauberk	하나가 된 하우벅을 처치하기
回收散落四處的文件	Retrieve the scattered documents	흩어진 문서를 회수하는 중
已獲得文件	You have retrieved some documents	문서를 획득했습니다
戴利亞貝利斯	Teliavelis	테리아베리스
貝爾庫波的盔甲(1)	Velcoffer Armor (1)	벨코퍼의 갑주(1)
貝爾庫波的盔甲(2)	Velcoffer Armor (2)	벨코퍼의 갑주(2)
貝爾庫波的盔甲	Velcoffer Armor	벨코퍼의 갑주
消滅貝爾庫波	Defeat Velcoffer	벨코퍼를 처치하기
和戴利亞貝利斯對話	Talk to Teliavelis	테리아베리스와 대화
奧維尼亞狄爾班	Owynia Dilben	오위니아 딜벤
奧古斯特杜邦	Auguste Dupin	오귀스트 뒤팽
警備兵貝伊斯	Watch Guard Bace	경비경 베이스
書記官	Secretary	서기관
警備兵貝伊斯	Watch Guard Bace	경비병 베이스
村莊乞丐	Town Beggar	마을 거지
凱利	Kelly	켈리
畫家	Artist	화가
法師尼迪亞	Wizard Nidia	위저드 니디아
法師亞爾多尼	Wizard Aldoni	위저드 알도니
法師安妮	Wizard Ane	위저드 아네
拉穆迪	Ramute	라무티
尼柯波爾利斯警備兵	Nicopolis Guard	니코폴리스 경비병
尼柯波爾利斯警備兵	Nicopolis Guard	니코폴리스 경비원
你是新來的移居民嗎？	Are you a new settler?	새로 온 이주민입니까?
你問怎麼能放任這麼惡質的迪斯佩特？	Why don't we do anything about him?	그런 악질 틸스펙터를 가만 놔두고 있냐고요?
狄斯佩托怎麼樣了？	What happened to the Teal Specter?	틸스팩터는 어떻게 됐나요?
時空法師拉穆迪	Chronomancer Ramute	크로노맨서 라무티
首先，可以請你先擊退1次控制室裡的魔族，解除防禦裝置嗎？	Could you defeat the demons in the First Control Room and shut down the Defensive Device there?	우선 1차 제어실에 있는 마족들을 물리치고 방어 장치를 해제해주시겠습니까?
醫療團員	Medic	의무담당 단원
長老阿達育斯	Elder Adaux	장로 아다욱스
能否請你去確認那個地方是否有可疑的東西呢？	Could you perhaps look for any anomalies in the area?	그 장소에 혹시 수상한 것이 있지 않은지 확인해주지 않겠는가.
長老拉穆羅斯	Elder Ramunas	장로 라무나스
周圍看見的魔族和怪物都消滅了嗎?	Did you clear the area of demons and monsters?	주변에 보이는 마족과 몬스터를 모두 처치하셨나요?
你說這是大師給我的嗎?	The Master wanted me to have this?	마스터께서 전해주셨다고요?
弱小的逃亡者(1)	The Vulnerable Fugitive (1)	유약한 도망자(1)
弱小的逃亡者(2)	The Vulnerable Fugitive (2)	유약한 도망자(2)
弱小的逃亡者(3)	The Vulnerable Fugitive (3)	유약한 도망자(3)
弱小的逃亡者(4)	The Vulnerable Fugitive (4)	유약한 도망자(4)
弱小的逃亡者(5)	The Vulnerable Fugitive (5)	유약한 도망자(5)
弱小的逃亡者(6)	The Vulnerable Fugitive (6)	유약한 도망자(6)
弱小的逃亡者(7)	The Vulnerable Fugitive (7)	유약한 도망자(7)
生存的必須要素	The Essentials for Survival	생존의 필수요소
回想記憶	Think Back	기억을 되돌려
最壞情況(1)	The Downward Spiral (1)	상황은 최악으로(1)
最壞情況(2)	The Downward Spiral (2)	상황은 최악으로(2)
最壞情況(3)	The Downward Spiral (3)	상황은 최악으로(3)
最壞情況(4)	The Downward Spiral (4)	상황은 최악으로(4)
最壞情況(5)	The Downward Spiral (5)	상황은 최악으로(5)
最壞情況(6)	The Downward Spiral (6)	상황은 최악으로(6)
最壞情況(7)	The Downward Spiral (7)	상황은 최악으로(7)
最壞情況(8)	The Downward Spiral (8)	상황은 최악으로(8)
逃亡者的夢(1)	The Fugitive's Dream (1)	도망자의 꿈(1)
逃亡者的夢(2)	The Fugitive's Dream (2)	도망자의 꿈(2)
逃亡者的夢(3)	The Fugitive's Dream (3)	도망자의 꿈(3)
逃亡者的夢(4)	The Fugitive's Dream (4)	도망자의 꿈(4)
逃亡者的夢(5)	The Fugitive's Dream (5)	도망자의 꿈(5)
逃亡者的夢(6)	The Fugitive's Dream (6)	도망자의 꿈(6)
逃亡者的夢(7)	The Fugitive's Dream (7)	도망자의 꿈(7)
逃亡者的夢(8)	The Fugitive's Dream (8)	도망자의 꿈(8)
逃亡者的夢(9)	The Fugitive's Dream (9)	도망자의 꿈(9)
建構陣地	Prepare Camp	진지 구축
傳點調查(1)	Portal Investigation (1)	포탈 조사(1)
說去找其他反抗軍團員做。	Why don't you get a Resistance member to do it?	다른 저항군 단원에게 시키라고 한다.
傳點調查(2)	Portal Investigation (2)	포탈 조사(2)
傳點調查(3)	Portal Investigation (3)	포탈 조사(3)
解除防禦裝置(1)	Disarming the Defense System (1)	방어 장치 해제(1)
解除防禦裝置(2)	Disarming the Defense System (2)	방어 장치 해제(2)
解除防禦裝置(3)	Disarming the Defense System (3)	방어 장치 해제(3)
解除防禦裝置(4)	Disarming the Defense System (4)	방어 장치 해제(4)
偵查1次控制室	Investigate the First Control Room	1차 제어실 정찰
奪回1次控制室	Take back the First Control Room	1차 제어실 탈환
防禦裝置拉桿確保(1)	Obtaining the Defensive Device Lever (1)	방어 장치 레버 확보(1)
防禦裝置拉桿確保(2)	Obtaining the Defensive Device Lever (2)	방어 장치 레버 확보(2)
奪回2次控制室	Take Back the Second Control Room	2차 제어실 탈환
前往第12層(1)	To 12F (1)	12층으로(1)
前往第12層(2)	To 12F (2)	12층으로(2)
前往第12層(3)	To 12F (3)	12층으로(3)
中毒的團員們	The Poisoned Soldiers	중독된 단원들
可疑的交易(1)	Suspicious Bargain (1)	수상한 거래(1)
可疑的交易(2)	Suspicious Bargain (2)	수상한 거래(2)
可疑的交易(3)	Suspicious Bargain (3)	수상한 거래(3)
可疑的交易(4)	Suspicious Bargain (4)	수상한 거래(4)
搜索剩餘的場所	Search the Remaining Area	남겨진 장소 수색
越過牆	Across the Barrier	벽 너머로
第2次解除防禦裝置	Disarming the Second Defensive Device	2차 방어 장치 해제
前往20層	To 20F	20층으로
開始建築(1)	Building Initiation (1)	구축 개시(1)
開始建築(2)	Building Initiation (2)	구축 개시(2)
說請派其他的反抗軍們	Can't you get Resistance soldiers to do the job?	다른 저항군들을 이용하라고 한다
開始建築(3)	Building Initiation (3)	구축 개시(3)
解除保護裝置中	Undoing the Protective Device	보호 장치를 해제하는 중
開始建築(4)	Building Initiation (4)	구축 개시(4)
開始建築(5)	Building Initiation (5)	구축 개시(5)
開始建築(6)	Building Initiation (6)	구축 개시(6)
開始建築(7)	Building Initiation (7)	구축 개시(7)
開始建築(8)	Building Initiation (8)	구축 개시(8)
最後一位長老	The Last Elder	마지막 장로
朝向依克拉斯	To Ignas	이그나스를 향해
扺抗的完結(1)	The Final Battle (1)	저항의 결착(1)
扺抗的完結(2)	The Final Battle (2)	저항의 결착(2)
扺抗的完結(3)	The Final Battle (3)	저항의 결착(3)
扺抗的完結(4)	The Final Battle (4)	저항의 결착(4)
扺抗的完結(5)	The Final Battle (5)	저항의 결착(5)
扺抗的完結(6)	The Final Battle (6)	저항의 결착(6)
扺抗的完結(7)	The Final Battle (7)	저항의 결착(7)
準備階段(1)	Preparations (1)	준비 단계(1)
準備階段(2)	Preparations (2)	준비 단계(2)
關於反抗軍	About the Resistance	저항군에 대해
整理湖邊	Cleaning Up the Lake	호수길 정리
妨礙的東西	Hindrance	방해되는 것들
確認汙染度	Check the Pollution Levels	오염도 확인하기
偵察兵的下落	The Whereabouts of the Scout	정찰병의 행방
湖水的秘密(1)	The Secret of the Lake (1)	호수의 비밀(1)
湖水的秘密(2)	The Secret of the Lake (2)	호수의 비밀(2)
湖水的秘密(3)	The Secret of the Lake (3)	호수의 비밀(3)
湖水的秘密(4)	The Secret of the Lake (4)	호수의 비밀(4)
具有邪惡氣息的怪物(1)	The Evil Monster (1)	사악한 기운을 가진 몬스터(1)
具有邪惡氣息的怪物(3)	The Evil Monster (3)	사악한 기운을 가진 몬스터(3)
克倫的信賴	Kron's Trust	크론의 신뢰
致命的草(1)	The Fatal Grass (1)	치명적인 풀(1)
致命的草(2)	The Fatal Grass (2)	치명적인 풀(2)
具有邪惡氣息的怪物(2)	The Evil Monster (2)	사악한 기운을 가진 몬스터(2)
後方搗亂(1)	Covert Operation (1)	후방 교란(1)
後方搗亂(2)	Covert Operation (2)	후방 교란(2)
後方搗亂(3)	Covert Operation (3)	후방 교란(3)
後方搗亂(4)	Covert Operation (4)	후방 교란(4)
敵人的急襲(1)	Enemy Ambush (1)	적의 급습(1)
敵人的急襲(2)	Enemy Ambush (2)	적의 급습(2)
敵人的急襲(3)	Enemy Ambush (3)	적의 급습(3)
隱藏的魔法陣	The Hidden Magic Circle	숨겨진 마법진
利迪亞夏班的安排(1)	Lydia Schaffen's Relic (1)	리디아 샤펜의 안배(1)
利迪亞夏班的安排(2)	Lydia Schaffen's Relic (2)	리디아 샤펜의 안배(2)
利迪亞夏班的安排(3)	Lydia Schaffen's Relic (3)	리디아 샤펜의 안배(3)
利迪亞夏班的安排(4)	Lydia Schaffen's Relic (4)	리디아 샤펜의 안배(4)
利迪亞夏班的安排(5)	Lydia Schafeen's Relic (5)	리디아 샤펜의 안배(5)
利迪亞夏班的安排(6)	Lydia Schaffen's Relic (6)	리디아 샤펜의 안배(6)
利迪亞夏班的安排(7)	Lydia Schaffen's Relic (7)	리디아 샤펜의 안배(7)
利迪亞夏班的安排(8)	Lydia Schaffen's Relic (8)	리디아 샤펜의 안배(8)
利迪亞夏班的安排(9)	Lydia Schaffen's Relic (9)	리디아 샤펜의 안배(9)
利迪亞夏班的安排(10)	Lydia Schaffen's Relic (10)	리디아 샤펜의 안배(10)
水盤設施重新啟動(1)	Reactivating the Water Facility (1)	수반시설 재가동(1)
水盤設施重新啟動(2)	Reactivating the Water Facility (2)	수반시설 재가동(2)
水盤設施重新啟動(3)	Reactivating the Water Facility (3)	수반시설 재가동(3)
勸誘敵軍	Conciliating the Enemy	적군 회유
整理周圍	Housekeeping	주변 정리
為了確實的勝利(1)	For an Assured Victory (1)	확실한 승리를 위해(1)
為了確實的勝利(2)	For an Assured Victory (2)	확실한 승리를 위해(2)
強力的箭矢(1)	A Powerful Arrow (1)	강력한 화살(1)
強力的箭矢(2)	A Powerful Arrow (2)	강력한 화살(2)
詢問弟子在哪裡。	Where is the apprentice?	제자가 어디있는지 묻는다.
強力的箭矢(3)	A Powerful Arrow (3)	강력한 화살(3)
強力的箭矢(4)	A Powerful Arrow (4)	강력한 화살(4)
小心再小心(1)	Extra Extra Careful (1)	조심 또 조심(1)
小心再小心(2)	Building Initiation (2)	조심 또 조심(2)
選擇的結果(1)	The Outcome of Choice (1)	선택의 결과(1)
選擇的結果(2)	The Outcome of Choice (2)	선택의 결과(2)
選擇的結果(3)	The Outcome of Choice (3)	선택의 결과(3)
選擇的結果(4)	The Outcome of Choice (4)	선택의 결과(4)
選擇的結果(5)	The Outcome of Choice (5)	선택의 결과(5)
製作食用水	Make Drinking Water	식수 만들기
奇怪的雕塑(1)	Strange Sculpture (1)	이상한 조형물(1)
奇怪的雕塑(2)	Strange Sculture (2)	이상한 조형물(2)
魔法商店街的雕塑	The Sculpture in Magic Shop District	마법 상점가의 조형물
史達里小廣場的雕塑(2)	The Sculpture in Starry Town Square (2)	스타리 소광장의 조형물(2)
瑪之亞空地的雕塑	The Sculpture in Magija Empty Lot	마지아 공터의 조형물
思洛烏普三岔路的雕塑(2)	The Sculpture in Slove Intersection (2)	슬로우브 삼거리의 조형물(2)
雷普雷吉豪斯街的雕塑	The Sculpture in Represijos Street	레프레지호스 거리의 조형물
過去的殘骸	Remnants of the Past	과거의 잔재
銀河階梯	Starry Stairs	은하수 계단
史達里小廣場的雕塑(1)	The Sculpture in Starry Town Square (1)	스타리 소광장의 조형물(1)
使用魔力控制卷軸中	Using the Scroll of Magic Block	마력 제어 주문서를 사용 중
思洛烏普三岔路的雕塑(1)	The Sculpture in Slove Intersection (1)	슬로우브 삼거리의 조형물(1)
貝拉因小鎮事件(1)	The Feline Post Town Case (1)	펠라인 포스트 타운 사건(1)
貝拉因小鎮事件(2)	The Feline Post Town Case (2)	펠라인 포스트 타운 사건(2)
為進行調查，索求入住紀錄書。	May I borrow the Resident Logs for an investigation?	조사를 위해 입주 기록지를 달라고 한다
貝拉因小鎮事件(3)	The Feline Post Town Case (3)	펠라인 포스트 타운 사건(3)
貝拉因小鎮事件(4)	The Feline Post Town Case (4)	펠라인 포스트 타운 사건(4)
貝拉因小鎮事件(5)	The Feline Post Town Case (5)	펠라인 포스트 타운 사건(5)
貝拉因小鎮事件(6)	The Feline Post Town Case (6)	펠라인 포스트 타운 사건(6)
貝拉因小鎮事件(7)	The Feline Post Town Case (7)	펠라인 포스트 타운 사건(7)
去找英雷迪粉末	I'll go looking for Ingredy Powder	잉레디 가루를 구하러 간다
縮小的搜索範圍(1)	The Closing Dragnet (1)	좁혀지는 수사망(1)
縮小的搜索範圍(2)	The Closing Dragnet (2)	좁혀지는 수사망(2)
縮小的搜索範圍(3)	The Closing Dragnet (3)	좁혀지는 수사망(3)
縮小的搜索範圍(4)	The Closing Dragnet (4)	좁혀지는 수사망(4)
縮小的搜索範圍(5)	The Closing Dragnet (5)	좁혀지는 수사망(5)
監視裝置錄到的內容(1)	What was in the storage device (1)	감시 장치에 담긴 것(1)
監視裝置錄到的內容(2)	What was in the storage device (2)	감시 장치에 담긴 것(2)
恐怖的研究紀錄	The Frightening Research Papers	무서운 연구 기록
住所街的研究紀錄保管所	Research Archives on Main Street	주거지 거리의 연구 기록 보관소
確認是否有老舊的研究紀錄書	Check to See if the Old Research Papers are Here	오래된 연구 기록지가 있는지 확인하기
堤里馬依空地研究紀錄保管所	Research Archives in Tyrimai Empty Lot	티리마이 공터 연구 기록 보관소
確認裝置	Check the device	장치를 확인하기
瑪之亞斯洛普的研究紀錄保管所(1)	Research Archives in Magija Slove (1)	마지아 슬로브의 연구 기록 보관소(1)
瑪之亞斯洛普的研究紀錄保管所(2)	Research Archives in Magija Slove (2)	마지아 슬로브의 연구 기록 보관소(2)
詢問是什麼	What is it?	뭐냐고 묻는다
弱小的逃亡者	The Vulnerable Fugitive	유약한 도망자
搜索巴爾堤內紀念區	Search the Baltinel Memorial	발티넬 기념구 수색
與奎波爾克利西亞對話	Talk to Kupole Grisia	큐폴 그리시아와 대화
收集巴爾堤內教區的聖物	Collect the Holy Relics of Baltinel Parish	발티넬 교구의 성물 수집
清除還原的陷阱 	Remove the Kupole Traps	환원의 덫 제거
消滅帕卡爾小市場的魔族	Defeat the Demons in Pagal Market	파갈 소시장의 마족 처치
消滅在帕卡爾小市場持有還原的陷阱的魔族	Defeat the Demons Carrying the Traps in Pagal Market	파갈 소시장에 있는 환원의 덫을 소지한 마족 처치
拯救陷入還原的陷阱裡的奎波爾	Rescue the Trapped Kupoles	환원의 덫에 걸린 큐폴 구출
搜查奎波爾茲莎伊亞	Search for Kupole Zsaia	큐폴 즈사이아 수색
與被救的奎波爾對話	Talk to the rescued Kupole	구조된 큐폴과 대화
回收被拯救的奎波爾的持有品	Retrieve the Rescued Kupoles' Belongings	구조된 큐폴의 소지품 회수
最壞情況	The Downward Spiral	상황은 최악으로
救助生存的奎波爾	Rescue the Surviving Kupoles	생존 큐폴 구조
消滅持有還原的陷阱的魔族	Defeat the Demons in Possession of Traps	환원의 덫을 소지한 마족 처치
追擊奎波爾茲莎伊亞	Chase Kupole Zsaia	큐폴 즈사이아 추격
與奎波爾茲莎伊亞對話	Talk to Kupole Zsaia	큐폴 즈사이아와 대화
拯救茲莎伊亞	Rescue Kupole Zsaia	즈사이아 구출
請與奎波爾克利西亞對話	Talk to Kupole Grisia	큐폴 그리시아와 대화하세요
逃亡者的夢	The Fugitive's Dream	도망자의 꿈
拯救陷入陷阱裡的奎波爾	Rescue the Captured Kupoles	덫에 걸린 큐폴 구출
尋找奎波爾佛拉德	Look for Kupole Velad	큐폴 블라드 찾기
和奎波爾佛拉德對話	Talk to Kupole Velad	큐폴 블라드와 대화
請和奎波爾佛拉德對話	Talk to Kupole Velad	큐폴 블라드와 대화하세요
收集無力化寶珠	Collect the Neutralizing Orbs	무력화 보주 수집
將騙術的信物交給奎波爾佛拉德	Deliver the Fake Keepsake to Kupole Velad	큐폴 블라드에게 속임수 증표 전달
打倒魔族BOSS	Defeat the Demon Boss	마족 보스 처치
交給奎波爾佛拉德	Find Kupole Velad	큐폴 블라드에게 전달
和抗軍副司令官克倫對話	Talk to Resistance Deputy Commander Kron	저항군 부사령관 크론과 대화
傳點調查	Portal Investigation	포탈 조사
調查1層動力室的傳點	Investigate the Portals in 1F Engine Room	1층 동력실의 포탈을 조사
在傳點附近設置傳點生成抑制器	Install the Portal Suppressors Near the Portals	포탈 인근에 포탈 생성 억제기 설치
使用炸彈破壞傳點	Use the Explosive to Destroy the Portals	폭탄을 이용해 포탈을 파괴
解除防禦裝置	Disarming the Defensive Device	방어 장치 해제
打倒周遭魔族及確認1層指揮室	Defeat the demons in the area and investigate the 1F Command Room	주변 마족 처치 및 1층 지휘실 확인
打倒魔族，收集魔石碎片	Defeat the Demons to Collect Magic Stones	마족을 처치하여 마석 조각 수집
使1層指揮室的防禦裝置停下	Shut off the Defensive Device in the Control Room on 1F	1층 지휘실의 방어 장치의 작동을 정지
往4層移動後，和巴伊爾對話	Move to 4F and Talk to Byle	4층으로 이동 후 바일과 대화
和抗軍總司令官巴伊爾對話	Talk to Resistance Commander Byle	저항군 총사령관 바일과 대화
打倒往第1控制室路上的魔族	Defeat the Demons on the Way to the First Control Room	1차 제어실로 가는 길목의 주변 마족 처치
往第1控制室移動並偵查內部	Move to the First Control Room and Investigate	1차 제어실로 이동하여 내부 정찰
使第1防禦裝置停下	Shut Down the First Defensive Device	1차 방어 장치의 작동을 정지
防禦裝置拉桿確保	Obtaining the Defensive Device Lever	방어 장치 레버 확보
從魔族身上收集可當作線索的物品	Collect any Objects That May Be a Clue	마족들에게서 단서가 될만한 물건 수집
在物流倉庫中獲得第2防禦裝置控制桿	Find the Second Device Lever from the Storage Room	물류 창고에서 2차 방어 장치 레버 획득
往第2控制室移動	Move to the Second Control Room	2차 제어실로 이동
使第2防禦裝置停下	Shut Down the Second Defensive Device	2차 방어 장치의 작동을 정지
前往第12層	To 12F	12층으로
打倒通往集合地點路上的魔族	Defeat the Demons on the Way to the Rendezvous Point	합류 지점으로 가는 길목의 마족 처치
打倒擋住路口的怪物	Defeat the Monsters in the Way	길목을 막는 몬스터 처치
往集合地點移動	Move to the Rendezvous Point	합류 지점으로 이동
和醫療團員對話	Talk to the Medic	의무 담당 단원과 대화
收集夏班史達的備用藥	Collect the Schaffenstar Emergency Meds	샤펜스타의 비상약 수집
可疑的交易	Suspicious Bargain	수상한 거래
移動前往第12層	To 12F	12층으로 이동
控制裝置手把	Control Device Handle	제어 장치 핸들
停第1防禦裝置停下	Stop the First Defensive Device	1차 방어 장치의 작동 정지
打倒四周的魔族後，調查透明牆	Defeat the Demons in the Area and Investigate the Invisible Barrier	주변 마족 처치 후 투명한 벽을 조사
搜索控制透明牆的裝置	Search for the Device that Controls the Invisible Wall	투명한 벽을 제어하는 장치 수색
調查雕像	Investigate the Sculpture	조각상을 조사
往透明牆移動	Go to the invisible barrier	투명한 벽으로 이동
和長老阿達育斯對話	Talk to Elder Adaux	장로 아다욱스와 대화
開始建築	Building Initiation	구축 개시
打倒奇襲的怪物	Defeat the Ambushing Monsters	기습한 몬스터 처치
打倒四周怪物及讓保護裝置停下	Defeat Nearby Monsters and Stop the Protective Device	주변 몬스터 처치 및 보호 장치의 작동 정지
使用可疑的卷軸除去隱藏的魔力源	Use the Suspicious Scrolls to Find and Remove the Magic Source	수상한 스크롤을 이용하여 숨겨진 마력원 제거
使保護裝置停下	Shut Down the Protective Device	보호 장치의 작동을 정지
調查住處4號室的保護裝置	Investigate the Protective Device in Lodge 4	숙소 4호실의 보호 장치를 조사
使住處4號室的保護裝置停下	Shut Down the Protective Device in Lodge 4	숙소 4호실의 보호 장치의 작동 정지
打倒看守防禦裝置的守護者	Defeat the Guardian Protecting the Defensive Device	방어 장치를 지키는 수호자 처치
使防禦裝置停下	Shut Down the Defensive Device	방어 장치의 작동 정지
往20層中央管理室移動	Head to the General Office on 20F	20층 중앙 관리실을 향해 이동
從20層中央管理室的魔族身上獲得第一把管理室鑰匙	Get the First Key from the Demons in the General Office on 20F	20층 중앙 관리실의 마족에게서 관리실의 첫 번째 열쇠 획득
使用管理者鑰匙，搜尋其他鑰匙	Use the Key You Found to Search for the Second key	관리자 열쇠를 이용하여 다른 열쇠 탐색
打退長老賽拉禮斯，獲得鑰匙	Obtain the key by defeating Elder Cezaris	장로 세자리스를 물리치고 열쇠 획득
用巴伊爾給你鑰匙啟動升降機管理裝置	Use the Keys to Activate the Elevator Control Device	바일이 준 열쇠들로 승강기 관리 장치를 작동
扺抗的完結	The Final Battle	저항의 결착
打倒鄰近四周的魔族	Defeat Nearby Demons	인근 주변의 마족 처치
收集魔力殘留物	Collect the Magic Residue	마력 잔류물 수집
破壞依克拉斯設置的魔族裝置	Destroy Ignas' Transforming Device	이그나스가 설치한 마족의 장치 파괴
打倒擋住往第1展望台路上的魔族	Defeat the Demons on the Way to the First Observatory	제1 전망대로 가는 길을 막는 마족 처치
和夏班史達團長依克拉斯戰鬥	Defeat the Head of the Schaffenstar Ignas	샤펜스타 단장 이그나스와 전투
調查第1展望台的望遠鏡	Investigate the First Observatory Telescope	제1 전망대의 망원경 조사
和抗軍馬伊特對話	Talk to the Resistance Soldier Mait	저항군 마이트와 대화
和抗軍副官貝稜對話	Talk to Resistance Adjutant Bern	저항군 부관 베른과 대화
除去湖水路周邊的苔癬	Remove the Moss from the Lake	호수길 주변 이끼 제거
與抗軍莫蘭對話	Talk to Resistance Soldier Molan	저항군 몰란과 대화
除去周遭的魔族與怪物	Defeat the Demons and the Monsters in the Area	주변의 마족과 몬스터 제거
採集湖水魚	Collect the Lake Fish	호수 물고기 채집하기
找尋偵察兵的下落	Look for the Missing Scout	정찰병의 행방 찾기
收集可用的魔法石	Collect Good Magic Stones	쓸만한 마법석 수집
往水盤設施所在的場所移動	Go to the Water Facility	수반시설이 있는 장소로 이동하기
啟動水盤控制裝置	Reactivate the Water Controller	수반 제어장치 활성화
啟動水盤設施保護魔法陣	Activate the Magic Circle of Protection for the Water Facility	수반시설 보호 마법진 활성화
往巨大怪物所在的地方移動	Move to Where the Giant Monster Is	거대 몬스터가 있는 곳으로 이동
採集里亞斯草	Collect the Rias Weeds	리아스 풀 채집
打倒出現里亞斯草精煉粉末效果的魔族	Defeat the Demons Affected by the Refined Rias Weed Powder	리아스 풀 정제가루의 효과가 나타나는 마족 처치
在水盤附近裝淨化之水	Bring Purified Water From the Water Point	수반 근처에서 정화된 물 담아오기
和抵抗軍雷特對話	Talk to Resistance Soldier Rett	저항군 레트와 대화
和長老拉穆羅斯對話	Talk to Elder Ramunas	장로 라무나스와 대화
和抗軍副官泰勒對話	Talk to the Resistance Adjutant Taylor	저항군 부관 테일러와 대화
除去陷阱	Remove the Traps	함정 제거
和抗軍副官勒溫對話	Talk to Resistance Adjutant Lehon	저항군 부관 르온과 대화
攏絡有中立傾向的夏班史達團員	Convince the Neutral Schaffenstar Members	중립 성향을 가진 샤펜스타 단원 회유
對補給物資灑毒	Poison the Supplies	보급 물자에 독 뿌리기
往後勤補給地區移動	Go to the Rear Supply Area	후방 보급지역으로 이동
破壞隱藏的移動魔法陣	Destroy the Hidden Teleportation Magic Circle	숨겨진 이동마법진 파괴
確認老舊的碑石	Investigate the Old Tombstone	오래된 비석 확인
往祭壇移動	Go to the Altar	제단으로 이동 하기
往帕托庫斯休憩地移動	Go to Patogus Shelter	파토구스 쉼터로 이동하기
在祭壇上放上古代圓盤	Place the Ancient Disc on the Altar	제단에 고대 원판 올려놓기
確認拉伊瑪女神的預言	Listen to Goddess Laima's Prophecy	라이마 여신의 예언 확인
埋藏洞悉真相的寶珠	Bury the Revealing Orbs	진실을 꿰뚫는 보주 매설
