警戒兵	Sentinel	경계병
前往耶沛羅塔歐海岸	Towards Eperotao Coast	에페로타오 해안으로
迅速淨化	Swift Purification	신속한 정화
現在有其他重要的事	Right now I have other important task	지금은 다른 중요한 일이 있다고 한다
消滅殘存的魔族	Dealing with the remaining demons	잔존한 마족 정리
這次很很困難	It'll be difficult this time	이번에는 힘들다고 한다
把握狀況	Figuring out the situation	상황 파악
我會準備	Let me get ready	준비를 하겠다고 한다
正在述說看到的內容	Relaying what you saw	본 내용을 말하는 중
破壞魔族的裝置(1)	Destroy the Demon Device(1)	마족의 장치를 파괴하라(1)
破壞魔族的裝置(2)	Destroy the Demon Device(2)	마족의 장치를 파괴하라(2)
破壞魔族的裝置(3)	Destroy the Demon Device(3)	마족의 장치를 파괴하라(3)
我在這理等	I'll wait here	여기서 기다리겠다고 한다
破壞巨大克魯比那(1)	Destroy the Massive Kruvina(1) 	거대 크루비나 파괴(1)
我去停止裝置再回來	I'll stop the device	장치를 멈추고 오겠다고 한다
破壞巨大克魯比那(2)	Destroy the Massive Kruvina(2) 	거대 크루비나 파괴(2)
女神的回應	The Goddess' Reply	여신의 응답
淨化研究(1)	Purification Research(1)	정화를 위한 연구(1)
淨化研究(2)	Purification Research(2) 	정화를 위한 연구(2)
詢問方法	How can I do it?	방법을 묻는다
現在很難	That's too difficult to do now	지금은 어렵다고 한다
消滅殘黨	Defeat the stragglers	잔당 처치
我願意消滅殘黨	I'll eradicate the stragglers	잔당 퇴치를 하겠다고 한다
我還得休息	It has to be easier now	아직은 쉬어야 한다고 한다
看人很準	Unusual Eyes	보는 눈이 남 달라
好消息	Good News	반가운 소식
修理劍練習台(1)	Sword Pell Repair (1)	검 연습대 수리(1)
修理劍練習台(2)	Sword Pell Repair (2)	검 연습대 수리(2)
我珍貴的朋友(1)	My Precious Friend (1)	내 소중한 친구(1)
詢問如何製作飼料	How do you make the food?	먹이는 어떻게 만드냐고 묻는다
我珍貴的朋友(2)	My Precious Friend (2)	내 소중한 친구(2)
第一中的第一	Best of the Best	으뜸 중에 으뜸
詢問過得如何。	How are you doing?	잘지냈냐고 묻는다
不間斷的怪物	Monsters after Monsters	끊임없는 몬스터
罪犯們的隱密場所	The Inmates' Secret Spots	죄수들의 은밀한 장소
犧牲者的請求	Victims' Request	희생자의 요청
雪貂的壞習慣	Ferrets and Their Grabby Hands	패릿의 못된 손 버릇
追悼犧牲者們(1)	Remembering the Victims (1)	희생자들을 추모하며(1)
追悼犧牲者們(2)	Remembering the Victims (2)	희생자들을 추모하며(2)
意外的消息	Unexpected News	뜻밖의 소식
為了成功進行研究	Research For Success	성공을 위한 연구
詢問該怎麼幫忙	How can I help you?	어떻게 도와주면 되냐고 묻는다
為了恢復魯西安的名譽(1)	Restoring Lucienne's Honor (1)	루시엔의 명예 회복(1)
為了恢復魯西安的名譽(2)	Restoring Lucienne's Honor (2)	루시엔의 명예 회복(2)
將史普恩的意思轉達給魯西安溫特知道	Complete the last mission using the decoy at Grobis Crossroads	루시엔 윈터스푼의 의사를 전달하는 중
[活動] 隱藏的寶箱	[Event] Scavenge Challenge	[이벤트] 숨겨진 보물 상자
[活動] 箱子快遞員	[Event] Daily Mystery Delivery	[이벤트] 상자 배달원
執行柯拉佩達傭兵委託所的委託	Carry out Klaipeda's Mercenary Post Mission	클라페다 용병 의뢰소 의뢰 수행
柯拉佩達傭兵委託所的委託報告	Klaipeda Mercenary Post's Mission Report	클라페다 용병 의뢰소의 의뢰 보고
和警戒兵交談	Talk to the Sentinel	경계병과 대화
在西邊森林營區和騎士堤塔斯交談	Talk to Knight Titas in Western Forest Camp	서쪽 숲 캠프에서 기사 티타스와 대화
再和騎士堤塔斯交談	Talk to Knight Titas again	기사 티타스와 다시 대화
在標示的地方和偵察兵交談	Talk to the Scout in the marked area	표시된 곳에서 정찰병과 대화
擊退蜂擁而來的凱帕	Defeat the Kepas surging in	몰려드는 케파 무리 처치
確認偵察兵的狀態	Check on the Scout	정찰병의 상태를 확인
再次告知偵察兵前往柯拉佩達的歸隊命令	Remind the Scout that there is an order to assemble to Klaipeda	정찰병에게 클라페다로 가기 위한 복귀 명령이 있음을 다시 알림
將行李包袱交給偵察兵	Return the belongings	정찰병에게 짐 꾸러미 전달
和戰鬥組長交談	Talk to the Battle Commander	전투 조장과 대화
向騎士堤塔斯報告	Report to Knight Titas	기사 티타스에게 보고
在標示的地方尋找搜查兵	Find the Search Scout in the marked area	표시된 곳에서 수색병 찾기
和搜查兵交談	Talk to the Search Scout	수색병과 대화
消滅蜂擁而來的巨大凱帕	Defeat the Large Kepa	달려드는 대형 케파 처치
和拉伊摩那斯交談	Talk to Laimonas	라이모나스와 대화
敬拜女神像	Worship the Goddess Statue	여신상에 경배
和柯拉佩達警備兵隊長交談	Talk to the Klaipeda Guard Captain	클라페다 경비병 대장과 대화
消滅礦石龜	Defeat Infrorocktor	인프로락터 처치
移動到柯拉佩達	Go to Klaipeda	클라페다로 이동
消滅突然出現的遠古石龜獸	Defeat the Rocktortuga that suddenly appeared	갑자기 나타난 락토르투가 처치
去找戰鬥組長，並且告知歸隊命令	Notify the Battle Commander of the order to assemble	전투 조장에게 복귀 명령 알림
移動到粉紅小花怪出沒地	Go to the Hanaming-infested area	하나밍 출몰지로 이동
追擊粉紅小花怪	Chase the Hanamings	하나밍 추격
消滅周圍的粉紅小花怪	Defeat the surrounding Hanamings	주변의 하나밍들을 처치
移動到粉紅小花怪棲息地	Go to the Hanaming habitat	하나밍 서식지까지 이동
將粉紅小花怪花瓣交給戰鬥組長	Give the Hanaming Petals to the Battle Commander	전투 조장에게 하나밍 꽃잎 전달
探索看起來相當危險的地方	Scout the dangerous looking area	위험해 보이는 곳 탐색
向戰鬥組長報告	Report to the Battle Commander	전투 조장에게 보고
消滅青苔泥人	Defeat Golem	골렘 처치
消滅巨大凱帕	Defeat the Large Kepa	대형 케파 처치
回去找搜查兵	Return to the Search Scout	수색병에게 돌아가기
移動到東邊森林營區據點	Go to the Eastern Woods Base Camp	동쪽 숲 캠프 거점으로 이동
消滅出現在東邊森林營區據點的波亞塔	Defeat the Poata in the Eastern Woods Base Camp	동쪽 숲 캠프 거점에 나타난 포아타 처치
和騎士阿拉斯交談	Talk to Knight Aras	기사 아라스와 대화
消滅襲擊前哨基地的波亞塔	Defeat the Poata that raided the outpost	전초기지를 습격한 포아타 처치
向騎士阿拉斯詢問有關礦山村莊	Talk to Knight Aras to inquire about the Miners' Village	기사 아라스에게 광산 마을에 대해 문의하기
消滅農場的波庫布	Defeat the Pokubus at the farm	농장의 포쿠부 처치
向騎士阿拉斯報告	Go to Knight Aras	기사 아라스에게 보고
狩獵卓柏卡布拉 	Hunt Chupacabras	츄파카브라 사냥
回去向警戒兵報告	Return and report to the Sentinel	경계병에게 돌아가 보고
向警戒兵聽取關於補給地的說明	Listen to the Sentinel about the Supplies Camp	경계병에게 보급지에 관한 설명 듣기
奪取補給地	Reclaim the Supplies Camp	보급지 탈환
回去向前哨基地警戒兵報告	Report back to the Outpost Sentinel	전초기지 경계병에게 돌아가 보고
消滅補給基地的卓柏卡布拉	Defeat the Chupacabras in the Supplies Camp	보급기지의 츄파카브라 처치
向補給負責官取得卓柏卡布拉的情報	Obtain information about Chupacabras from the Supply Officer	보급 담당관에게 츄파카브라 정보 얻기
解決巨大灰色卓柏卡布拉 	Defeat the Large Gray Chupacabras	대형 회색 츄파카브라 처치
回去向補給負責官報告	Report back to the Supply Officer	보급 담당관에게 돌아가 보고
消滅繼卓柏卡布拉之後出現的巨大灰色卓柏卡布拉	Defeat the Large Gray Chupacabras that appears from defeating a Chupacabra	츄파카브라 처치 시 출현하는 대형 회색 츄파카브라 처치
和補給負責官交談	Talk to the Supply Officer	보급 담당관과 대화
往補給地下方移動	Go to the lower side of the camp	보급지 아랫쪽으로 이동
請在補給地下方追蹤韋伯的蹤跡。	Track the trails of the Weaver at the lower side of the base	보급지 아랫쪽에서 위버의 흔적을 추적하세요.
消滅韋伯	Defeat Weaver	위버 처치
為了追尋女神的啟示進入了水晶礦山的騎士阿拉斯的提案中，請跟他聊聊這次要執行的任務吧。	Talk about what to do now to go to Crystal Mine	여신의 계시를 좇아 수정광산으로 들어가기 위한 기사 아라스의 제안 중 이번에 해야 할 일에 대해 이야기해 보세요.
向波波小獅王收集線索	Collect a clue from Popolions	포포리온에게서 단서가 될 만한 것 수집
將布貝衣服碎片交給作戰負責人	Give the Piece of Vubbe Cloth to the Operations Officer	부베 옷 조각을 작전 담당관에게 전달
和作戰負責人交談	Talk to the Operations Officer	작전 담당관과 대화
調查上面的地區	Investigate the upper area	위쪽 지역을 조사
向作戰負責人報告	Report to the Operations Officer	작전 담당관에게 보고
消滅布貝鬥士的部下	Defeat Vubbe Fighter's subordinates	부베 투사의 부하들 처치
和東邊森林補給兵交談	Talk to the Supply Soldier in the Eastern Woods	동쪽 숲 보급병과 대화
收集韋伯的腳趾甲	Collect Weaver Claws	위버의 발톱 수집
將韋伯的腳趾甲交給補給兵	Give the Weaver Claws to the Supply Soldier	보급병에게 위버의 발톱 전달
消滅波庫布	Defeat Pokubus	포쿠부를 처치
和補給兵交談	Talk to the Supply Soldier	보급병과 대화
消滅波庫布	Defeat Pokubus	포쿠부 처치
去尋找搜查兵	Find the Search Scout	수색병을 찾아 가기
搜索布貝鬥士	Search for the Vubbe Fighter	부베 투사 수색
告訴搜查兵已經擊退布貝鬥士了	Notify the Search Scout that the Vubbe Fighter has been defeated	수색병에게 부베 투사 퇴치를 알림
消滅布貝鬥士	Defeat the Red Vubbe Fighter	부베 투사 처치
回去向騎士阿拉斯報告	Return to Knight Aras	기사 아라스에게 돌아가 보고
和騎士阿拉斯進行有關礦山村莊的對話	Talk to Knight Aras about the Miners' Village	기사 아라스와 광산 마을에 대해 대화
消滅追趕難民的怪物	Defeat the monsters that are chasing the refugees	피난민을 뒤쫓는 몬스터 처치
和拜杜塔斯交談	Talk to Vaidotas	바이도타스와 대화
搜索村民	Search for the villagers	마을 주민 수색
和礦夫交談	Talk to the Miner	광부와 대화
消滅突然湧入的水晶蜘蛛	Defeat the Crystal Spiders that suddenly appeared	갑자기 몰려든 수정거미 처치
消滅尼多普巴伊	Defeat Netherbovine	네더보바인 처치
確認可疑的封印	Examine the suspicious seal	수상해 보이는 봉인 확인
消滅魔族米爾堤斯	Defeat Demon Mirtis	마족 미르티스 처치
消滅米爾堤斯	Defeat Mirtis	미르티스 처치
和石匠皮波堤交談	Talk to Stonemason Pipoti	석공 피포티와 대화
尋找皮波堤的同伴	Find Pipoti's colleague	피포티의 동료 찾기
消滅襲擊的怪物	Defeat the attacking monsters	습격한 몬스터 처치
移動到皮波堤地圖上標示的地方	Move to the area marked on Stonemason Pipoti's map	피포티의 지도에 표시된 곳으로 이동
避開怪物的妨礙，並且確認寶箱	Defeat the monsters and check the treasure chest	몬스터 방해를 피해 보물상자 확인
消滅約納喬雷	Defeat Yonazolem	요나졸렘 처치
移動到石匠皮波堤給的地圖上標示的地方	Move to the marked area on Stonemason Pipoti's map	석공 피포티가 준 지도에 표시된 곳으로 이동
避開怪物的妨礙，並且確認寶箱	Defeat the monsters and check the treasure chest	몬스터의 방해를 피해 보물상자 확인
消滅造成妨礙的霍克瑪	Defeat the interfering Hogmas	방해하는 호그마들 처치
和探險家巴奇斯交談	Talk to Adventurer Varkis	탐험가 바키스와 대화
從巴奇斯遺失的背包中回收日誌	Retrieve the Research Materials from Varkis' lost bag	바키스가 잃어버린 가방에서 일지 회수
拯救被襲擊的巴奇斯	Rescue Varkis who is under attack	습격받은 바키스 구출
確認探險家巴奇斯的狀態	Check on Adventurer Varkis	탐험가 바키스의 상태 확인
消滅利托雷克斯	Defeat Lithorex	리토렉스 처치
前往巴奇斯的營地	Go to Camp of Varkis	바키스의 캠프로 이동
在迪基內岔路收集巴奇斯的資料	Collect Varkis' Research Materials at Dykyne Fork	디키네 갈림길에서 바키스의 자료 수집
在蛇之頸絕壁收集巴奇斯的資料	Collect Varkis' Research Materials at Neck Cliff of Snake	뱀의 목 절벽에서 바키스의 자료를 수집
消滅邪惡寶箱怪	Defeat Unknocker	언낙커 처치
在阿帕堤懸崖附近尋找巴奇斯的資料	Look for Varkis' Research Materials near Apatinis Cliff	아파티 벼랑 근처에서 바키스의 자료를 찾기
消滅發動襲擊的怪物	Defeat the monsters	습격해온 몬스터 처치
和探險家巴奇斯的靈魂交談	Talk to Adventurer Varkis' Spirit	탐험가 바키스의 영혼과 대화
消滅發動襲擊的霍克瑪	Defeat Hogma	습격해온 호그마 처치
在碑石路的紀念碑材料中採取岩石	Collect stones from Stele Road	비석로에서 추모비 재료 중 바위 채취
去找柯拉佩達鐵匠	Meet the Blacksmith of Klaipeda	클라페다 대장장이 만나기
向柯拉佩達鐵匠購買石匠用工具	Buy stonemason tools from the blacksmith in Klaipeda 	클라페다 대장장이에게서 석공용 도구 구입
轉交給石匠皮波堤	Give it to Stonemason Pipoti	석공 피포티에게 전달
和莫勒庫斯‧尤那斯交談	Talk to Morkus Jonas	모르쿠스 요나스와 대화
和莫勒庫斯交談	Talk to Morkus	모르쿠스와 대화
把書交給鎖鏈法師次級大師	Give the book to the Linker Submaster	링커 서브 마스터에게 책 전달
向重裝步兵次級大師報告結果	Report the results to the Hoplite Submaster	하플라이트 서브 마스터에게 결과 보고
把精髓交給念力法師次級大師	Deliver the essence to the Psychokino Submaster	사이코키노 서브 마스터에게 정수 전달
收集用來寫符咒的怪物血液	Gather monster blood to be used when crafting charms	부적에 쓰일 몬스터의 혈액 모으기
將怪物血液轉交給邪靈祭司大師	Deliver the monster's blood to the Bokor Master	몬스터의 혈액을 보코르 마스터에게 전달
與鎖鏈法師次級大師對練	Duel the Linker Submaster	링커 서브 마스터와 대련
與巫蠱師次級大師對話	Talk to the Wugushi Submaster	무고사 서브 마스터와 대화
與巫蠱師次級大師對練	Duel the Wugushi Submaster	무고사 서브 마스터와 대련
與圓盾劍士次級大師對話	Talk to the Rodelero Submaster	로델레로 서브 마스터와 대화
向圓盾劍士次級大師報告	Report to the Rodelero Submaster	로델레로 서브 마스터에게 보고
與元素使次級大師對話	Talk to the Elementalist Submaster	엘리멘탈리스트 서브 마스터와 대화
執行元素使次級大師的課題	Complete the Elementalist Submaster's task	엘리멘탈리스트 서브 마스터의 과제 수행
把課題交給元素使次級大師	Relay the task to the Elementalist Submaster	엘리멘탈리스트 서브 마스터에게 과제 전달
與鐵甲騎兵次級大師對話	Talk to the Cataphract Submaster	캐터프랙트 서브 마스터와 대화
向鐵甲騎兵次級大師報告	Report to the Cataphract Submaster	캐터프랙트 서브 마스터에게 보고
消滅史潘飛行獸人	Defeat Sparnasman	스파나스맨 처치
回收亂落四處的補給品箱	Retrieve the supply boxes	흩어진 보급품 상자 회수
將補給品箱交給補給負責官	Give the supply boxes to the Supply Officer	보급 담당관에게 보급품 상자 전달
確認封鎖區域的結界石	Check the Crystal Pillar in the Closed Area	폐쇄된 구역의 결계석 확인
收集布貝魔石	Collect Vubbe Magic Stones	부베 마석 수집
使用位於封鎖地區的結界石裡的布貝魔石	Insert Vubbe Magic Stones into the Crystal Wall	폐쇄된 구역의 결계석에 부베 마석 사용
布貝	Vubbe	부베
和聯絡官尼爾斯交談	Talk to Liaison Officer Niels	연락관 닐스와 대화
尋找記錄官尤那斯	Find Archivist Jonas	기록관 요나스를 찾기
和記錄官尤那斯交談	Talk to Archivist Jonas	기록관 요나스와 대화
點燃烽火	Light the signal fire	봉화 올리기
回去找調查團營地的聯絡官尼爾斯	Return to Liaison Officer Niels at the Excavation Camp	조사단 캠프의 연락관 닐스에게 돌아가기
尋找傭兵米勒塔	Find Mercenary Mirta	용병 미르타 찾기
和史學家菲歐德交談	Talk to Historian Viode	사학자 비어드와 대화
消滅襲擊營地的怪物	Defeat the monsters attacking the camp	캠프를 습격하는 몬스터 처치
消滅對史學家造成威脅的怪物	Defeat the monsters that threaten the historian	사학자를 위협하는 몬스터 처치
和史學家凱佩克交談	Talk to Historian Kepeck	사학자 케펙과 대화
凱佩克發現的遺物記錄	Record the artifact that Kepeck discovered	케펙이 발견한 유물 기록
消滅奇葛拉斯	Defeat Ginklas	긴클라스 처치
和考古學家戴志克交談	Talk to Archaeologist Dezic	고고학자 데지크와 대화
幫忙考古學家戴志克消滅周圍的怪物	Defeat the nearby monsters for Archaeologist Dezic	고고학자 데지크를 위해 주변 몬스터를 처치
請和技術員哈伊奈恩交談	Talk to Technician Heinen	기술자 하이넨과 대화하세요
消滅纜車周圍的怪物	Defeat the monsters around the cable car	케이블카 주변 몬스터들을 처치
和技術員哈伊奈恩交談	Talk to Technician Heinen	기술자 하이넨과 대화
消滅威脅纜車的怪物	Defeat the monsters threatening the cable car	케이블카를 위협하는 몬스터 처치
破壞努歐圖里絕壁西邊的結界	Destroy the West Region Barrier at Nutoles Cliff	누오토리 절벽의 서쪽 결계를 파괴
破壞西邊的結界	Destroy the West Region Barrier	서쪽 결계 파괴
請和助手艾伊里奈交談	Talk to Assistant Airine	조수 아이리네와 대화하세요
和助手艾伊里奈交談	Talk to Airine	조수 아이리네와 대화
解除束縛艾伊里奈的結界裝置	Remove the barriers from Airine	아이리네를 속박하는 결계장치 해제
和傭兵葛雷恩交談	Talk to Mercenary Glen	용병 글렌과 대화
尋找薩厄加口袋裡的失蹤線索	Search for a clue of the disappearances from Sauga's bags 	사우가의 주머니에서 실종의 단서 찾기
保護艾伊里奈不受怪物傷害	Protect Airine from the monsters	몬스터들로 부터 아이리네를 지키기
回去找戴志克	Report back to Dezic	데지크에게 돌아가 보기
消滅巨魔蠍	Defeat Scorpio	스콜피오 처치
和新王陵研究員交談	Talk to the New Researcher in the Royal Mausoleum	신입 왕릉 연구원과 대화
回去找新王陵研究員	Return to the New Researcher	신입 왕릉 연구원에게 돌아가기
尋找遺失的研究報告書	Look for the old research reports	잃어버린 연구 보고서 찾기
消滅賈沛圖獲得王陵研究報告書	Obtain the research report by defeating Geppetto	제페토를 처치하여 왕릉연구보고서 획득
被撕破的研究記錄	Torn Research Record	찢어진 연구 기록
 收集	 Records	 수집
消滅吞吐斯獲得被撕破的研究記錄	Obtain Ripped research Records by defeating Tontus	톤투스를 처치하여 찢어진 연구 기록 획득
和尼爾斯交談	Talk to Niels	닐스와 대화
和商人達比歐交談	Talk to Merchant Davio	상인 다비오와 대화
哥拉斯的擔憂	Gorath's Concern	고라쓰의 걱정
和哥拉斯交談	Talk to Gorath	고라쓰와 대화
擊退莫雷克	Defeat Molich	몰렉 퇴치
消滅莫雷克	Defeat Molich	몰렉 처치
和藥材商交談	Talk to the Medicine Dealer	약재상과 대화
收集峽谷梅圖斯	Collect Canyon Metos	협곡 메토스 수집
為了完成藥，請回去找商人團的達比歐。	Return to Davio to complete the medicine	약의 완성을 위해 상인단의 다비오에게 돌아가세요.
和傭兵米勒塔交談	Talk to Mercenary Mirta	용병 미르타와 대화
去尋找耶畢扎丘陵的史學家凱佩克	Find Historian Kepeck at Apvija Hill	앱비자 언덕의 사학자 케펙 찾기
和礦山的拜杜塔斯交談	Talk to Vaidotas in the Mine	광산의 바이도타스와 대화
修理第1層的淨化裝置	Repair the Purifiers on 1F	1층의 정화 장치를 수리
確認第1層入口的淨化裝置	Inspect the Entrance Purifier on the 1st Floor	1층 입구 정화장치 확인
回收淨化裝置零件	Retrieve Purifier Parts	정화장치 부품 회수
修理第1層入口的淨化裝置	Repair the Entrance Purifier on 1F	1층 입구 정화장치 수리
修理第2層的淨化裝置	Repair the Purifiers on 2F	2층의 정화 장치를 수리
請修理第2層的所有淨化裝置。	Repair all the Purifiers on 2F	2층의 정화 장치를 모두 수리하세요.
確認中央淨化裝置	Inspect the Central Purifier	중앙 정화장치 확인
使用礦山羅盤	Use the Mine Compass	광산 나침반을 사용
搜索第4區域預備淨化裝置	Search District 4 for the Spare Purifier	4구역 예비 정화장치 수색
請從預備淨化裝置中取得替換用的零件。	Get the replacement parts from the Spare Purifier	예비 정화장치에서 교체용 부품을 획득하세요.
消滅水晶礦山獨眼巨人	Defeat Cyclops in the Crystal Mine	수정광산 사이클롭스 처치
消滅獨眼巨人	Defeat Cyclops	사이클롭스 처치
確認第1層通道的淨化裝置	Inspect the Passage Purifier on 1F	1층 통로 정화장치 확인
在第6區搜索淨化裝置零件	Search District 6 for Purifier Parts	6구역에서 정화장치 부품 수색
修理第1層通道的淨化裝置	Repair the Passage Purifier on 1F	1층 통로 정화장치 수리
檢查循環淨化裝置	Inspect the Circulation Purifier	순환 정화장치 점검
修理淨化管	Repair the Purifier Pipe	정화관 수리
確認循環淨化裝置 	Inspect the Circulation Purifier	순환 정화장치 확인
確認第2區淨化管	Inspect the Purifier Pipe in District 2	2구역 정화관 확인
消滅蓋洛貝斯寄居蟹	Defeat Carapace	캐러페이스 처치
啟動循環淨化裝置	Activate the Circulation Purifier	순환 정화장치 가동
確認第2層的輔助淨化裝置	Inspect the Auxiliary Purifier on 2F	2층 보조 정화장치 확인
使用礦山羅盤	Use the Mine Compass	광산 나침반 사용
確認魔力供給裝置	Inspect the Magic Supply Device	마력 공급장치 확인
搜索消除生鏽的工具	Search for tools to remove rust	녹을 제거할 도구 수색
恢復第4區的魔力供給裝置	Restore the Magic Supply Device in District 4	4구역의 마력 공급장치 복구
啟動第2層輔助淨化裝置	Activate the Auxiliary Purifier on 2F	2층 보조 정화장치 가동
確認主淨化裝置的狀態	Check the Main Purifier	주 정화장치 상태 확인
使用礦山羅盤掌握遺失零件的位置。	Use the Mine Compass to locate the missing parts of the purifier	광산 나침반을 사용하여 잃어버린 부품의 위치를 파악하세요.
前往第6區搜索零件	Search District 6 for parts	6구역으로 부품 수색
回到主淨化裝置進行修理。	Fix the Main Purifier	주 정화장치로 돌아가 수리
消滅石鯨怪	Defeat Stone Whale	석화고래 처치
和亞希拉斯尤那斯交談	Talk to Ahylas Jonas	아힐라스 요나스와 대화
和庫斯塔斯的學生交談，並且解除封印裝置	Talk to the Disciple of Gustas to learn how to release the seal	구스타스의 제자와 대화 하고 봉인 장치를 해제
和庫斯塔斯的學生交談	Talk to the Disciple of Gustas	구스타스의 제자와 대화
解除封印裝置	Unleash the seal device	봉인 장치를 해제
和庫斯塔斯尤那斯交談	Talk to Gustas Jonas	구스타스 요나스와 대화
和傭兵圖都宇交談	Talk to Mercenary Toby	용병 토도우와 대화
獲得實力評價	Prove your skills	실력 평가 받기
收集盜墓裝備	Find and collect the equipment for graverobbing	도굴 장비 수집
和考古學家勞迪交談	Talk to Archaeologist Laudi	고고학자 라우디와 대화
消滅巨眼丹提獲得遺址碎片	Obtain the Relic Fragment by defeating Denoptic	덴옵틱을 처치하여 유적 파편 획득
將遺址碎片交給考古學家勞迪	Give the Relic Fragment to Archaeologist Laudi	고고학자 라우디에게 유적 파편 전달
消滅巨眼丹提	Defeat Denoptic	덴옵틱 처치
前往考古學家勞迪要進行研究的區域消滅怪物	Defeat the monsters that abide near the place where Archaeologist Laudi will do his research	고고학자 라우디가 연구할 지역에 있는 몬스터 처치
消滅奧德卡丘陵路附近的怪物	Defeat the monsters near Odega Uphill	오데가 언덕길 근처의 몬스처 처치
收集古老的遺物	Collect the old inheritance	오래된 유물 수집
消滅突然出現的怪物	Defeat the monsters that suddenly appeared	갑자기 나타난 몬스터 처치
再次調查石柱	Examine the pillar again	다시 돌기둥 조사
消滅湧入的怪物	Defeat the monsters	몰려든 몬스터 처치
消滅虛那印	Defeat Shnayim	쉬나임 처치
和隊長皮歐交談	Talk to Vio	대장 비오와 대화
尋找傭兵利特	Find Mercenary Lindt	용병 린트 찾기
和傭兵利特交談	Talk to Mercenary Lindt	용병 린트와 대화
奪回被溫迪戈偷走的補給品	Retrieve the supplies which Wendigo stole	웬디고가 훔쳐간 보급품 되찾기
將補給品交給傭兵利特	Give the supplies to Lindt	용병 린트에게 보급품 전달
從溫迪戈那獲得補充物資	Obtain the supplies from Wendigo	웬디고들에게서 보급품 획득
採取峽谷歐彼尼斯	Collect Canyon Apynys	협곡 아피니스 채취
和傭兵埃塔交談	Talk to Mercenary Eta	용병 에타와 대화
尋找毒	Obtain the poison	독 구하기
獲得怪物毒	Obtained the poison of the monsters	몬스터의 독 획득
在阿爾庫內階梯路放置靈氣流動的石頭	Put the Spiritual Stones at Alkune Stairway	알쿠네 계단길에 영기가 흐르는 돌을 놓아 두기
消滅薩厄加	Defeat Sauga	사우가 처치
從阿爾庫內階梯路右邊引誘薩厄加斯	Lure the Saugas from the right side of Alkune Stairway	알쿠네 계단길의 오른쪽에서 사우가스 유인
消滅發動襲擊的怪物	Defeat the monsters that are rushing in	습격해오는 몬스터 처치
和補給隊隊長皮歐交談	Talk to Vio	보급대 대장 비오와 대화
解除聖所內的封印	Release the seal inside the sanctum	성소 안에 있는 봉인 해제
抵達礦山村莊	Arrive at the Miners' Village	광산 마을 도착
和礦山村莊村長交談	Talk to the Miners' Village Mayor	광산 마을 촌장과 대화
和獵人交談	Talk to the Hunter	사냥꾼과 대화
和礦山所長布林肯交談	Talk to Mine Manager Brinker	광산 소장 브링커와 대화
從周圍的石堆中收集補強用材料	Collect Reinforcement Stones from the rubbles nearby	주변의 돌무더기에서 보강용 자재 수집
將材料交給礦山所長布林肯	Give the Reinforcement Stones to Brinker	광산 소장 브링커에게 자재 전달
消滅周圍造成威脅的怪物	Defeat the monsters nearby	주변의 위협적인 몬스터 제거
告知礦山所長布林肯已經安全了	Tell Brinker that it is safe	광산 소장 브링커에게 안전함을 알리기
和治療師小姐交談	Talk to the Healer Lady	치유사 아가씨와 대화
帶難民過來	Bring the refugees	피난민 데리고 오기
將難民移交給治療師小姐	Turn over the refugees to the Healer Lady	치유사 아가씨에게 피난민 인계 하기
消滅具威脅性的怪物	Defeat the monsters	위협적인 몬스터 처치
消滅佔領村子的布貝	Defeat the Vubbes who invaded the village	마을을 점령한 부베 처치
消滅布貝	Defeat the Vubbes	부베 처치
消滅布貝	Defeat the Vubbes	부베들 처치
消滅突然出現的赤紅布貝鬥士	Defeat the Red Vubbe Fighter that suddenly appeared	갑자기 나타난 붉은 부베 투사 처치
消滅因為炸藥聲而湧入的布貝	Defeat any Vubbe that assembles after hearing the explosives	폭약 소리를 듣고 몰려드는 부베 처치
和水晶礦山第 1層樓的拜杜塔斯交談	Talk to Vaidotas in Crystal Mine 1F	수정광산 1층의 바이도타스와 대화
救出被束縛的靈魂	Rescue the restrained souls	묶여있는 영혼 구출
確認王陵碑文	Check the epitaph of the Royal Mausoleum	왕릉 비문을 확인
在王陵魔方附近制伏普巫葛後將之吸收	Defeat Boowooks near a Royal Cube to absorb	부우크를 왕릉 큐브 근처에서 제압하여 흡수
閱讀王陵碑文	Read the epitaph	왕릉 비문 읽기
破壞被汙染的守護裝置	Destroy the corrupted defense mechanism	더럽혀진 수호 장치 파괴
破壞被汙染的守護裝置	Destroy the corrupted defense mechanism	더럽혀진 수호장치 파괴
確認王陵碑文	Check the epitaph of the Royal Mausoleum	왕릉 비문 확인
向守護者取得動力源，對奉獻箱進行奉獻	Get the power source from the Guardians and dedicate it to the containers	수호자에게서 동력원을 얻어 봉헌함에 봉헌
消滅守護者艾哈特	Defeat Achat	수호자 에하트 처치
守護者艾哈特	Guardian Achat	수호자 에하트
答應治療師小姐的委託	Listen to the Healer Lady's request	치유사 아가씨의 부탁 들어주기
消滅切波勒	Defeat Chafer	체이퍼 처치
將結果告訴治療師小姐吧	Inform the results to the Healer Lady	치유사 아가씨에게 결과 알려주기
消滅擋路的切波勒	Defeat Chafer that is blocking the way	길을 막은 체이퍼 처치
和守護者的石像交談	Talk to the Guardian Stone Statue	수호자의 석상과 대화
消滅被汙染的守護者	Defeat the corrupted Guardian	오염된 수호자 처치
