攻擊	Attack	공격
需要虛弱Lv3	Lv3 Lethargy required	레써지 3레벨 필요
需要反射盾Lv3	Lv3 Reflect Shield required	리플렉트 실드 3레벨 필요
需要法師2階	Wizard 2nd Circle required	위저드 2서클 필요
需要法師3階	Wizard 3rd Circle required	위저드 3서클 필요
[卡普利頌]物理/打擊/無屬性	[Cafrisun] Physical/Strike/No Property	[카프리선]물리/타격/무속성
屬性增加	Increased Stats	스탯 증가
增加所有屬性能力值。	Increased All Stats	모든 스탯 능력치가 증가합니다.
冷卻時間減少	Decrease Cooldown Time	재사용 대기시간 감소
減少技能冷卻時間	Decreases Skill Cooldown Time	스킬 재사용 대기시간이 감소합니다
屍塊砲擊	Flesh Cannon	플래쉬 캐논
屍塊護環	Flesh Hoop	플래쉬 후프
楔形陣。	Wedge Formation	웨지 포메이션.
密集方陣。	Schiltron	스킬트론.
龜甲陣。	Testudo	테스튜도.
定期受到毒屬性傷害	Periodically receive poison damage	주기적으로 독 속성 피해를 받음
狂擊衝擊	Lightning Shock	전기 충격
定期受到電氣屬性傷害	Periodically receiving Lightning property damage	주기적으로 전기 속성 피해를 받음
MP減少	MP decreases	MP가 감소
增加獲得的傷害	Damage taken increase	받는 피해 증가
採集植物	Gather plants	식물채집
狂氣	Lunacy	광기
狂氣解放	Release Lunacy	광기 해방
快速施法	Quick Cast	퀵 캐스트
釘草人強化	Effigy Enhance	에피지 강화
提前釘草人的攻擊紅利	Increases the attack bonus of Effigy	에피지의 공격보너스를 앞당겨준다
需要祝福Lv3	Lv3 Blessing required	블레싱 3레벨 필요
需要穩定瞄準Lv3	Lv3 Steady Aim required	스테디에임 3레벨 필요
需要專注Lv3	Lv3 Concentrate required	콘센트레이트 3레벨 필요
盾心突刺	Umbo Thrust	엄보 쓰러스트
破空斬	Skyliner	스카이라이너
十字斬擊	Crosscut	크로스컷
垂直斬	Vertical Slash	버티컬 슬래쉬
破顱斬	Helm Chopper	헬름쵸퍼
地裂斬	Seism	사이즘
劈斬	Cleave	클리브
盾牌猛擊	Shield Shoving	실드셔빙
盾牌痛擊	Shield Bash	실드배쉬
上段踢	High Kick	하이킥
塵捲風	Dust Devil	더스트 데블
毀滅連擊	Hexen Dropper	헥슨드롭퍼
喚醒	Evocation	에보케이션
污穢之柱	Dirty Pole	더티 폴
死者甦醒	Raise Dead	레이즈 데드
鴆毒	Zhendu	짐 독
群體治療	Mass Heal	매스 힐
皮膚硬化	Stone Skin	스톤 스킨
殭屍膠囊	Zombie Capsule	좀비 캡슐
定罪	Conviction	컨빅션
魔防增加	Increase Magic Defense	마법방어력 증가
預言	Prophecy	프로퍼시
1等級狀態以上免疫	Immune to Lv1 status ailments	1레벨 상태이상 면역
盾牌痛擊-屬性能力混亂。	Shield Bash-Mix stat	실드배쉬-스탯 뒤섞임
對打擊攻擊脆弱	Vulnerable to Strike attacks	때리기 공격에 취약해짐
格擋增加	Block Increase	블록 증가
阿克貝尼帕套裝BUFF	Agvenipa Set Buff	아그베니파 세트 버프
盾防防守	Shield Guard	실드 가드
技能[毀滅刺擊]無法再打倒敵人。 (該特性如果為ON，絕對不會倒下。)	[Doom Spike] no longer knocks enemies down (Only applies if this attribute is set to ON)	스킬 [둠 스파이크]가 더 이상 적을 넘어뜨리지 않습니다. (해당 특성이 ON이면 무조건 넘어뜨리지 않습니다.)
烈焰大地	Flame Ground	플레임 그라운드
冰球	Freezing Sphere	프리징 스피어
冰霜之雲	Frost Cloud	프로스트 클라우드
分裂箭	Split Arrow	스플릿 애로우
靈魂結界	Spirit Barrier	영혼의 결계
挑釁	Provoke	프로보크
掌握十字弓	Crossbow Mastery	크로스보우 마스터리
需要海賊2階	Corsair 2nd Circle required	커세어 2서클 필요
爪擊	Scratch	할퀴기
劈砍	Slash	가르기
狂野氣息	Wild Breath	와일드 브레스
咆哮	Warcry	포효
攻擊遠距離的敵人	Attack a distant enemy	원거리의 적을 공격 합니다
砲擊攻擊	Cannon Attack	캐논 공격
採礦	Mining	채광
派對吹笛	Party Horn	풍선 피리
長刺	Langort	랑고르트
長矛刺擊	Spear Lunge	스피어 런지
懲罰減少	Penalty Reduction	페널티 감소
死亡連擊	Deadly Combo	데들리 콤보
手槍射擊	Pistol Shot	피스톨 샷
特戰隊型	Special Formation	특전대형
召喚馬車	Summon Carriage	마차 소환
會心一擊	Zornhau	존하우
迴旋斬擊	Redel	레델
側邊揮擊	Zucken	츠켄
旋斬	Zwerchhau	즈버크하우
怨捶斬	Sturtzhau	슈트루츠하우
連續擊刺	Attaque Composee	아따끄 꽁뽀제
弓步刺擊	Lunge	런지
七星擊	Sept Etoiles	세테뚜와르
護手攻擊	Attaque Coquille	아따끄 꼬끼유
閃避刺擊	Esquive Toucher	에스뀌브 뚜슈
準備姿勢	Preparation	프레파라시옹
滑劍刺擊	Flanconnade	플랑코나드
迅猛刺擊	Balestra Fente	발레스트라 팡트
武器擊落	Attaque au Fer	아따끄 오 페르
爆猛刺擊	Flash	플레쉬
微塵忍術	Mijin no Jutsu	인법 미진술
影分身忍術	Bunshin no Jutsu	인법 분신술
木遁忍術	Mokuton no Jutsu	인법 목둔술
火遁忍術	Katon no Jutsu	인법 화둔술
御璽頭具	Cassis Crista	어인 투구
狂傲斬擊	Frenzied Slash	프렌지드 슬래쉬
 迴避刺擊	Evade Thrust	이베이드 쓰러스트
頭擊	Headbutt	헤드버트
報復痛擊	Take Down	테이크 다운
狂傲猛踢	Frenzied Shoot	프렌지드 슛
飛盾	Scutum Hit	스큐텀 힛
龍牙	Dragontooth	드래곤투스
蛇咬之舞	Serpentine	서펜틴
穿刺之矛	Gae Bulg	게이불그
昇龍之勢	Dragon Soar	드래곤소어
驅趕	Dethrone	디쓰론
神隱龍	Dragon Dive	드래곤 다이브
召喚公會成員	Summon Guild Member	길드원 소환
移動至公會成員	Warp To Guild Member	길드원에게 이동
移動至所選擇的公會成員的位置	Warp To Specific Guild Member's Location	선택한 길드원의 위치로 이동
公會塔	Build Guild Tower	길드 타워
提升公會塔功能	Improve Guild Tower Features	길드 타워 기능 향상
減少製作時間	Reduce Craft Time	제작시간 감소
戰鬥命令	Battle Orders	배틀 오더스
索命斬擊	Mortal Slash	모탈 슬래쉬
BUFF共享	Buff Share	버프 공유
公會基地內部可建設能增強公會成員的物理攻擊力的鐵匠工場。{nl}鐵匠工場是	The forge that increases physical attack of guild members 	길드원들의 물리 공격력을 증가시켜주는 포지를 길드 아지트 안에 건설할 수 있습니다.{nl}포지는 
粉碎一擊	Crush	크러쉬
頭部襲擊	Head Strike	헤드 스트라이크
沉默刺擊	Joust	자우스트
落馬攻擊	Unhorsing	낙마 공격
正中標靶	Quintain	퀸테인
開始	Initiate	개시
召喚邪靈	Evocation	이보케이션
縮時	Pass	패스
屍塊襲擊	Flesh Strike	플래쉬 스트라이크
召喚骸骨弓箭手	Raise Skull Archer	레이즈 스컬아처
鍊金術士 飛彈	Alchemistic Missile	알케미스틱 미사일
血浴	Blood Bath	블러드배쓰
骨頭指點	Bone Pointing	본 포인팅
腐敗骨刺	Ngadhundi	은가둔디
死亡步伐	Kurdaitcha	커다이챠
昆德拉斬擊	Kundela Slash	쿤델라 슬래쉬
反重力	Levitation	레비테이션
血之詛咒	Blood Curse	블러드 커스
苦痛之柱	Pole of Agony	폴 오브 아고니
惡靈召喚	Invocation	인보케이션
惡意	Mastema	마스테마
惡靈獻祭	Evil Sacrifice	이블 새크리파이스
精神耗盡	Drain	드레인
安息日	Ghastly Trail	사바쓰
破壞符文	Rune of Destruction	파괴의 룬
寒水符文	Rune of Ice	얼음의 룬
巨人符文	Rune of Giants	거인의 룬
正義符文	Rune of Justice	정의의 룬
保護符文	Rune of Protection	보호의 룬
出發到好友那邊	Warp to Friend	친구에게 이동
出發道已選擇的好友那邊	Warp to Specific Friend's Location	선택한 친구의 위치로 이동
粒子空間	Micro Dimension	마이크로 디멘션
終極空間	Ultimate Dimension	얼티밋 디멘션
瞬間幻影	Blink	블링크
驚恐	Maze	메이즈
縮小魔法陣	Magic Circle Reduction	마법진 축소
飛彈	Missile Hole	미사일 홀
恍惚	Enchantment	인챈트먼트
戰利獎賞	Reward	리워드
敏捷	Agility	어질리티
防具附魔	Enchant Armor	인챈트 아머
根據等級可賦予的選項種類增加	The number of available enchantments increases as its skill level does	레벨에 따라 부여할 수 있는 옵션 종류 증가
製作魔法卷軸	Craft Spellbook	스펠북 제작
咒語書使用後就會消失	The spellbook disappears after it's used	스펠북은 사용 후 사라짐
雷屬性附魔	Enchant Lightning	인챈트 라이트닝
精神賦予	Empowering	임파워링
狂射	Wild Shot	와일드 샷
啟動迴避	Evasive Action	회피기동
進射	Marching Fire	돌격 사격
音速突擊	Sonic Strike	음속타
熔合	Combination	콤비네이션
神隱彈	Dive Bomb	다이브 봄
瞄準	Aiming	에이밍
主動攻擊	Pre-Emptive Strike	선제 공격
重砲射擊	Cannon Shot	캐논샷
對空砲擊	Shootdown	슛다운
攻城轟炸	Siege Burst	시즈버스트
重砲轟炸	Cannon Blast	캐논 블래스트
連續砲擊	Cannon Barrage	캐논 배라지
火箭筒	Bazooka	바주카
掩護射擊	Covering Fire	커버링파이어
爆頭射擊	Headshot	헤드샷
狙擊	Snipe	스나이프
穿透射擊	Penetration Shot	페네트레이션 샷
槍托重擊	Butt Stroke	버트스트로크
刺刀突擊	Bayonet Thrust	바요넷 쓰러스트
群體發射	Volleyfire	발리파이어
鳥狙	Birdfall	버드폴
銳光切擊	Skarphuggning	스칼푸그닝
刀騎兵	Hacka Pelle	하카 펠레
炮擊命令	Bombardment Orders	포격 명령
騎兵衝鋒	Hackapell Charge	하카펠 차지
腿部射擊	Leg Shot	다리 쏘기
暴風錘	Storm Bolt	스톰 볼트
多方射擊	Spread Shot	스프레드 샷
火力集中	Homing Arrow	호밍 애로우
速射	Rapid Fire	속사
三連發	Triple Arrow	트리플 애로우
跳躍射擊	Jump Shot	도약 사격
帕蒂亞之箭	Parthian Shaft	파르티안 샤프트
the TEN	Decatose	데카토스
救世者	Savior	세이비어
狼人化	Lycanthropy	라이칸스로피
性別開關	Gender Switch	스위치 젠더
預示	Foretell	포어텔
命運扭轉	Twist of Fate	트위스트 오브 페이트
再生因子	Healing Factor	힐링팩터
焚燒	Incineration	소각
放血	Bloodletting	방혈
消毒	Fumigate	소독
感染	Pandemic	판데믹
鳥喙面具	Beak Mask	새 부리 가면
黑死病蒸氣	Black Death Steam	흑사병 증기
反附魔	Disenchant	디센챈트
七重煉獄	Revenged Sevenfold	리벤지드 세븐폴드
快蛇	Nachash	나하쉬
無盡	Ein Sof	아인 소프
梅爾卡巴戰輪	Merkabah	메르카바
數秘術	Gematria	게마트리아
拼詞計算術	Notarikon	노타리콘
連打機會	Double Chance	연타 챤스
等級降低	Reduce Level	레벨 감소
複製	Clone	복제
終傅聖事	Last Rites	종부성사
設置祈禱所	Deploy Capella	카펠라 설치
十字驅魔	Magnus Exorcismus	장엄구마
潑灑聖水	Aspergillum	아스페르길룸
異端者佛克	Heretic's Fork	이단자 포크
鋼鐵靴	Iron Boots	아이언 부츠
噴蠟機	Lead Sprayer	납 뿌리개
神之粉碎	God Smash	갓 스매쉬
魔導的審判	Malleus Maleficarum	마도 심판
人足付地法	Entrenchment	인족부지법
引重法	Hurling	인중법
取人藏物法	Hidden Potential	취인장물법
急急如律令	Begone Demon	급급여율령
祭神杖	Gohei	고헤이
清掃	Sweeping	빗자루질
破魔矢	Hamaya	하마야
神樂	Kagura	카구라
排除預定	Scheduled removal	제거 예정
範圍防禦比率減少	Decreased AoE Defense Ratio	광역 방어 비율 감소
提升寵物的能力值	Companion Ability Buff	컴패니언의 능력치 향상
無法攻擊	Unable to Attack	공격 불가
遭受SP吸收	SP absorbed	SP 흡수당함
長矛刺擊	Spear Lunge	스피어런지
下一次攻擊的刺擊屬性攻擊力增加。	Increased Pierce-type attack upon the next attack	다음 1회 공격하는 찌르기 속성의 공격력이 증가합니다.
移動速度增加	Increased movement speed	이동 속도 증가
隱身	Stealth	은신
移動速度減少狀態。	Decreased movement speed	이동속도 감소 상태입니다
減少冷卻時間	Reducing cooltime	재사용 대기시간이 감소합니다
魔法防禦力減少的狀態	Reduced magical defense	마법방어력이 감소된 상태입니다
斬擊攻擊下變得脆弱	Vulnerable to Slash Attacks	베기 공격에 취약해짐
暴擊抵抗 降低	Decreased critical resistance	크리티컬 저항 감소
預計移除。	x	제거 예정.
增加主人的黑暗屬性攻擊力	Increased owner's Dark property attack	주인의 어둠 속성 공격력 증가
潑灑聖水	Aspergillum	아스페르길름
強烈腐蝕	Great Corruption	강력한 부패
增加HP恢復能力。	Increases HP recovery	HP 회복능력이 증가합니다.
焚燒狀態。	Incineration state	소각 상태입니다.
消毒狀態。	Fumigate state	소독 상태입니다.
增加3級以下狀態異常抵抗機率	Increased chance of resisting Lv3 status ailments	3레벨 이하 상태이상 저항 확률 증가
車輪刑罰	Wheel Torture	수레바퀴 형벌
呼風喚雨	Storm Calling	호풍환우
束縛狀態	Bound	결박 상태
腿部彈傷	Leg Shot	레그샷
戰利獎賞(武器)	Reward (Weapon)	리워드(무기)
戰利獎賞(上衣)	Reward (Top)	리워드(상의)
破魔矢(神聖)	Hamaya (Holy)	하마야(신성)
鑲金防具	Cracked Armor	금간 방어구
物理防禦力減少	Decreased Physical Defense	물리방어력 감소
魔法防禦力減少	Decreased Magic Defense	마법방어력 감소
減少物理攻擊力	Decreased Physical Attack	물리공격력 감소
魔法攻擊力減少	Decreased Magic Attack	마법공격력 감소
毒免疫	Poison Immunity	독 면역
增加物理攻擊力、魔法攻擊力	Increased physical attack and magic attack	물리 공격력, 마법 공격력 증가
增加物理防禦力、魔法防禦力	Increased physical defense and magic defense	물리 방어력, 마법 방어력 증가
隱藏	Hide	하이드
隱藏狀態	Hidden State	하이드 상태
隔絕負面效果機率增加	Increased harmful effect resistance rate	해로운 효과 차단 확률 증가
有害效果的持續時間快速消耗	Fastly Decreases Duration of Harmful Effects	해로운 효과의 지속시간이 빠르게 소진
公會戰鬥觀戰者	GvG Spectator	길드배틀 관전자
公會戰鬥開始前	Pre-GvG	길드배틀 시작전
防禦效果增加	Increased defense effects	방어 효과 증가
魔法攻擊 免疫	Magic Attack Immunity	마법 공격 면역
飛彈攻擊 免疫	Missile Attack Immunity	미사일 공격 면역
固定傷害免疫	Continuous Damage Immunity	고정 피해 면역
地板免疫 BUFF	Floor Immunity Buff	장판면역 버프
侏儒	Homunculus	호문클루스
飛彈攻擊防禦	Missile Attack Defense	미사일 공격 방어
範圍攻擊比率增加	Wide Range Attack Rate Increases	광역 공격 비율 증가
範圍攻擊比率增加	Wide Range Attack Rate Increases	광역 공격 비율이 증가
晶球召喚負面BUFF	Orb Summon Debuff	오브 소환 디버프
HP恢復力的一部份，會增加在魔法增幅，但HP恢復力減少為0	Increased magic amplification at the cost of reducing HP recovery rate to 0	HP 회복력의 일부가 마법 증폭에 더해지는 대신 HP 회복력이 0으로 감소
魔防防禦力增加	Increased magic attack	마법 공격력이 증가합니다
增加物理攻擊力	Physical Attack Increased	물리 공격력이 증가합니다
暴擊率增加	Critical Rate Increase	치명타 발생 증가
暴擊率增加	Increased critical rate	치명타 발생이 증가
物理攻擊力增加	Physical Attack Increase	물리 공격력 증가
物理攻擊力增加	Increased physical attack	물리 공격력이 증가
火屬性抵抗力增加	Fire Property Resistance Increase	불 속성 저항력 증가
火屬性抵抗力增加	Increased Fire property resistance	불 속성 저항력이 증가
冰屬性抵抗力增加	Ice Property Resistance Increase	얼음 속성 저항력 증가
冰屬性抵抗力增加	Increased Ice property resistance	얼음 속성 저항력이 증가
毒屬性抵抗力增加	Poison Property Resistance Increase	독 속성 저항력 증가
毒屬性抵抗力增加	Increased Poison property resistance	독 속성 저항력이 증가
地屬性抵抗力增加	Earth Property Resistance Increase	땅 속성 저항력 증가
地屬性抵抗力增加	Increased Earth property resistance	땅 속성 저항력이 증가
電氣屬性抵抗力增加	Lightning Property Resistance Increase	전기 속성 저항력 증가
電氣屬性抵抗力增加	Increased Lightning property resistance	전기 속성 저항력이 증가
魔法防禦力增加	Increase magic defense	마법 방어력 증가
魔法攻擊力增加	Increase magic attack	마법 공격력 증가
魔法攻擊力增加	Increased magic attack	마법 공격력이 증가
鑽研	Porapore	포라포레
鑽研活性化	Porapore Activation	포라포레 활성화
光明、黑暗屬性攻擊力增加	Light and Dark Property Attack Increase	빛, 어둠 속성 공격력이 증가
魔法防禦力增加，物理防禦力增加	Increased magic defense and decreased physical defense	마법 방어력이 증가, 물리 방어력은 감소
在保護膜全部消失以前，HP不會減少	HP won't be reduced by attacks until all the protections are used	보호막이 모두 소진되기 전까지 HP가 감소되지 않음
基本攻擊套用5連打	Changed to 5 continuous attacks	기본 공격이 5연타로 적용
耐力減少	Reduced Stamina	스태미나 감소
跛腳	Cripple	절름발이
釘草人紅利1	Effigy bonus1	에피지 보너스1
釘草人的追加害紅利套用於第2次攻擊	Applies additional damage of Effigy on the second attack	에피지의 추가대미지 보너스가 2회째 공격에 적용
聖職者系列套用時，增加神聖屬性攻擊力	Increases Holy Property attack when used by Cleric-type characters	성직자 계열이 착용 시, 신성 속성 공격력 증가
移動速度、物理攻擊力、魔法攻擊力增加	Increased movement speed and physical/magic attack	이동속도, 물리 공격력, 마법 공격력 증가
魔力增幅	Magic Amplification	마력증폭
防禦力、魔法防禦力增加	Defense and Magic Defense Increase	방어력,마법방어력 증가
企鵝持有中	Penguin Owner	펭귄 보유중
攻擊力、魔法攻擊力增加	Attack and Magic Attack Increase	공격력,마법공격력 증가
紅熊貓持有中	Lesser Panda Owner	레서판다 보유중
守護的項鍊-暗黑	Necklace of Protection - Darkness	수호의 목걸이-암흑
守護的手鐲-暗黑	Bracelet of Protection - Darkness	수호의 팔찌-암흑
守護的項鍊-暗黑II	Necklace of Protection - Darkness II	수호의 목걸이-암흑II
守護的手鐲-暗黑II	Bracelet of Protection - Darkness II	수호의 팔찌-암흑II
守護的項鍊-寒氣	Necklace of Protection - Frost	수호의 목걸이-냉기
守護的手鐲-寒氣	Bracelet of Protection - Frost	수호의 팔찌-냉기
守護的項鍊-寒氣II	Necklace of Protection - Frost II	수호의 목걸이-냉기II
守護的手鐲-寒氣II	Bracelet of Protection - Frost II	수호의 팔찌-냉기II
守護的項鍊-暗黑III	Necklace of Protection - Darkness III	수호의 목걸이-암흑III
守護的手鐲-暗黑III	Bracelet of Protection - Darkness III	수호의 팔찌-암흑III
物理/魔法 防禦力 增加	Increase Physical/Magical Defense	물리/마법 방어력 증가
物理/魔法 防禦力 增加	Physical/Magical Defense will be increased	물리/마법 방어력이 증가
戰鬥鴉雀持有中	Battlebird Owner	전투 뱁새 보유중
古代力量	Power Ancient	고대의 힘
強化攻擊效果	Berserker Effect	버서커 효과
SP 增加狀態	SP Increased State	SP 증가 상태
HP 增加 狀態	HP Increased State	HP 증가 상태
瑪那哈斯的呵護	Manahas' Protection	마나하스의 가호
香檳	Champagne	샴페인
地下城掃蕩券保護膜	Instanced Clear Voucher Barrier	인스턴스 던전 소탕권 보호막
變異形怪物增加傷害	Deals additional damage to Mutant-type monsters	변이형 몬스터 추가 대미지
怪物依大小增加傷害	Deals additional damage to monsters depending on their size	몬스터 사이즈별 추가 대미지
怪物依名次增加傷害	Deals additional damage to monsters depending on their rank	몬스터 랭크별 추가 대미지
怪物依種族增加傷害	Deals additional damage to monsters depending on their species	몬스터 종족별 추가 대미지
怪物依屬性增加傷害	Deals additional damage to monsters depending on their properties	몬스터 속성별 추가 대미지
物理防禦力增加	Increased physical defense	물리 방어력 증가
黑暗屬性攻擊力增加	Increased Darkness property damage	어둠 속성 공격력 증가
地屬性攻擊力增加	Increased Earth property damage	땅 속성 공격력 증가
火屬性攻擊力增加	Increased Fire property damage	불 속성 공격력 증가
神聖屬性攻擊力增加	Increased Holy property damage	신성 속성 공격력 증가
冰屬性攻擊力增加	Increased Ice property damage	얼음 속성 공격력 증가
電氣屬性攻擊力增加	Increased Lightning property damage	전기 속성 공격력 증가
毒屬性攻擊力增加	Increased Poison property damage	독 속성 공격력 증가
副本組隊經驗值獲得量增加	Increased party EXP rate for Instanced Dungeons	인던 파티 경험치 획득량 증가
隊伍等級	Team Level	팀 레벨
火屬性傷害反射	Reflects Fire property damage	불속성 대미지 반사
移動速度增加	Increased movement speed	이동속도가 증가
VIP	Token	토큰
Nexon網咖	Nexon PC Internet Cafe	넥슨 피시방
經驗之書	EXP Tome	경험의 서
副本無限制入場	Unlimited Instanced Dungeon Entry	인던 무제한입장
不可獲得野外BOSS魔方	Field Boss Cube Unobtainable	필드 보스 큐브 획득 불가
使用細劍	Use Rapiers	레이피어 사용
最大重量增加	Increased Maximum Weight	최대 무게 증가
寵物緊急治療	Companion First Aid	컴패니언 응급치료
使用步槍	Use Rifles	장총 사용
繳納稅金	Tax Payment	세금 납부
增加最大Buff數	Increased Maximum Buff Count	최대 버프 수 증가
獲得寶箱道具	Obtain Chest Item	상자 아이템 획득
輕裝步兵盾牌攻擊 強化	Enhanced Peltasta Shield Attack	펠타스타 방패 공격 강화
圓盾劍士盾牌攻擊 強化	Enhanced Rodelero Shield Attack	로델레로 방패 공격 강화
連打攻擊 強化	Repeated Hits Attack Boost	연타 공격 강화
重裝步盾牌攻擊強化	Enhanced Hoplite Shield Attack	하플라이트 방패 공격 강화
製作附魔彈	Craft Enchant Round	인챈트탄 제작
掌握手槍：追加傷害	Revolver Mastery	권총 마스터리: 추가 피해
蹲踞穿透狀態下可施展技能 [穿透射擊]。	[Penetration Shot] can be used while in the state of [Kneeling Shot]	닐링샷 상태 중에 스킬 [페네트레이션 샷] 사용이 가능합니다.
[梅爾卡巴戰輪]的輪子移動速度變慢。	Reduces the movement speed of [Merkabah]	[메르카바]의 바퀴 이동속도가 느려집니다.
若位在[梅爾卡巴戰輪]的車輪附近的話，我方的魔法 防禦力每特性等級可增加10。	Increases an ally's magic defense when nearby the wheel of [Merkabah] by 10 per attribute level	[메르카바]의 바퀴 주변에 있으면 아군의 마법 방어력이 특성 레벨당 10 증가합니다.
製作御守	Craft Omamori	오마모리 제작
需要鍊金術士1階	Alchemist 1st Circle required	알케미스트 1서클 필요
需要野蠻人1階	Barbarian 1st Circle required	바바리안 1서클 필요
需要邪靈祭司1階	Bokor 1st Circle required	보코르 1서클 필요
需要重砲手1階	Cannoneer 1st Circle required	캐노니어 1서클 필요
需要重砲手 2階	Cannoneer 2nd Circle Required	캐노니어 2서클 필요
需要牧師1階	Cleric 1st Circle required	클레릭 1서클 필요
需要職業排行5	Class Rank 5 required	클래스 5랭크 필요
需要道士 1階	Taoist 1st Circle Required	도사 1서클 필요
需要雙酬傭兵1階	Doppelsoeldner 1st Circle required	도펠죌트너 1서클 필요
需要雙酬傭兵 3階	Doppelsoeldner 3rd Circle Required	도펠죌트너 3서클 필요
需要雙酬傭兵2階	Doppelsoeldner 2nd Circle required	도펠죌트너 2서클 필요
需要會心一擊 6等級	Lv6 Zornhau required	존하우 6레벨 필요
需要側邊揮擊 6等級	Lv6 Zucken required	츠켄 6레벨 필요
需要迴旋斬擊 6等級	Lv6 Redel required	레델 6레벨 필요
需要龍騎士1階	Dragoon 1st Circle required	드라군 1서클 필요
需要龍騎士 2階	Dragoon 2nd Circle Required	드라군 2서클 필요
需要德魯伊1階	Druid 1st Circle required	드루이드 1서클 필요
需要附魔師 1階	Enchanter 1st Circle Required	인챈터 1서클 필요
需要馴鷹者1階	Falconer 1st Circle required	응사 1서클 필요
需要馴鷹者 3階	Falconer 3rd Circle Required	응사 3서클 필요
需要馴鷹者2階	Falconer 2nd Circle required	응사 2서클 필요
需要妖術師1階	Featherfoot 1st Circle required	페더풋 1서클 필요
需要妖術師 2階	Featherfoot 2nd Circle Required	페더풋 2서클 필요
需要擊劍手1階	Fencer 1st Circle required	펜서 1서클 필요
需要擊劍手2階	Fencer 2nd Circle required	펜서 2서클 필요
需要擊劍手 3階	Fencer 3rd Circle Required	펜서 3서클 필요
需要刀騎兵 1階	Hackapell 1st Circle Required	하카펠 1서클 필요
需要重裝步兵1階	Hoplite 1st Circle required	하플라이트 1서클 필요
需要審判者1階	Inquisitor 1st Circle Required	인퀴지터 1서클 필요
需要卡巴拉 2階	Kabalist 2nd Circle Required	카발리스트 2서클 필요
需要卡巴拉1階	Kabbalist 1st Circle required	카발리스트 1서클 필요
需要槍騎兵 1階	Lancer 1st Circle Required	랜서 1서클 필요
需要神射手 1階	Mergen 1st Circle Required	메르겐 1서클 필요
需要角鬥士 1階	Murmillo 1st Circle Required	무르밀로 1서클 필요
需要火槍手1階	Musketeer 1st Circle required	머스킷티어 1서클 필요
需要火槍手 2階	Musketeer 2nd Circle Required	머스킷티어 2서클 필요
需要死靈法師1階	Necromancer 1st Circle required	네크로맨서 1서클 필요
需要神諭師1階	Oracle 1st Circle required	오라클 1서클 필요
需要神諭師 3階	Oracle 3rd Circle Required	오라클 3서클 필요
需要神諭師2階	Oracle 2nd Circle required	오라클 2서클 필요
需要瘟疫醫生1階	Plague Doctor 1st Circle required	플레이그닥터 1서클 필요
需要瘟疫醫生 2階	Plague Doctor 2nd Circle Required	플레이그닥터 2서클 필요
需要念力法師1階	Psychokino 1st Circle required	사이코키노 1서클 필요
需要賢者 1階	Sage 1st Circle Required	세이지 1서클 필요
需要黑暗騎兵1階	Schwarzer Reiter 1st Circle required	슈바르츠라이터 1서클 필요
需要黑暗騎兵 3階	Schwarzer Reiter 3rd Circle Required	슈바르츠라이터 3서클 필요
需要黑暗騎兵2階	Schwarzer Reiter 2nd Circle required	슈바르츠라이터 2서클 필요
需要忍者1階	Shinobi 1st Circle required	시노비 1서클 필요
需要咒術師1階	Warlock 1st Circle required	워록 1서클 필요
需要咒術師 2階 	Warlock 2nd Circle Required	워록 2서클 필요
需要弓箭手1階	Archer 1st Circle required	아처 1서클 필요
需要鐵甲騎兵1階	Cataphract 1st Circle required	캐터프랙트 1서클 필요
需要百夫長1階	Centurion 1st Circle required	센츄리온 1서클 필요
需要隨軍牧師1階	Chaplain 1st Circle required	채플린 1서클 필요
需要時空法師1階	Chronomancer 1st Circle required	크로노맨서 1서클 필요
需要時空法師3階	Chronomancer 3rd Circle required	크로노맨서 3서클 필요
需要海賊1階	Corsair 1st Circle required	커세어 1서클 필요
需要海賊3階	Corsair 3rd Circle required	커세어 3서클 필요
需要海賊旗Lv2	Lv2 Jolly Roger required	졸리로저 2레벨 필요
需要雕刻師1階	Dievdirbys 1st Circle required	딥디르비 1서클 필요
需要元素使1階	Elementalist 1st Circle required	엘리멘탈리스트 1서클 필요
需要造箭者1階	Fletcher 1st Circle required	플레쳐 1서클 필요
需要高地戰士1階	Highlander 1st Circle required	하이랜더 1서클 필요
需要獵人1階	Hunter 1st Circle required	헌터 1서클 필요
需要聖火祭司1階	Krivis 1st Circle required	크리비 1서클 필요
需要鎖鏈法師1階	Linker 1st Circle required	링커 1서클 필요
需要武僧1階	Monk 1st Circle required	몽크 1서클 필요
需要聖殿十字軍1階	Paladin 1st Circle required	팔라딘 1서클 필요
需要元素抗性Lv3	Lv3 Resist Elements required	레지스트 엘리멘츠 3레벨 필요
需要寬恕者1階	Pardoner 1st Circle required	파드너 1서클 필요
需要輕裝步兵1階	Peltasta 1st Circle required	펠타스타 1서클 필요
需為輕裝步兵2階	Peltasta 2nd Circle required	펠타스타 2서클 필요
需要盾心打擊Lv6	Lv6 Umbo Blow required	엄보블로 6레벨 필요
需要盾緣敲擊Lv6	Lv6 Rim Blow required	림블로 6레벨 필요
需為輕裝步兵3階	Peltasta 3rd Circle required	펠타스타 3서클 필요
需要聖水祭司1階	Priest 1st Circle required	프리스트 1서클 필요
需要弩箭手1階	Quarrel Shooter 1st Circle required	쿼렐슈터 1서클 필요
