皮爾力巴斯直屬隊員	Philipas' Soldier	필리파스 직속 부대원
被鎖在夜晚裡的暮星	The Evening Star at Night	밤에 잠긴 저녁별
計畫和逃走	The Planned Escape	계획과 도주
要報告	I will report about it	보고하겠다고 한다
迷宮中的哈勃克(1)	Hauberk in the Maze (1)	미로 속 하우벅(1)
追哈勃克	I will chase after Hauberk	하우벅을 쫓겠다고 한다
要再準備一下	I will prepare little more	좀 더 준비한다고 한다
迷宮中的哈勃克(2)	Hauberk in the Maze (2)	미로 속 하우벅(2)
迷宮中的哈勃克(3)	Hauberk in the Maze (3)	미로 속 하우벅(3)
需要更多時間	I need little more time	시간이 필요하다고 한다
迷宮中的哈勃克(4)	Hauberk in the Maze (4)	미로 속 하우벅(4)
一定要抓住他	I will get him for sure	반드시 잡겠다고 한다
請再等一下	Ask her to wait a bit	잠시만 기다려 달라고 한다
迷宮中的哈勃克(5)	Hauberk in the Maze (5)	미로 속 하우벅(5)
好好準備吧	I will prepare a lot	확실히 준비하자고 한다
轉移縫隙(1)	The Dimensional Crack (1)	전이 틈새(1)
已到達。	Just arrived	지금 도착했습니다
還有事要做。	There is a still task to do	아직 할 일이 남았습니다
轉移縫隙(2)	The Dimensional Crack (2)	전이 틈새(2)
會去補滿	I will come back after filling it	채워 오겠다고 한다
轉移縫隙(3)	The Dimensional Crack (3)	전이 틈새(3)
轉移縫隙(4)	The Dimensional Crack (4)	전이 틈새(4)
轉移縫隙(5)	The Dimensional Crack (5)	전이 틈새(5)
轉移縫隙(6)	The Dimensional Crack (6)	전이 틈새(6)
快準備好了	Tell her that it will be ready soon	곧 준비된다고 한다
關門	Shutting the Door	문 닫기
還有更緊急的事	Tell her that there is a more emergent issue	더 급한 일이 있다고 한다
遵照本分	According To One's Duty	본분에따라
一定會找回來	I will retrieve it for sure	꼭 되찾겠다고 한다
無差別處治	Unreasonable Defeat	무분별한 처치
要去消滅他再回來	I will come back after defeating it	처리하고 오겠다고 한다
下次再做	I will do it next time	다음에 하겠다고 한다
恢復權威	Recovering Prestige	권위 회복
無處可去的憤怒	The Fury	갈 곳 잃은 분노
沒有主人的星星	Lost Star	주인 없는 별
女神之眼	Eyes of the Goddess	여신의 눈
以後再消滅	I will take care of it later	나중에 처리하겠다고 한다
藏匿的背叛者	The Hidden Betrayer	숨어든 배신자
交叉路的魔族	Demons at the Crossroads	교차로의 마족
阻塞的地方	A Dead End	막다른 곳
迪歐尼斯的食物	Food for Dionys	디오니스의 먹이
消除小縫隙	Eliminate the Small Gaps	작은 틈 없애기
神祕的樹苗	The Mysterious Tree	신비한 묘목
還有很多還沒做的事情所以拒絕	Decline since you still have some tasks to complete	아직 못 다한 일이 남았다며 거절한다
關於神祕的少女	About the mysterious girl	신비한 소녀에 대해
未知的力量	Unknown Power	알 수 없는 힘
詢問是否還有需要幫忙的事	Ask her if there's anything more to help	더 도와줄 것이 있느냐고 묻는다
既然已經幫完忙所以打算先走	You leave since you've helped her enough	도와줬으니 이만 가 보겠다고 한다
實驗淨化結果	The Result of the Test Purification	시험 정화의 결과
鼓勵說一切會很順利	Tell her that everything will be alright	잘 될거라고 격려한다
該做的事都做完了所以想先離開	Leave since you completed all the tasks	볼 일은 전부 마쳤으니 떠난다
大規模淨化的準備	Preparing for Large-Scale Purification	대규모 정화의 준비
會收集給你	I will collect for her	모아 주겠다고 한다
這個無法幫忙	I can't help with that	그것까진 도울 수 없다고 한다
轉交箱子	Box Delivery	상자 배달
現在全都錯了	It's All Over Now	이젠 다 틀렸어
詢問發生了什麼事然後說要幫忙	Ask him what's the matter and I will help	무슨 일이 있는지 묻고 도와주겠다고 한다
別在意走就走自己該走的路吧	Ignore and just go on your way	무시하고 갈 길 가자
關於克林卡的莊園	About the Greene family farm	그린가의 장원에 대해
除草作業	Weeding	제초작업
幫你消除蒲公英種子	I will get rid of the dandelions	민들레 싹을 제거해 주겠다고 한다
路途還很遙遠要先離開	Leave since you are busy	갈 길이 바쁘니 떠난다
不可信的人們	Unreliable Folk	못 믿을 사람들
非常可惡	Big Inconvenience	아주 괘씸해
要幫你找包袱	I will find her luggages	봇짐을 찾아 주겠다고 한다
柯拉佩達的調查	The Klaipeda Investigation	클라페다에서의 조사
要你接受其他人的幫助	Tell him to get help from other people	다른 사람의 도움을 받으라고 한다
好兆頭	A Good Sign	좋은 징조
監督官的橫行霸道	The Supervisor's Tyranny	감독관의 횡포
有要求的說會答應	I will listen to his requests	요구사항이 있다면 들어 주겠다고 한다
沒打算讓他利用我	I don't want be controlled	이용당할 생각은 없다고 한다
關於夏頓家的農場	About the farm of Shaton family	샤튼 가의 농장에 대해
從照顧我的家人開始	Take care of my family first	내 식구 건사부터
不想被捲進這件事裡	I don't want to be involved in this kind of matters	이런 일에 휘둘리고 싶지 않다고 한다
德魯伊的行蹤	The Druid's Whereabouts	드루이드의 행방
陷入危機的農夫們	Farmers in Danger	위기의 농부들
要先把人救出來	I will rescue the people first	일단 사람들을 구하겠다고 한다
關於農場的汙染	About the Corruption in the Farm	농장의 오염에 대해
放了很久的種子(1)	Old Seeds (1)	오래된 씨앗(1)
好像沒有我能做的事	Tell him that the tasks can't be completed by you	내가 할 수 있는 일은 없을 것 같다고 한다
關於種子	About the seeds	씨앗에 대해
放了很久的種子(2)	Old Seeds (2)	오래된 씨앗(2)
我去裝水	I will get the water	물을 떠 오겠다고 한다
這點程度應該沒問題	Tell him that it will be alright	그 정도는 괜찮을 거라고 한다
放了很久的種子(3)	Old Seeds (3)	오래된 씨앗(3)
哄騙	Steam Boiled	구워 삶기
拜託他住在農場看看	Ask him so that you could stay in the farm	농장에 머물게 해 달라고 부탁해 본다
離開農場	Leave the farm	농장을 나가자
冤家路窄。	Encounter an enemy on a log bridge	원수는 외나무 다리에서
要離開農場	I will leave the farm	농장에서 나가겠다고 한다
計畫歉收	Intentional Failed Harvest	의도된 흉작
詢問發生了什麼事可以幫忙	Ask her what's the matter and help	도와줄 테니 무슨 일인지 묻는다
苗頭不對，快避一下	You don't feel good about it so avoid it	조짐이 안좋으니 피하자
關於農場的作物	About the crops at the farm	농장의 작물에 대해
意料之外的結果	Unexpected Results	예상치 못한 결과
會幫你消滅他不用擔心	Tell her not to worry since you will defeat them	처치해 줄 테니 걱정 말라고 한다
要你自己看情況消滅	Tell her to get rid of them on their own	알아서 처리하라고 한다
今天也要工作	Today's Work	오늘도 일을 한다
對自己來說也是很麻煩的工作	Tell him that it's hard	자신도 버거운 일이라고 한다
關於夏頓農場的管理者們	About the managers at the farm of Shaton family	샤튼 농장의 관리자들에 대해
隱藏種子	Hidden Seeds	숨겨둔 종자
要幫忙找種子	I will find the seeds for him	씨앗을 찾아 주겠다고 한다
無奈的農場主人	The Farm's Stubborn Owner	막무가내 농장주
要試著說服看看	I will try persuading him	설득 해 보겠다고 한다
就算是啟示者應該也沒辦法	Tell him that even a Revelator can't do it	계시자라도 안될 것 같다고 한다
說服的鑰匙	The Key to Persuasion	설득의 열쇠
不想被捲進去	I don't want to get involved	엮이고 싶지 않다고 한다
關於庫魯德夏頓	About Gord Shaton	고르드 샤튼에 대해
由我來報仇	Revenge Shall Be Mine	복수는 나의 것
再去說服一次	Persuade one more time	다시 한번 설득한다
看他心情好像很不好先避開耳目	Leave since he doesn't seem like he is in a good mood	기분이 매우 좋지 않은 것 같으니 물러난다
不知道他會作出什麼危險的事要好好盯著他	He may do something dangerous so keep looking at him	위험한 짓을 할 지도 모르니 지켜본다
好不安，還是先避一下吧	Leave here since you feel something dangerous	불안하니 자리를 피하자
固執與後悔	The obsession and the regret	집착과 후회
現在才要開始	Just the Beginning	이제부터 시작
要去跟芭內莎夏頓進行對話	I will talk to Vanessa Shaton	바네사 샤튼과 대화해 보겠다고 한다
從這裡開始，就是由德魯伊負責了	Tell him that the druid should take care from here	여기서부턴 드루이드가 할 일이라고 한다
總之我們的主人	Anything For Our Master	어쨌거나 우리 주인님
有同感	I agree	공감한다고 한다
但好像不應該是這樣	Tell him that it's not right	그래도 이건 아닌 것 같다고 한다
施予慈悲不分對象	The mercy to everyone	대상을 가리지 않는 자비
要去找藥袋	I will find the pocket that contains the medicine	약 주머니를 찾아 주겠다고 한다
地道看起來有點那個	The Underground Tunnel	땅굴은 좀 그래
太猶豫不決了，還是決定拒絕	Reject it since you don't feel good about it	찜찜하니 거절한다
將責任推給別人	Shifting Responsibility	책임을 떠넘기기
只是照指示去作而已所以我拒絕	Reject it since you just did what you were told	하란대로 했을 뿐이니 거절한다
懂得鑑賞物品的人	The one who knows the value of the objects	물건의 가치를 아는 자
說要分享	I will help	거들어주겠다고 한다.
我不是你可以這樣隨便使喚的	I am not the one to be used cheaply	싸게 부릴 수 있는 몸이 아니라고 한다.
落伍者(脫隊的人)	The Straggler	낙오자
會去接你	I will take him	데려다 주겠다고 한다
自己去	Tell him to go alone	혼자 가라고 한다
進入貝魯克堤廣場	Enter Verkti Square	베르크티 광장 진입
請進入貝魯克堤廣場。	Enter Verkti Square	베르크티 광장에 진입하세요
貝魯克堤廣場上的王國軍蕾堤亞好像在等誰的援助。	Royal Army Guard Retia is waiting for someone's help at Verkti Square	베르크티 광장의 왕국군 레티아가 누군가의 도움을 기다리고 있습니다
貝魯克堤廣場的盜墓者胡貝爾塔斯好像在等誰的援助。	Grave Robber Hubertas at Verkti Square is waiting for someone's help	베르크티 광장의 도굴꾼 후베르타스가 누군가의 도움을 기다리고 있습니다
消滅在德巴西安嶺的怪物	Defeat the monsters at Dvasia Peak	드바시아 고개에 있는 몬스터 처치
消滅在德巴西安嶺的怪物	Defeat the monsters at Dvasia Peak	드바시아 고개에 있는 몬스터를 처치
請與正在調查比爾那森林的瑪拉斯進行對話。	Talk with Maras who is investigating in Vilna Forest	빌나 숲에서 조사를 진행하고 있는 마라스와 대화해보세요.
對怪獸飄散蜂蜜香氣	Spread the fragrance of honey to the monsters	몬스터에게 꿀 향기를 풍겨보기
確認北邊的比爾那森林祭壇	Check the altar of Vilna Forest at the north side	북쪽의 빌나 숲 제단 확인
請確認北邊的比爾那森林祭壇。	Check the altar of Vilna Forest at the north side	북쪽의 빌나 숲 제단을 확인해보세요.
消滅比爾那森林祭壇的獨眼巨人	Defeat Cyclops of the altar at Vilna Forest	빌나 숲 제단의 사이클롭스 처치
請消滅比爾那森林祭壇的獨眼巨人。	Defeat Cyclops of the altar at Vilna Forest	빌나 숲 제단의 사이클롭스를 처치하세요.
與農夫德魯巴對話	Talk to Farmer Druva	농사꾼 드루바와 대화
討伐祈願森林的怪物	Defeat the monsters at Forest of Prayer	기원의 숲 몬스터 토벌
消滅祈願森林的怪物	Defeat the monsters at Forest of Prayer	기원의 숲의 몬스터 처치
與朝聖者莉莉亞對話	Talk to Pilgrim Liliya	순례자 릴리야와 대화
收集怪物的肉	Collect monster meat	몬스터의 고기 수집
交給朝聖者莉莉亞	Hand them over to Pilgrim Liliya	순례자 릴리야에게 전달
帶回野草的嫩葉	Get some Young Leaves	여린 들풀잎 구해 오기
能填飽朝聖者莉莉亞的飢餓感嗎？請再問她看看。	Did Pilgrim Liliya's hunger go away? Talk to her again	순례자 릴리야의 허기는 채워 진 걸까요? 다시 그녀에게 말을 걸어 봅시다.
與暈倒的朝聖者莉莉亞對話	Talk to the fallen Pilgrim Liliya	쓰러져 있는 순례자 릴리야와 대화
消滅由魔花卡諾波變成的莉莉亞	Defeat Liliya who turned into a Carnivore	카버너로 변한 릴리야 처치
幫朝聖者莉莉亞做墳墓	Make a grave for Pilgrim Liliya	순례자 릴리야의 무덤 만들기
帶回阿賽魯的嫩葉	Obtain Asellu Leaf Buds	아셀루의 어린 잎 구해오기
用食物殘渣來對怪物做實驗	Experiment the monsters using the Food Scraps	음식 찌꺼기로 몬스터를 실험하기
清理糧食堆	Clean the piled up food	식량더미 치우기
觀察糧食堆	Look closely at the piled up food	식량더미 살펴보기
破壞變質的保護結界	Destroy the spoiled protective barrier	변질된 보호 결계 파괴
流民營地裡變質的樹根水晶	Spoiled Tree Root Crystal at the Nomads Camp	유랑민 캠프의 변질된 나무뿌리 수정
解除被召喚的樹根水晶核	Destroy the Reformed Tree Root Crystal's Core	소환된 나무뿌리 수정 핵 해체
吉寇雷山麓裡變質的樹根水晶	Spoiled Tree Root Crystal at Pusapskritimis Shore	지코레 기슭의 변질된 나무뿌리 수정
燃燒水晶	Burn the crystals	수정 불태우기
破壞吉寇雷山麓裡變質的樹根水晶	Destroy the Tree Root Crystal at Pusapskritimis Shore	지코레 기슭의 변질된 나무뿌리 수정 파괴
朝聖者墳墓右邊的變質樹根水晶	Spoiled Tree Root Crystal at the right side of the Pilgrim's Tomb	순례자의 무덤 오른쪽의 변질된 나무뿌리 수정
帕修克堤蜿蜒路的懶惰的樹根水晶	Tree Root Crystal of Sloth at Posukis Path	파수크티 굽잇길의 나태의 나무뿌리 수정
從怪物身上找樹根水晶	Look for the Core of the Tree Root Crystal from the monsters	몬스터로부터 나무뿌리 수정 핵 찾기
諾雷堤泉水的樹根水晶	The Tree Root Crystal at Noras Fountain	노레티 샘터의 나무뿌리 수정
將邪惡氣息重新放入箱子裡	Return the evil energy into the Treasure Chest	사악한 기운을 상자에 다시 넣어두기
告訴朝聖者葛拉奇烏斯結果	Let Pilgrim Gracius know the results	순례자 그라치우스에게 결과 알려주기
將靈魂從怪物身上解放	Release the souls from the monsters	몬스터로부터 영혼 해방
拯救祭壇的靈魂們	Save the souls at the altars	제단의 영혼들을 구원
為憤怒的靈魂們收集花	Collect flowers for the wrathful souls	분노한 영혼들을 위한 꽃 수집
從怪物身上收集經典散頁	Obtain Scripture Pages from the monsters	몬스터로부터 경전의 낱장 구하기
祈願森林入口的祭壇	The altar near the Forest of Prayer	기원의 숲 길목의 제단
將怪物誘導至聖所後消滅	Lure monsters to the sanctum and defeat them	성소로 몬스터 유인 뒤 처치
用聖水淨化聖所	Purify the sanctum using Holy Water	성수로 성소 정화
膜拜聖者之墓附近的女神像	Pray in front of the Goddess Statue near the grave of the saint	성자의 무덤 근처의 여신상에 경배
向雕刻家泰斯拉索取建議	Get advice from Sculptor Tesla	조각가 테슬라에게 조언 구하기
請與雕刻家泰斯拉討論關於毫無反應的女神像。	Talk with Tesla about the Goddess Statue that does respond	아무런 반응도 보이지 않는 여신상에 대해 조각가 테슬라와 상의하세요.
回到祈願森林	Return to the Forest of Prayer	기원의 숲으로 돌아가기
觀察女神像	Inspect the Goddess Statue	여신상 살펴보기
收集修復女神像所需的材料	Obtain the materials to repair the Goddess Statue with	여신상을 보수할 재료 구하기
修復女神像	Repair the Goddess Statue	여신상 보수
觀察女神像是否成功修好	Check if the Goddess Statue is well repaired	여신상이 제대로 보수되었는지 살펴 보기
破壞魔族召喚陣	Destroy the demon summoning circles	마족 소환진 망가뜨리기
聽牧師大師的建議	Listen to the advice of the Cleric Master	클레릭 마스터에게 조언 듣기
尋找聖所裡的信仰的標誌	Look for the Symbol of Faith at the sanctum	성소에서 신앙의 표식 찾기
在聖所內燒掉聖所的徽章	Burn the badges of the sanctum	성소의 휘장을 성소에서 태우기
去拉薛基歐市內裝清澈的水回來	Obtain some Pure Water from Ryskus Stream	리쉬키오 시내의 맑은 물 떠오기
膜拜瓦卡麗涅女神像	Pray in front of the Vakarine Statue	바카리네 여신상에 경배
女神像守護	Protect the Goddess Statue	여신상 수호
獻花	Devote Flowers	헌화 하기
索取寬恕者大師的建議	Get advice from the Pardoner Master	파드너 마스터에게 조언 구하기
淨化聖所的汙染	Purify the corruption at the sanctum	성소의 오염 정화하기
詢問寬恕者大師淨化聖所的方法	Ask the Pardoner Master how to purify the sanctum	파드너 마스터에게 성소를 정화하는 방법 묻기
交給朝聖者泰伍皮里斯	Hand it over to Pilgrim Theophilis	순례자 테오필리스에게 전달
收集蘆葦樹液結晶	Obtain Reed Sap Crystals	갈대 수액 결정 구하기
搜查衛塔斯的攜帶品	Search through Witas' belongings	위타스의 소지품 수색
交給朝聖者衛塔斯	Give them to Pilgrim Witas	순례자 위타스에게 전달
尋找畫的碎片	Look for Pieces of the Portrait	그림 조각 찾기
獵殺怪物後尋找畫的碎片	Look for the pieces of the Portrait by hunting the monsters	몬스터를 사냥해서 그림 조각 찾기
被丟棄在威德羅卡入口的箱子	The Abandoned Chest at Klajone Access Road	위드로카 진입로에 버려진 상자
打開箱子	Open the chest	상자 열기
消滅怪獸獲得鑰匙	Obtain the key by defeating the monsters	몬스터를 처치하여 열쇠 획득
在兄弟之樹設置能收集樹液的甕	Place the pots that will store the sap of the Tree of the Brothers	형제의 나무에 수액을 모을 항아리 설치
用兄弟之樹的樹液來淨化寂靜之泉	Purify the Pond of Silence with the sap of the Tree of the Brothers	형제 나무의 수액으로 고요의 샘 정화
邪惡氣息的出現	The appearance of an evil energy	사악한 기운의 출현
消滅正在守護隱藏空間的怪物	Defeat the monsters that are protecting the hidden space	숨겨진 공간을 지키고 있는 몬스터 처치
與大迴廊的主教亞烏雷利屋斯對話	Talk to Bishop Aurelius at the Grand Corridor	대회랑의 주교 아우렐리우스와 대화
解開慈愛的講台的秘密	Solve the secret at the Platform of Benevolence	자애의 단상의 비밀 풀기
獲得梅伊班的第二把鑰匙	Obtain Maven's Second Key	메이번의 두 번째 열쇠 획득
與在烏歐利艾禮拜室的主教亞烏雷利屋斯對話	Talk to Bishop Aurelius at Uola Chapel	우올리에 예배실의 주교 아우렐리우스와 대화
消滅覬覦靈力信物的魔族	Defeat the demons that are after the Holy Symbol of Spiritual Power	영력의 신표를 노리는 마족 처치
獲得靈力信物	Obtain the Holy Symbol of Spiritual Power	영력의 신표 획득
幫靈力信物充電	Recharge the Holy Symbol of Spiritual Power	영력의 신표 충전
在貝伊尼卡祭壇獲得梅伊班的第三把鑰匙	Obtain Maven's Third Key at Karuna Altar	베이니카 제단에서 메이번의 세 번째 열쇠 획득
與祭司路歐德爾對話	Talk to Priest Ruodell	사제 루오델과 대화
尋找與那柯堤斯有關的文獻	Look for documents that are related to Naktis	나크티스에 관련된 문헌 찾기
與祭司約瑟那對話	Talk to Priest Yosana	사제 요사나와 대화
找回祭司約瑟那的研究資料	Retrieve Priest Yosana's Research	사제 요사나의 연구 자료 되찾기
與祭司大朗對話	Talk to Priest Daram	사제 다람과 대화
對魔族使用淨化的卷軸並收集溶劑	Collect solvents by using the Scroll of Purification on the demons	마족에게 정화의 스크롤을 사용하여 용매 수집
將祭司大朗做的藥拿去對魔族做實驗	Use the reagent Priest Daram created on the demons	사제 다람이 만든 약을 마족에게 실험
與祭司阿爾莉莎對話	Talk to Priest Alisha	사제 알리샤와 대화
採集月薊	Collect thistles	달엉겅퀴 채집
交給祭司阿爾莉莎	Hand them over to Priest Alisha	사제 알리샤에게 전달
從周圍的怪物身上收集肉	Collect the meats from the monsters nearby	주변 몬스터에게서 고기 수집
與祭司露亞那對話	Talk to Priest Loana	사제 로아나와 대화
消滅詛咒的實體	Defeat the True Origin of the Curse	저주의 실체 처치
餵朝聖者摻了藥的肉	Feed the pilgrim the meat with medicine in it	순례자에게 약이 든 고기 먹이기
啟動淨化的祭壇	Activating the Altar of Purification	정화의 제단 가동
與朝聖者歐比爾對話	Talk to Pilgrim Orville	순례자 오빌과 대화
消滅拉米比耶丘陵的怪物	Defeat the monsters on Taika Cliff	라미비에 언덕의 몬스터 처치
前往拉米比耶絕壁	Go to Taika Cliff	라미비에 절벽으로 가기
尋找記載有於至聖所變身成魔族的方法的文獻	Look for the documents that describe ways to transform into a demon at Sanctuary	지성소에서 마족으로 변신할 수 있는 방법이 적힌 문헌 찾기
在虔誠的祭壇裡完成魔族變身卷軸	Complete the Demon Transformation Scroll at the Altar of Intelligence	지성의 제단에서 마족 변신 스크롤 완성
將魔族引誘至卡烏爾雷祭壇	Lure the demons to Apgaule Altar	마족을 가울레 제단으로 유인
獲得梅伊班的第四把鑰匙	Obtain Maven's Fourth Key	메이번의 네 번째 열쇠 획득
解開小接見室的秘密，獲得梅伊班的第五把鑰匙	Obtain Maven's Fifth Key by solving for the secret in the Small Reception Room	소 접견실의 비밀을 풀어 메이번의 다섯 번째 열쇠 획득
進入帕薩拉祭壇	Enter into the Pasala Altar	파사라 제단으로 입장
使用鑰匙並找到隱藏的通道	Look for the hidden path using the keys	열쇠를 사용하여 숨겨진 통로 찾기
利用傳點，移動到隱藏的房間	Move to the hidden room using the portal	포탈을 타고 숨겨진 방으로 이동
與祭司普羅基特對話	Talk to Priest Prosit	사제 프로지트와 대화
收集散播詛咒的寶珠	Collect the curse-spreading orbs	저주를 퍼뜨리고 있는 보주 수집
交給祭司普羅基特	Hand them over to Priest Prosit	사제 프로지트에게 전달
與祭司高達對話	Talk to Priest Goda	사제 고다와 대화
優智瑪拜堂講台的調查	Investigate the Platform of Maskuote Narthex	유지마 배랑의 단상 조사
除掉克羅洛鐘	Defeat Linkroller	링크롤러 처치
通過證明的試驗	Pass the Verification Test	증명의 시험 통과
獲得大教堂的啟示石燈	Obtain the revelation of the Great Cathedral	대성당의 계시 석판 획득
收集魔族的衣角	Collect demons' garments	마족의 옷자락 수집
交給主教亞烏雷利屋斯	Hand them over to Bishop Aurelius	주교 아우렐리우스에게 전달
搜索朝聖者歐比爾的朋友	Search for Orville's friend	순례자 오빌의 친구 수색
去找塔達斯	Meet Tadas	타다스 찾아가기
找來堅韌的繩子	Get some strong rope	질긴 끈 구해 오기
轉交堅韌的繩子	Take the tough rope to him	질긴 끈 갖다 주기
到怪物那找來堅韌的繩子	Obtain strong rope from the monsters	몬스터로부터 질긴 끈 구하기
與塔達斯對話	Talk to Tadas	타다스와 대화
請與塔達斯對話。	Talk to Tadas	타다스와 대화해 봅시다.
答應塔達斯的請求	Listen to Tadas' request	타다스의 부탁 들어주기
處理布袋	Get rid of the sacks	자루 처리하기
搭話	Talk	말 걸어 보기
嘗試對話	Try talking to him	대화 시도
尋找馬鈴薯糕	Bring potato rice cakes	감자떡 찾아오기
交出找到的食物	Bring the food that you found	찾아낸 먹을거리 갖다 주기
與亞武努斯對話	Talk with Jaunius	야우뉴스와 대화
請再次和亞武努斯對話。	Talk with Jaunius again	다시 야우뉴스와 대화해 보세요.
拜訪司泰巴斯	Meet Stepas	스테파스 만나기
得到巨魔蠍的毒	Get some poison of Scorpio	스콜피오의 독 받아오기
交出毒	Bring the poison	독 갖다 주기
與司泰巴斯對話	Talk with Stepas	스테파스와 대화
將滋養補品交給農民	Bring the nutritious tonic to the farmers	농민에게 자양강장제 전해 주기
將藥轉交給達流斯	Hand over the medicine to Dalius	달류스에게 약 전해 주기
與達流斯對話	Talk with Dalius	달류스와 대화
提醒達流斯吃藥。	Tell Dalius to consume the tonic	달류스에게 약을 먹으라고 말 해 보세요.
回到司泰巴斯那裡	Return to Stepas	스테파스에게 돌아가기
與瑪流斯對話	Talk with Marius	마류스와 대화
將沒有腐壞的糕轉交給達流斯	Hand over the normal rice cake to Dalius	달류스에게 상하지 않은 떡 전해주기
將糕交給達流斯	Take the rice cake to Dalius	달류스에게 떡 가져다 주기
消除奇怪的痕跡	Remove the strange markings	이상한 흔적 없애기
回到瑪流斯身邊	Return to Marius	마류스에게 돌아가기
幫忙瑪流斯	Help Marius	마류스의 일 돕기
找回種子	Retrieve the seeds	종자 되찾기
交給瑪流斯	Bring it to Marius	마류스에게 전달
請將找回來的種子袋交給瑪流斯。	Take back the pockets of the seeds to Marius	되찾은 종자 주머니를 마류스에게 갖다 주세요.
請從怪物那找回種子口袋	Retrieve the pockets of the seeds from the monsters	몬스터들로부터 종자 주머니 되찾기
去件需要幫忙的某人	Meet the one who needs your help	도움이 필요한 누군가를 만나기
確認異常的氣息	Check the strange aura	이상한 기운 확인
向男爵祕書阿魯那斯報告	Report to Baron Secretary Arunas	남작 비서 아루나스에게 보고
請告訴阿魯那斯他所說的地區並沒有甚麼事發生。	Tell Arunas that there's no problem at the place where Arunas mentioned	아루나스가 말한 지역에는 별 일이 없다는 것을 말해 주세요.
與男爵祕書阿魯那斯對話	Talk with Arunas	남작 비서 아루나스와 대화
請與阿魯那斯對話。	Talk with Arunas	아루나스와 대화해 봅시다.
男爵祕書阿魯那斯交代的事	The tasks that Arunas ordered you to do	남작 비서 아루나스가 시키는 일
向阿魯那斯報告	Report to Arunas	아루나스에게 보고하기
去見實習魔法師	Meet the Wizard Rimas	수습 마법사 만나기
強化魔法陣	Enhance the magic circle	마법진 강화
如果強化位於兩側地區的魔法陣再過來，實習魔法師利瑪斯的態度會不會有些微的轉變呢？	Would the attitude of Rimas change after you enhance the magic circles at each side?	양쪽 지역에 있는 마법진을 강화하고 오면 수습 마법사 리마스의 태도가 조금 달라질까요?
向利瑪斯報告	Report to Rimas	리마스에게 보고
觀察魔法陣	Look closely at the magic circle	마법진 살펴 보기
為了消滅異常氣息，請先觀察魔法陣。	Look closely at the magic circles first in order to eliminate the strange energy	이상한 기운을 정리하기 위해 일단 마법진을 살펴 봅시다.
消滅守護寶石	Eliminate the protective jewel	수호 보석 없애기
強化魔法陣	Enhance the magic circle	마법진 강화하기
與利瑪斯對話	Talk to Rimas	리마스와 대화
請和利瑪斯對話。	Talk to Rimas	리마스와 대화 해 보세요.
看守倉庫	Protect the storage	창고 지키기
消滅想襲擊倉庫的怪物	Defeat the monsters that are trying to attack the storage	창고를 습격하려는 몬스터 처치
向利瑪斯說明情況	Explain to Rimas about the situation	리마스에게 상황 설명
在魔法陣上灑毒	Sprinkle the poison to the magic circle	마법진에 독약 뿌리기
消滅湧入魔法陣的怪物	Defeat the monsters that rushed in to the magic circle	마법진으로 몰려 온 몬스터 처치
消滅聞到氣味蜂擁而至的怪物	Defeat the monsters that rushed in after smelling it	냄새를 맡고 몰려 든 몬스터 처치
使其吸收怪物	Absorb the monsters	몬스터 흡수 시키기
與某個男子對話	Talk to the man	어떤 남자와 대화
拿著肉過去	Go there by bringing the meats	고기 들고 가기
向貝紐斯報告	Report to Benius	베뉴스에게 보고
觀察可疑的地方	Observe the suspicious place	미심쩍은 곳 관찰
挖出女神像的頭	Dig the head of the statue of the Goddess	여신상의 머리 파 내기
取得有關得到的物品的情報	Obtain the information of the object	얻은 물건에 대한 정보 얻기
打開酒桶	Open the alcohol box	술통 열어보기
破壞酒桶	Break the alcohol container	술통 부수기
尋找能打聽線索的人	Look for a person who would find the clues	단서를 알아 낼 사람 찾기
觀察木質酒桶	Look closely at the wooden alcohol container	나무 술통 살펴 보기
製造木槌	Make a wooden hammer	나무 망치 만들기
尋找線索	Look for clues	단서를 찾기
查看插在地面上的翅膀	Look closely at the wing that is stuck on the ground	땅게 박힌 날개 살펴 보기
在翅膀上尋找線索	Obtain some clues from the wings	날개에서 단서 찾기
與約亞那對話	Talk to Joana	요아나와 대화
取得黏稠的液體	Obtain stick liquid	끈적이는 액체 구하기
拿去給約亞那	Take it to Yoana	요아나에게 갖다 주기
請把向怪物取得的黏稠體液拿去給約亞那。	Take the sticky liquid that you obtained from the monsters to Yoana	몬스터들로부터 얻은 끈적이는 액체를 요아나에게 가져다 주세요.
向怪物取得黏稠的體液	Obtain the sticky liquid from the monsters	몬스터로부터 끈적이는 액체 구하기
去見約亞那	Meet Yoana	요아나 만나기
查證異常氣息	Verifying the nature of the strange aura 	이상한 기운의 검증
向約亞那報告	Report to Joana	요아나에게 보고
與約那里斯對話	Talk with Yonaras	요나라스와 대화
燒掉魔法陣	Burn the magic circle	마법진 태우기
向約那里斯報告	Report to Jonaris	요나리스에게 보고
與約那里斯對話	Talk to Jonaris	요나리스와 대화
把女神像拿來放置在魔法陣上	Get the statue of the Goddess and put it on the magic circle	여신상을 받아 와서 마법진 위에 올리기
告訴約那里斯	Report to Jonaris	요나리스에게 알려주기
去見傑卡斯	Meet Jugas	쥬가스 만나기
找回種子	Retrieve the seeds	종자 되찾아 오기
交給傑卡斯	Hand them over to Jugas	쥬가스에게 전해 주기
